dmu,country,year,efficiencies,material_footprint,income_share_20
Austria_1992,Austria,1992,0.01614,23.3,8.685714285714285
Austria_1993,Austria,1993,0.00591,22.3,8.342857142857143
Austria_1994,Austria,1994,0.00126,23.9,8
Austria_1995,Austria,1995,0.00126,23.8,7
Austria_1996,Austria,1996,0.00128,23.4,7.55
Austria_1997,Austria,1997,0.00127,23.6,8.1
Austria_1998,Austria,1998,0.00309,25.1,8.266666666666666
Austria_1999,Austria,1999,0.00798,24.6,8.433333333333334
Austria_2000,Austria,2000,0.0128,24.6,8.6
Austria_2001,Austria,2001,0.01189,24.5,8.566666666666666
Austria_2002,Austria,2002,0.01079,24.8,8.533333333333333
Austria_2003,Austria,2003,0.00916,26.6,8.5
Austria_2004,Austria,2004,0.00849,28.7,8.5
Austria_2005,Austria,2005,0.01556,29.4,8.8
Austria_2006,Austria,2006,0.01036,30.4,8.6
Austria_2007,Austria,2007,9.6e-4,31.4,8
Austria_2008,Austria,2008,0.00093000000000000005,32.2,8
Austria_2009,Austria,2009,9.8e-4,30.5,7.7
Austria_2010,Austria,2010,0.001,30.1,8
Austria_2011,Austria,2011,9.6e-4,31.2,7.8
Austria_2012,Austria,2012,9.6e-4,31.1,7.8
Austria_2013,Austria,2013,9.6e-4,31.3,8.1
Austria_2014,Austria,2014,9.4e-4,31.9,8
Austria_2015,Austria,2015,0.00093000000000000005,32.4,7.9
Austria_2016,Austria,2016,0.00093000000000000005,32.3,7.7
Azerbaijan_1995,Azerbaijan,1995,0.00655,4.58,7.1
Azerbaijan_1996,Azerbaijan,1996,0.00718,4.18,7.1499999999999995
Azerbaijan_1997,Azerbaijan,1997,0.00926,3.24,7.2
Azerbaijan_1998,Azerbaijan,1998,0.01017,2.95,7.25
Azerbaijan_1999,Azerbaijan,1999,0.0106,2.83,7.3
Azerbaijan_2000,Azerbaijan,2000,0.01172,2.56,7.35
Azerbaijan_2001,Azerbaijan,2001,0.01124,2.67,7.4
Azerbaijan_2002,Azerbaijan,2002,1,3.04,10.9
Azerbaijan_2003,Azerbaijan,2003,0.60999,3.51,10.2
Azerbaijan_2004,Azerbaijan,2004,0.75629,3.68,10.7
Azerbaijan_2005,Azerbaijan,2005,0.82951,3.51,10.8
Belarus_1998,Belarus,1998,1,0.03,7.9
Belarus_1999,Belarus,1999,1,0.03,7.6
Belarus_2000,Belarus,2000,0.42857,0.07,7.9
Belarus_2001,Belarus,2001,1,0.03,8.2
Belgium_1990,Belgium,1990,0.08538,15.3,9.55
Belgium_1991,Belgium,1991,0.0763,16.7,9.525
Belgium_1992,Belgium,1992,0.06149,20.2,9.5
Belgium_1993,Belgium,1993,0.04394,19.5,9.2
Belgium_1994,Belgium,1994,0.02579,20.5,8.9
Belgium_1995,Belgium,1995,0.01544,20.4,8.6
Belgium_1996,Belgium,1996,0.02243,20.4,8.8
Belgium_1997,Belgium,1997,0.03061,19.6,9
Belgium_1998,Belgium,1998,0.02168,21.1,8.8
Belgium_1999,Belgium,1999,0.01452,21.7,8.6
Belgium_2000,Belgium,2000,0.0074,23.3,8.4
Belgium_2001,Belgium,2001,0.00904,21.7,8.433333333333334
Belgium_2002,Belgium,2002,0.01,22,8.466666666666667
Belgium_2003,Belgium,2003,0.01079,22.6,8.5
Belgium_2004,Belgium,2004,0.00734,23.5,8.4
Belgium_2005,Belgium,2005,0.01616,23.9,8.7
Belgium_2006,Belgium,2006,0.0159,24.3,8.7
Belgium_2007,Belgium,2007,0.0126,25,8.6
Belgium_2008,Belgium,2008,0.01509,25.6,8.7
Belgium_2009,Belgium,2009,0.0102,23.9,8.5
Belgium_2010,Belgium,2010,0.01376,22.9,8.6
Belgium_2011,Belgium,2011,0.01413,22.3,8.6
Belgium_2012,Belgium,2012,0.01717,22.5,8.7
Belgium_2013,Belgium,2013,0.01376,22.9,8.6
Belgium_2014,Belgium,2014,0.01364,23.1,8.6
Belgium_2015,Belgium,2015,0.01346,23.4,8.6
Bulgaria_2006,Bulgaria,2006,0.00273,11,5.7
Bulgaria_2007,Bulgaria,2007,0.00254,11.8,6.5
Bulgaria_2008,Bulgaria,2008,0.00231,13,6.9
Bulgaria_2009,Bulgaria,2009,0.00259,11.6,6.8
Bulgaria_2010,Bulgaria,2010,0.0028,10.7,6.3
Bulgaria_2011,Bulgaria,2011,0.00261,11.5,6.4
Bulgaria_2012,Bulgaria,2012,0.00268,11.2,6.2
Bulgaria_2013,Bulgaria,2013,0.00273,11,5.7
Bulgaria_2014,Bulgaria,2014,0.00261,11.5,6
Canada_1990,Canada,1990,8.5e-4,35.4,7.675
Canada_1991,Canada,1991,8.7e-4,34.3,7.7
Canada_1992,Canada,1992,9e-4,33.5,7.666666666666667
Canada_1993,Canada,1993,0.00093000000000000005,32.3,7.633333333333333
Canada_1994,Canada,1994,9.4e-4,32,7.6
Canada_1995,Canada,1995,9.6e-4,31.1,7.533333333333333
Canada_1996,Canada,1996,0.001,29.9,7.466666666666667
Canada_1997,Canada,1997,9.7e-4,31,7.4
Canada_1998,Canada,1998,9.8e-4,30.6,7.1
Canada_1999,Canada,1999,0.00101,29.6,7.1
Canada_2000,Canada,2000,0.001,29.9,7.1
Canada_2001,Canada,2001,0.00106,28.4,7.074999999999999
Canada_2002,Canada,2002,0.00105,28.6,7.05
Canada_2003,Canada,2003,9.9e-4,30.4,7.025
Canada_2004,Canada,2004,9.6e-4,31.3,7
Canada_2005,Canada,2005,9.4e-4,32,7.066666666666666
Chile_1990,Chile,1990,0.00311,9.66,3.4
Chile_1991,Chile,1991,0.00263,11.4,3.5999999999999996
Chile_1992,Chile,1992,0.00261,11.5,3.8
Chile_1993,Chile,1993,0.00238,12.6,3.65
Chile_1994,Chile,1994,0.00233,12.9,3.5
Colombia_1992,Colombia,1992,0.0049,6.12,3.7
Colombia_1993,Colombia,1993,0.00463,6.48,3.375
Colombia_1994,Colombia,1994,0.00437,6.87,3.05
Costa Rica_1990,Costa Rica,1990,0.00566,5.3,3.8
Costa Rica_1991,Costa Rica,1991,0.00471,6.37,3.6
Costa Rica_1992,Costa Rica,1992,0.00561,5.35,4
Costa Rica_1993,Costa Rica,1993,0.00511,5.87,3.9
Costa Rica_1994,Costa Rica,1994,0.00471,6.37,4
Costa Rica_1995,Costa Rica,1995,0.00482,6.23,4
Croatia_2009,Croatia,2009,0.00183,16.4,6.9
Croatia_2010,Croatia,2010,0.00208,14.4,6.9
Croatia_2011,Croatia,2011,0.00207,14.5,6.9
Croatia_2012,Croatia,2012,0.00214,14,6.9
Croatia_2013,Croatia,2013,0.00205,14.6,7.1
Croatia_2014,Croatia,2014,0.002,15,7.1
Croatia_2015,Croatia,2015,0.00196,15.3,7.3
Croatia_2016,Croatia,2016,0.00191,15.7,7.3
Cyprus_2004,Cyprus,2004,0.01113,41.1,8.8
Cyprus_2005,Cyprus,2005,0.01271,41.6,8.9
Cyprus_2006,Cyprus,2006,0.01105,41.4,8.8
Cyprus_2007,Cyprus,2007,0.00886,43.6,8.7
Cyprus_2008,Cyprus,2008,0.00705,44.7,8.6
Cyprus_2009,Cyprus,2009,0.0067,36.4,8.5
Cyprus_2010,Cyprus,2010,0.00858,36.7,8.6
Cyprus_2011,Cyprus,2011,0.00501,34.4,8.4
Cyprus_2012,Cyprus,2012,8.6e-4,34.9,8
Cyprus_2013,Cyprus,2013,8.8e-4,33.9,7.7
Cyprus_2014,Cyprus,2014,8.7e-4,34.3,7.6
Cyprus_2015,Cyprus,2015,8.6e-4,34.7,7.8
Cyprus_2016,Cyprus,2016,0.00111,27.1,8.2
Czechia_1993,Czechia,1993,0.15081,15.9,10.4
Czechia_1994,Czechia,1994,0.13382,16,10.2
Czechia_1995,Czechia,1995,0.11489,16.4,10
Czechia_1996,Czechia,1996,0.09517,17.1,9.8
Czechia_1997,Czechia,1997,0.09831,15.9,9.75
Czechia_1998,Czechia,1998,0.09368,16,9.7
Czechia_1999,Czechia,1999,0.09081,15.8,9.65
Czechia_2000,Czechia,2000,0.0846,16.2,9.6
Czechia_2001,Czechia,2001,0.07917,16.5,9.55
Czechia_2002,Czechia,2002,0.06901,18,9.5
Czechia_2003,Czechia,2003,0.04952,18.6,9.25
Czechia_2004,Czechia,2004,0.0297,20.2,9
Czechia_2005,Czechia,2005,0.04737,20.8,9.3
Czechia_2006,Czechia,2006,0.04647,21.2,9.3
Czechia_2007,Czechia,2007,0.06692,22.4,9.7
Czechia_2008,Czechia,2008,0.06925,23.5,9.8
Czechia_2009,Czechia,2009,0.06091,22.5,9.6
Czechia_2010,Czechia,2010,0.05062,22,9.4
Czechia_2011,Czechia,2011,0.04418,22.3,9.3
Czechia_2012,Czechia,2012,0.06118,22.4,9.6
Czechia_2013,Czechia,2013,0.05085,21.9,9.4
Czechia_2014,Czechia,2014,0.06752,22.2,9.7
Czechia_2015,Czechia,2015,0.06662,22.5,9.7
Czechia_2016,Czechia,2016,0.083,22.7,10
Denmark_1990,Denmark,1990,0.09479,15,9.64
Denmark_1991,Denmark,1991,0.07779,19.6,9.72
Denmark_1992,Denmark,1992,0.09629,16.9,9.8
Denmark_1993,Denmark,1993,0.11634,17.3,10.1
Denmark_1994,Denmark,1994,0.13248,18.1,10.4
Denmark_1995,Denmark,1995,0.14726,18.9,10.7
Denmark_1996,Denmark,1996,0.14951,18.1,10.64
Denmark_1997,Denmark,1997,0.1477,17.8,10.58
Denmark_1998,Denmark,1998,0.11815,21.6,10.52
Denmark_1999,Denmark,1999,0.11511,21.5,10.46
Denmark_2000,Denmark,2000,0.10336,23.2,10.4
Denmark_2001,Denmark,2001,0.09958,21.5,10.2
Denmark_2002,Denmark,2002,0.08337,22.6,10
Denmark_2003,Denmark,2003,0.07138,22.8,9.8
Denmark_2004,Denmark,2004,0.07346,23.9,9.9
Denmark_2005,Denmark,2005,0.06509,25,9.8
Denmark_2006,Denmark,2006,0.06211,26.2,9.8
Denmark_2007,Denmark,2007,0.05791,28.1,9.8
Denmark_2008,Denmark,2008,0.05833,27.9,9.8
Denmark_2009,Denmark,2009,0.03373,25.4,9.2
Denmark_2010,Denmark,2010,0.04088,24.1,9.3
Denmark_2011,Denmark,2011,0.04583,24.3,9.4
Denmark_2012,Denmark,2012,0.04071,24.2,9.3
Denmark_2013,Denmark,2013,0.03022,24.1,9.1
Denmark_2014,Denmark,2014,0.0301,24.2,9.1
Denmark_2015,Denmark,2015,0.04583,24.3,9.4
El Salvador_1991,El Salvador,1991,0.00671,4.47,2.6
El Salvador_1992,El Salvador,1992,0.00857,3.5,2.875
El Salvador_1993,El Salvador,1993,0.00785,3.82,3.1500000000000004
Estonia_2003,Estonia,2003,0.00159,18.9,6.1
Estonia_2004,Estonia,2004,0.00146,20.5,7.1
Estonia_2005,Estonia,2005,0.00131,22.9,7.4
Estonia_2006,Estonia,2006,0.0012,24.9,7.5
Estonia_2007,Estonia,2007,0.001,29.9,8
Estonia_2008,Estonia,2008,0.00111,27.1,7.8
Estonia_2009,Estonia,2009,0.00126,23.9,7.7
Estonia_2010,Estonia,2010,0.00124,24.1,7.2
Estonia_2011,Estonia,2011,0.0012,25,7.3
Estonia_2012,Estonia,2012,0.00118,25.4,7.3
Estonia_2013,Estonia,2013,0.00107,28,6.8
Estonia_2014,Estonia,2014,0.00105,28.6,7
Estonia_2015,Estonia,2015,0.00107,28,7.5
Finland_1990,Finland,1990,0.14147,19.9,10.725
Finland_1991,Finland,1991,0.14883,18.7,10.7
Finland_1992,Finland,1992,0.10275,27.4,10.725
Finland_1993,Finland,1993,0.12168,23.4,10.75
Finland_1994,Finland,1994,0.11705,24.6,10.775
Finland_1995,Finland,1995,0.11933,24.4,10.8
Finland_1996,Finland,1996,0.10802,24.1,10.56
Finland_1997,Finland,1997,0.09523,24.1,10.32
Finland_1998,Finland,1998,0.07701,25.8,10.08
Finland_1999,Finland,1999,0.05691,29.5,9.84
Finland_2000,Finland,2000,0.0463,29.6,9.6
Finland_2001,Finland,2001,0.03824,33.6,9.533333333333331
Finland_2002,Finland,2002,0.03486,34.4,9.466666666666669
Finland_2003,Finland,2003,0.03051,36.5,9.4
Finland_2004,Finland,2004,0.02986,37.3,9.4
Finland_2005,Finland,2005,0.03286,37.8,9.5
Finland_2006,Finland,2006,0.02214,38.7,9.2
Finland_2007,Finland,2007,0.02147,39.9,9.2
Finland_2008,Finland,2008,0.0252,39.1,9.3
Finland_2009,Finland,2009,0.02714,36.3,9.3
Finland_2010,Finland,2010,0.02462,34.8,9.2
Finland_2011,Finland,2011,0.02791,35.3,9.3
Finland_2012,Finland,2012,0.03182,35,9.4
Finland_2013,Finland,2013,0.02775,35.5,9.3
Finland_2014,Finland,2014,0.03173,35.1,9.4
France_1990,France,1990,0.00176,17,7.6
France_1991,France,1991,0.00172,17.4,7.7
France_1992,France,1992,0.00151,19.9,7.8
France_1993,France,1993,0.0016,18.8,7.9
France_1994,France,1994,0.00159,18.9,8
France_1995,France,1995,0.00142,21.1,8.033333333333333
France_1996,France,1996,0.00157,19.1,8.066666666666666
France_1997,France,1997,0.00169,17.8,8.1
France_1998,France,1998,0.00156,19.2,8.133333333333333
France_1999,France,1999,0.00154,19.5,8.166666666666666
France_2000,France,2000,0.00149,20.1,8.2
France_2001,France,2001,0.00155,19.3,8.2
France_2002,France,2002,0.0015,20,8.2
France_2003,France,2003,0.00144,20.8,8.2
France_2004,France,2004,0.00799,21.6,8.4
France_2005,France,2005,0.01445,21.8,8.6
France_2006,France,2006,0.01103,22.1,8.5
France_2007,France,2007,0.00132,22.8,8.1
France_2008,France,2008,0.00132,22.8,7.9
France_2009,France,2009,0.00136,22,7.7
France_2010,France,2010,0.00144,20.9,7.7
France_2011,France,2011,0.00146,20.5,7.8
France_2012,France,2012,0.00146,20.6,7.8
France_2013,France,2013,0.00145,20.7,8
France_2014,France,2014,0.00144,20.9,8
Germany_1991,Germany,1991,0.02346,19.5,8.8
Germany_1992,Germany,1992,0.0253,20.9,8.9
Germany_1993,Germany,1993,0.0303,19.8,9
Germany_1994,Germany,1994,0.01195,20.4,8.5
Germany_1995,Germany,1995,0.01583,19.9,8.6
Germany_1996,Germany,1996,0.02754,19.2,8.9
Germany_1997,Germany,1997,0.02858,18.5,8.9
Germany_1998,Germany,1998,0.02684,19.7,8.9
Germany_1999,Germany,1999,0.01903,20.3,8.7
Germany_2000,Germany,2000,0.02265,20.2,8.8
Germany_2001,Germany,2001,0.01649,19.1,8.6
Germany_2002,Germany,2002,0.01667,18.9,8.6
Germany_2003,Germany,2003,0.01225,19.9,8.5
Germany_2004,Germany,2004,0.01172,20.8,8.5
Germany_2005,Germany,2005,0.00145,20.7,8.2
Germany_2006,Germany,2006,0.00482,21,8.3
Germany_2007,Germany,2007,0.00464,21.8,8.3
Germany_2008,Germany,2008,0.00784,22,8.4
Germany_2009,Germany,2009,0.00475,21.3,8.3
Germany_2010,Germany,2010,0.00825,20.9,8.4
Germany_2011,Germany,2011,0.00818,21.1,8.4
Germany_2012,Germany,2012,0.00139,21.6,8.2
Germany_2013,Germany,2013,0.00137,21.9,8.1
Germany_2014,Germany,2014,0.00135,22.2,8.1
Germany_2015,Germany,2015,0.00133,22.6,7.9
Greece_1995,Greece,1995,0.00117,25.6,5.9
Greece_1996,Greece,1996,0.00114,26.3,6.08
Greece_1997,Greece,1997,0.0011,27.3,6.26
Greece_1998,Greece,1998,0.00102,29.4,6.44
Greece_1999,Greece,1999,9.8e-4,30.6,6.62
Greece_2000,Greece,2000,0.00093000000000000005,32.1,6.8
Greece_2001,Greece,2001,9.4e-4,32,6.933333333333334
Greece_2002,Greece,2002,9.1e-4,32.8,7.066666666666666
Greece_2003,Greece,2003,8.7e-4,34.6,7.2
Greece_2004,Greece,2004,8.3e-4,36,7.1
Greece_2005,Greece,2005,8.3e-4,36,6.9
Greece_2006,Greece,2006,8.4e-4,35.7,6.7
Greece_2007,Greece,2007,8.1e-4,37,7
Greece_2008,Greece,2008,8e-4,37.3,7.1
Greece_2009,Greece,2009,8.8e-4,34,7
Greece_2010,Greece,2010,9.9e-4,30.2,6.7
Greece_2011,Greece,2011,0.00106,28.2,6.1
Greece_2012,Greece,2012,0.00108,27.9,5.8
Greece_2013,Greece,2013,0.00115,26.2,5.9
Greece_2014,Greece,2014,0.00115,26.2,5.9
Greece_2015,Greece,2015,0.00115,26.2,5.8
Hungary_2004,Hungary,2004,0.00657,15.4,8.3
Hungary_2005,Hungary,2005,0.00178,16.9,7.1
Hungary_2006,Hungary,2006,0.02558,15.1,8.7
Hungary_2007,Hungary,2007,0.02592,14.9,8.7
Hungary_2008,Hungary,2008,0.02842,16.1,8.8
Hungary_2009,Hungary,2009,0.03155,14.5,8.8
Hungary_2010,Hungary,2010,0.00227,13.2,8.2
Hungary_2011,Hungary,2011,0.00227,13.2,8.1
Hungary_2012,Hungary,2012,0.0024,12.5,7.6
Hungary_2013,Hungary,2013,0.00229,13.1,7.5
Hungary_2014,Hungary,2014,0.00213,14.1,7.6
Hungary_2015,Hungary,2015,0.0021,14.3,7.8
Hungary_2016,Hungary,2016,0.00205,14.6,8
Iceland_2003,Iceland,2003,0.03169,39.2,9.5
Iceland_2004,Iceland,2004,0.02486,44.8,9.4
Iceland_2005,Iceland,2005,0.01549,55.3,9.2
Iceland_2006,Iceland,2006,0.00887,59.6,8.9
Iceland_2007,Iceland,2007,0.01265,57.6,9.1
Iceland_2008,Iceland,2008,0.00716,44,8.6
Iceland_2009,Iceland,2009,0.02312,31.5,9.1
Iceland_2010,Iceland,2010,0.03968,31.3,9.5
Iceland_2011,Iceland,2011,0.02986,33,9.3
Iceland_2012,Iceland,2012,0.0295,33.4,9.3
Iceland_2013,Iceland,2013,0.05226,33.6,9.9
Iceland_2014,Iceland,2014,0.03295,33.8,9.4
Iceland_2015,Iceland,2015,0.03643,34.1,9.5
Iceland_2016,Iceland,2016,0.03237,34.4,9.4
Ireland_1990,Ireland,1990,0.00224,13.4,7
Ireland_1991,Ireland,1991,0.00184,16.3,7
Ireland_1992,Ireland,1992,0.00211,14.2,7
Ireland_1993,Ireland,1993,0.00226,13.3,7
Ireland_1994,Ireland,1994,0.00208,14.4,7
Ireland_1995,Ireland,1995,0.00189,15.9,6.8
Ireland_1996,Ireland,1996,0.00183,16.4,7.1
Ireland_1997,Ireland,1997,0.0017,17.6,7.275
Ireland_1998,Ireland,1998,0.00152,19.7,7.449999999999999
Ireland_1999,Ireland,1999,0.00144,20.9,7.625
Ireland_2000,Ireland,2000,0.00132,22.7,7.8
Ireland_2001,Ireland,2001,0.00143,21,7.699999999999999
Ireland_2002,Ireland,2002,0.00135,22.2,7.6
Ireland_2003,Ireland,2003,0.00124,24.2,7.7
Ireland_2004,Ireland,2004,0.00115,26,7.6
Ireland_2005,Ireland,2005,0.00106,28.2,7.7
Ireland_2006,Ireland,2006,0.00103,29,7.9
Ireland_2007,Ireland,2007,0.00106,28.2,8.2
Ireland_2008,Ireland,2008,0.00108,27.7,8.2
Ireland_2009,Ireland,2009,0.00134,22.4,7.7
Ireland_2010,Ireland,2010,0.00141,21.3,7.6
Ireland_2011,Ireland,2011,0.00146,20.5,7.4
Ireland_2012,Ireland,2012,0.00147,20.4,7.5
Ireland_2013,Ireland,2013,0.00146,20.6,7.3
Israel_1995,Israel,1995,0.00116,25.8,6.42
Israel_1996,Israel,1996,0.00115,26.2,6.26
Israel_1997,Israel,1997,0.00119,25.2,6.1
Israel_1998,Israel,1998,0.00107,28.1,6.05
Israel_1999,Israel,1999,0.00111,27.1,6
Israel_2000,Israel,2000,0.00112,26.9,5.95
Israel_2001,Israel,2001,0.00117,25.7,5.9
Israel_2002,Israel,2002,0.00116,25.8,5.5
Israel_2003,Israel,2003,0.00131,22.9,5.2
Israel_2004,Israel,2004,0.00151,19.9,4.8
Israel_2005,Israel,2005,0.00138,21.7,4.8
Israel_2006,Israel,2006,0.00135,22.3,4.8
Israel_2007,Israel,2007,0.00129,23.2,5
Israel_2008,Israel,2008,0.00133,22.5,4.8
Israel_2009,Israel,2009,0.00137,21.9,4.6
Israel_2010,Israel,2010,0.00132,22.7,4.7
Israel_2011,Israel,2011,0.00126,23.8,4.8
Israel_2012,Israel,2012,0.00127,23.6,4.7
Israel_2013,Israel,2013,0.00126,23.9,5
Israel_2014,Israel,2014,0.00126,23.8,5
Israel_2015,Israel,2015,0.00126,23.8,5
Italy_1990,Italy,1990,0.00194,15.5,7.7
Italy_1991,Italy,1991,0.00182,16.5,7.7
Italy_1992,Italy,1992,0.00152,19.7,6.9
Italy_1993,Italy,1993,0.00182,16.5,6.1
Italy_1994,Italy,1994,0.0018,16.7,6.199999999999999
Italy_1995,Italy,1995,0.00175,17.1,6.3
Italy_1996,Italy,1996,0.00176,17,6.166666666666667
Italy_1997,Italy,1997,0.00171,17.5,6.033333333333333
Italy_1998,Italy,1998,0.00162,18.5,5.9
Italy_1999,Italy,1999,0.00156,19.2,6.1
Italy_2000,Italy,2000,0.00155,19.4,6.3
Italy_2001,Italy,2001,0.00155,19.3,6.433333333333334
Italy_2002,Italy,2002,0.00148,20.3,6.566666666666666
Italy_2003,Italy,2003,0.00137,21.9,6.7
Italy_2004,Italy,2004,0.00132,22.8,6.8
Italy_2005,Italy,2005,0.00129,23.2,6.8
Italy_2006,Italy,2006,0.00124,24.1,6.9
Italy_2007,Italy,2007,0.00121,24.7,7.1
Italy_2008,Italy,2008,0.00124,24.2,6.9
Italy_2009,Italy,2009,0.00132,22.8,6.7
Italy_2010,Italy,2010,0.00135,22.2,6.4
Italy_2011,Italy,2011,0.00147,20.4,6.4
Italy_2012,Italy,2012,0.00146,20.6,6.3
Italy_2013,Italy,2013,0.00148,20.3,6.2
Italy_2014,Italy,2014,0.00146,20.5,6.2
Italy_2015,Italy,2015,0.00144,20.9,5.9
Japan_2008,Japan,2008,0.00115,26.1,6.4
Japan_2009,Japan,2009,0.00128,23.5,7.3
Japan_2010,Japan,2010,0.00125,24,8.2
Japan_2011,Japan,2011,0.00117,25.7,8.033333333333333
Japan_2012,Japan,2012,0.00112,26.7,7.866666666666666
Japan_2013,Japan,2013,0.00118,25.4,7.7
Jordan_2008,Jordan,2008,0.02164,7.97,8.4
Jordan_2009,Jordan,2009,0.0129,7.85,8.3
Jordan_2010,Jordan,2010,0.00357,8.4,8.2
Kazakhstan_2000,Kazakhstan,2000,0.00259,11.6,6.74
Kazakhstan_2001,Kazakhstan,2001,0.00217,13.8,6.7
Kazakhstan_2002,Kazakhstan,2002,0.00217,13.8,7.3
Kazakhstan_2003,Kazakhstan,2003,0.00211,14.2,7.5
Kazakhstan_2004,Kazakhstan,2004,0.00208,14.4,8.2
Kazakhstan_2005,Kazakhstan,2005,0.00203,14.8,5.9
Kazakhstan_2006,Kazakhstan,2006,0.03185,16.6,8.9
Kazakhstan_2007,Kazakhstan,2007,0.02813,18.8,8.9
Kazakhstan_2008,Kazakhstan,2008,0.07393,16.8,9.5
Kazakhstan_2009,Kazakhstan,2009,0.06257,17.8,9.4
Kazakhstan_2010,Kazakhstan,2010,0.07393,16.8,9.5
Kazakhstan_2011,Kazakhstan,2011,0.06862,18.1,9.5
Kazakhstan_2012,Kazakhstan,2012,0.06709,16.6,9.4
Kazakhstan_2013,Kazakhstan,2013,0.08893,18.3,9.8
Kazakhstan_2014,Kazakhstan,2014,0.09864,17.8,9.9
Kazakhstan_2015,Kazakhstan,2015,0.10585,17.8,10
Kyrgyzstan_2000,Kyrgyzstan,2000,0.05198,6.06,8.6
Kyrgyzstan_2001,Kyrgyzstan,2001,0.07663,5.97,8.8
Kyrgyzstan_2002,Kyrgyzstan,2002,0.05024,6.27,8.6
Kyrgyzstan_2003,Kyrgyzstan,2003,0.14489,6.8,9.3
Kyrgyzstan_2004,Kyrgyzstan,2004,0.00425,7.06,7.7
Kyrgyzstan_2005,Kyrgyzstan,2005,0.0245,7.04,8.4
