dmu,country,year,efficiencies,material_footprint,income
Armenia_2014,Armenia,2014,0.14936,7.16,11
Armenia_2015,Armenia,2015,0.16189,7.37,11.3
Armenia_2016,Armenia,2016,0.1518,7.86,11.3
Australia_1990,Australia,1990,0.23123,40.3,31
Australia_1991,Australia,1991,0.22334,40.8,30.5
Australia_1992,Australia,1992,0.24405,37,30.3
Australia_1993,Australia,1993,0.26557,35.4,31.2
Australia_1994,Australia,1994,0.28001,34.9,32.1
Australia_1995,Australia,1995,0.26377,38.3,32.9
Australia_1996,Australia,1996,0.26613,39.2,33.7
Australia_1997,Australia,1997,0.2718,39.9,34.7
Australia_1998,Australia,1998,0.26999,42,35.9
Australia_1999,Australia,1999,0.28479,41.7,37.2
Australia_2000,Australia,2000,0.30875,39.8,38.2
Australia_2001,Australia,2001,0.3103,40,38.5
Australia_2002,Australia,2002,0.31902,40.2,39.5
Australia_2003,Australia,2003,0.30663,42.9,40.3
Australia_2004,Australia,2004,0.32268,42.3,41.5
Australia_2005,Australia,2005,0.32414,43,42.2
Australia_2006,Australia,2006,0.36549,38.7,42.7
Australia_2007,Australia,2007,0.32284,45.6,44.1
Australia_2008,Australia,2008,0.39706,37.7,44.7
Australia_2009,Australia,2009,0.34636,43.1,44.6
Australia_2010,Australia,2010,0.36891,40.8,44.9
Australia_2011,Australia,2011,0.37305,40.9,45.4
Australia_2012,Australia,2012,0.3776,41.5,46.4
Australia_2013,Australia,2013,0.38335,41.2,46.7
Australia_2014,Australia,2014,0.38006,42.1,47.2
Australia_2015,Australia,2015,0.38036,42.5,47.6
Austria_1990,Austria,1990,0.60911,19.7,37.5
Austria_1991,Austria,1991,0.57538,21.5,38.4
Austria_1992,Austria,1992,0.53801,23.3,38.8
Austria_1993,Austria,1993,0.56029,22.3,38.7
Austria_1994,Austria,1994,0.53486,23.9,39.4
Austria_1995,Austria,1995,0.55444,23.8,40.4
Austria_1996,Austria,1996,0.57978,23.4,41.3
Austria_1997,Austria,1997,0.58885,23.6,42.1
Austria_1998,Austria,1998,0.57831,25.1,43.6
Austria_1999,Austria,1999,0.61521,24.6,45.1
Austria_2000,Austria,2000,0.63868,24.6,46.5
Austria_2001,Austria,2001,0.64802,24.5,46.9
Austria_2002,Austria,2002,0.6485,24.8,47.4
Austria_2003,Austria,2003,0.60772,26.6,47.6
Austria_2004,Austria,2004,0.57762,28.7,48.6
Austria_2005,Austria,2005,0.57509,29.4,49.4
Austria_2006,Austria,2006,0.57517,30.4,50.8
Austria_2007,Austria,2007,0.5805,31.4,52.6
Austria_2008,Austria,2008,0.57376,32.2,53.2
Austria_2009,Austria,2009,0.57599,30.5,51
Austria_2010,Austria,2010,0.59461,30.1,51.8
Austria_2011,Austria,2011,0.59215,31.2,53.2
Austria_2012,Austria,2012,0.59538,31.1,53.3
Austria_2013,Austria,2013,0.58762,31.3,53
Austria_2014,Austria,2014,0.57528,31.9,52.9
Austria_2015,Austria,2015,0.5664,32.4,52.9
Austria_2016,Austria,2016,0.57326,32.3,53.3
Azerbaijan_1995,Azerbaijan,1995,0.00655,4.58,2.98
Azerbaijan_1996,Azerbaijan,1996,0.00718,4.18,2.99
Azerbaijan_1997,Azerbaijan,1997,0.00926,3.24,3.13
Azerbaijan_1998,Azerbaijan,1998,0.01017,2.95,3.41
Azerbaijan_1999,Azerbaijan,1999,0.0106,2.83,3.63
Azerbaijan_2000,Azerbaijan,2000,0.01172,2.56,4
Azerbaijan_2001,Azerbaijan,2001,0.01124,2.67,4.36
Azerbaijan_2002,Azerbaijan,2002,0.00987,3.04,4.74
Azerbaijan_2003,Azerbaijan,2003,0.00855,3.51,5.18
Azerbaijan_2004,Azerbaijan,2004,0.00815,3.68,5.61
Azerbaijan_2005,Azerbaijan,2005,0.00855,3.51,7.11
Belarus_1998,Belarus,1998,1,0.03,7.29
Belarus_1999,Belarus,1999,1,0.03,7.58
Belarus_2000,Belarus,2000,0.42857,0.07,8.05
Belarus_2001,Belarus,2001,1,0.03,8.48
Belgium_1990,Belgium,1990,0.73037,15.3,35.5
Belgium_1991,Belgium,1991,0.68149,16.7,36
Belgium_1992,Belgium,1992,0.57157,20.2,36.4
Belgium_1993,Belgium,1993,0.58152,19.5,35.9
Belgium_1994,Belgium,1994,0.57528,20.5,37
Belgium_1995,Belgium,1995,0.59428,20.4,37.8
Belgium_1996,Belgium,1996,0.60236,20.4,38.2
Belgium_1997,Belgium,1997,0.65641,19.6,39.6
Belgium_1998,Belgium,1998,0.62343,21.1,40.3
Belgium_1999,Belgium,1999,0.6309,21.7,41.6
Belgium_2000,Belgium,2000,0.61236,23.3,43
Belgium_2001,Belgium,2001,0.66321,21.7,43.3
Belgium_2002,Belgium,2002,0.66542,22,43.9
Belgium_2003,Belgium,2003,0.65323,22.6,44.2
Belgium_2004,Belgium,2004,0.65103,23.5,45.5
Belgium_2005,Belgium,2005,0.65394,23.9,46.3
Belgium_2006,Belgium,2006,0.65845,24.3,47.2
Belgium_2007,Belgium,2007,0.66311,25,48.6
Belgium_2008,Belgium,2008,0.64435,25.6,48.4
Belgium_2009,Belgium,2009,0.66774,23.9,47.1
Belgium_2010,Belgium,2010,0.71311,22.9,48
Belgium_2011,Belgium,2011,0.736,22.3,48.2
Belgium_2012,Belgium,2012,0.72946,22.5,48.2
Belgium_2013,Belgium,2013,0.71672,22.9,48.2
Belgium_2014,Belgium,2014,0.71944,23.1,48.7
Belgium_2015,Belgium,2015,0.72432,23.4,49.5
Bulgaria_2006,Bulgaria,2006,0.28095,11,15.9
Bulgaria_2007,Bulgaria,2007,0.30385,11.8,17.1
Bulgaria_2008,Bulgaria,2008,0.31387,13,18.3
Bulgaria_2009,Bulgaria,2009,0.33397,11.6,17.8
Bulgaria_2010,Bulgaria,2010,0.37748,10.7,18.2
Bulgaria_2011,Bulgaria,2011,0.36916,11.5,18.7
Bulgaria_2012,Bulgaria,2012,0.38641,11.2,18.9
Bulgaria_2013,Bulgaria,2013,0.39344,11,18.9
Bulgaria_2014,Bulgaria,2014,0.38709,11.5,19.2
Canada_1990,Canada,1990,0.30518,35.4,34.6
Canada_1991,Canada,1991,0.30174,34.3,33.5
Canada_1992,Canada,1992,0.30771,33.5,33.4
Canada_1993,Canada,1993,0.32553,32.3,33.9
Canada_1994,Canada,1994,0.34405,32,35.1
Canada_1995,Canada,1995,0.36064,31.1,35.6
Canada_1996,Canada,1996,0.37787,29.9,35.8
Canada_1997,Canada,1997,0.34051,31,34
Canada_1998,Canada,1998,0.3544,30.6,34.7
Canada_1999,Canada,1999,0.3817,29.6,35.8
Canada_2000,Canada,2000,0.39718,29.9,37.2
Canada_2001,Canada,2001,0.41961,28.4,37.3
Canada_2002,Canada,2002,0.42966,28.6,38.2
Canada_2003,Canada,2003,0.41914,30.4,39.3
Canada_2004,Canada,2004,0.42159,31.3,40.4
Canada_2005,Canada,2005,0.43299,32,42
Chile_1990,Chile,1990,0.0616,9.66,9.85
Chile_1991,Chile,1991,0.0721,11.4,10.4
Chile_1992,Chile,1992,0.10734,11.5,11.4
Chile_1993,Chile,1993,0.11761,12.6,12
Chile_1994,Chile,1994,0.12766,12.9,12.4
Colombia_1992,Colombia,1992,0.0049,6.12,8.48
Colombia_1993,Colombia,1993,0.02309,6.48,8.77
Colombia_1994,Colombia,1994,0.04159,6.87,9.1
Costa Rica_1990,Costa Rica,1990,0.1185,5.3,9.93
Costa Rica_1991,Costa Rica,1991,0.09665,6.37,9.9
Costa Rica_1992,Costa Rica,1992,0.16134,5.35,10.5
Costa Rica_1993,Costa Rica,1993,0.18218,5.87,11
Costa Rica_1994,Costa Rica,1994,0.18083,6.37,11.2
Costa Rica_1995,Costa Rica,1995,0.19813,6.23,11.4
Croatia_2009,Croatia,2009,0.41227,16.4,24.8
Croatia_2010,Croatia,2010,0.46094,14.4,24.5
Croatia_2011,Croatia,2011,0.46061,14.5,24.6
Croatia_2012,Croatia,2012,0.46233,14,24.1
Croatia_2013,Croatia,2013,0.44333,14.6,24.1
Croatia_2014,Croatia,2014,0.43151,15,24.1
Croatia_2015,Croatia,2015,0.44461,15.3,24.9
Croatia_2016,Croatia,2016,0.45955,15.7,25.9
Cyprus_2004,Cyprus,2004,0.28192,41.1,36.5
Cyprus_2005,Cyprus,2005,0.29043,41.6,37.7
Cyprus_2006,Cyprus,2006,0.30279,41.4,38.8
Cyprus_2007,Cyprus,2007,0.29887,43.6,40
Cyprus_2008,Cyprus,2008,0.2952,44.7,40.4
Cyprus_2009,Cyprus,2009,0.34099,36.4,38.5
Cyprus_2010,Cyprus,2010,0.33595,36.7,38.3
Cyprus_2011,Cyprus,2011,0.34882,34.4,37.5
Cyprus_2012,Cyprus,2012,0.32137,34.9,35.6
Cyprus_2013,Cyprus,2013,0.30408,33.9,33.4
Cyprus_2014,Cyprus,2014,0.29693,34.3,33.1
Cyprus_2015,Cyprus,2015,0.31015,34.7,34.5
Cyprus_2016,Cyprus,2016,0.42757,27.1,36.5
Czechia_1993,Czechia,1993,0.32148,15.9,20.8
Czechia_1994,Czechia,1994,0.33493,16,21.4
Czechia_1995,Czechia,1995,0.36197,16.4,22.8
Czechia_1996,Czechia,1996,0.37128,17.1,23.8
Czechia_1997,Czechia,1997,0.3967,15.9,23.7
Czechia_1998,Czechia,1998,0.39165,16,23.6
Czechia_1999,Czechia,1999,0.40444,15.8,23.9
Czechia_2000,Czechia,2000,0.42246,16.2,25
Czechia_2001,Czechia,2001,0.43477,16.5,25.8
Czechia_2002,Czechia,2002,0.41,18,26.3
Czechia_2003,Czechia,2003,0.41673,18.6,27.2
Czechia_2004,Czechia,2004,0.41027,20.2,28.5
Czechia_2005,Czechia,2005,0.43611,20.8,30.4
Czechia_2006,Czechia,2006,0.46679,21.2,32.4
Czechia_2007,Czechia,2007,0.47125,22.4,34
Czechia_2008,Czechia,2008,0.45972,23.5,34.6
Czechia_2009,Czechia,2009,0.44715,22.5,32.8
Czechia_2010,Czechia,2010,0.47044,22,33.5
Czechia_2011,Czechia,2011,0.47336,22.3,34
Czechia_2012,Czechia,2012,0.46572,22.4,33.7
Czechia_2013,Czechia,2013,0.47635,21.9,33.7
Czechia_2014,Czechia,2014,0.48292,22.2,34.4
Czechia_2015,Czechia,2015,0.50948,22.5,36.2
Czechia_2016,Czechia,2016,0.51953,22.7,37
Denmark_1990,Denmark,1990,0.84121,15,39
Denmark_1991,Denmark,1991,0.65431,19.6,39.5
Denmark_1992,Denmark,1992,0.77348,16.9,40.1
Denmark_1993,Denmark,1993,0.75322,17.3,40
Denmark_1994,Denmark,1994,0.7655,18.1,42
Denmark_1995,Denmark,1995,0.75492,18.9,43
Denmark_1996,Denmark,1996,0.81108,18.1,44
Denmark_1997,Denmark,1997,0.85487,17.8,45.3
Denmark_1998,Denmark,1998,0.71975,21.6,46.1
Denmark_1999,Denmark,1999,0.74612,21.5,47.3
Denmark_2000,Denmark,2000,0.71989,23.2,48.9
Denmark_2001,Denmark,2001,0.78065,21.5,49.1
Denmark_2002,Denmark,2002,0.74448,22.6,49.2
Denmark_2003,Denmark,2003,0.73976,22.8,49.3
Denmark_2004,Denmark,2004,0.72469,23.9,50.4
Denmark_2005,Denmark,2005,0.71096,25,51.5
Denmark_2006,Denmark,2006,0.70673,26.2,53.3
Denmark_2007,Denmark,2007,0.66335,28.1,53.6
Denmark_2008,Denmark,2008,0.65923,27.9,53
Denmark_2009,Denmark,2009,0.67703,25.4,50.1
Denmark_2010,Denmark,2010,0.72553,24.1,50.8
Denmark_2011,Denmark,2011,0.72804,24.3,51.3
Denmark_2012,Denmark,2012,0.72935,24.2,51.2
Denmark_2013,Denmark,2013,0.73751,24.1,51.5
Denmark_2014,Denmark,2014,0.74298,24.2,52
Denmark_2015,Denmark,2015,0.7552,24.3,52.9
El Salvador_1991,El Salvador,1991,0.00671,4.47,5.29
El Salvador_1992,El Salvador,1992,0.00857,3.5,5.59
El Salvador_1993,El Salvador,1993,0.00785,3.82,5.83
Estonia_2003,Estonia,2003,0.29882,18.9,22.1
Estonia_2004,Estonia,2004,0.30769,20.5,23.7
Estonia_2005,Estonia,2005,0.31867,22.9,26.1
Estonia_2006,Estonia,2006,0.3378,24.9,28.8
Estonia_2007,Estonia,2007,0.31304,29.9,31.1
Estonia_2008,Estonia,2008,0.32255,27.1,29.6
Estonia_2009,Estonia,2009,0.29153,23.9,25.3
Estonia_2010,Estonia,2010,0.30109,24.1,26
Estonia_2011,Estonia,2011,0.32325,25,28
Estonia_2012,Estonia,2012,0.33439,25.4,29
Estonia_2013,Estonia,2013,0.31071,28,29.5
Estonia_2014,Estonia,2014,0.31861,28.6,30.5
Estonia_2015,Estonia,2015,0.3328,28,31
Finland_1990,Finland,1990,0.50765,19.9,32.9
Finland_1991,Finland,1991,0.49391,18.7,30.8
Finland_1992,Finland,1992,0.31902,27.4,29.6
Finland_1993,Finland,1993,0.36826,23.4,29.3
Finland_1994,Finland,1994,0.36707,24.6,30.3
Finland_1995,Finland,1995,0.39036,24.4,31.5
Finland_1996,Finland,1996,0.41233,24.1,32.5
Finland_1997,Finland,1997,0.44656,24.1,34.5
Finland_1998,Finland,1998,0.44591,25.8,36.3
Finland_1999,Finland,1999,0.41096,29.5,37.8
Finland_2000,Finland,2000,0.43883,29.6,39.9
Finland_2001,Finland,2001,0.39764,33.6,40.8
Finland_2002,Finland,2002,0.39558,34.4,41.4
Finland_2003,Finland,2003,0.38186,36.5,42.2
Finland_2004,Finland,2004,0.39026,37.3,43.7
Finland_2005,Finland,2005,0.3971,37.8,44.8
Finland_2006,Finland,2006,0.40492,38.7,46.4
Finland_2007,Finland,2007,0.41652,39.9,48.7
Finland_2008,Finland,2008,0.42609,39.1,48.8
Finland_2009,Finland,2009,0.41237,36.3,44.7
Finland_2010,Finland,2010,0.44437,34.8,45.9
Finland_2011,Finland,2011,0.44859,35.3,46.8
Finland_2012,Finland,2012,0.44301,35,46
Finland_2013,Finland,2013,0.42864,35.5,45.3
Finland_2014,Finland,2014,0.43,35.1,45
France_1990,France,1990,0.61366,17,33.7
France_1991,France,1991,0.60429,17.4,33.9
France_1992,France,1992,0.53667,19.9,34.3
France_1993,France,1993,0.55929,18.8,33.9
France_1994,France,1994,0.57161,18.9,34.6
France_1995,France,1995,0.52374,21.1,35.2
France_1996,France,1996,0.58506,19.1,35.5
France_1997,France,1997,0.64632,17.8,36.3
France_1998,France,1998,0.62283,19.2,37.4
France_1999,France,1999,0.63651,19.5,38.5
France_2000,France,2000,0.64214,20.1,39.7
France_2001,France,2001,0.67944,19.3,40.2
France_2002,France,2002,0.65978,20,40.4
France_2003,France,2003,0.63441,20.8,40.4
France_2004,France,2004,0.62809,21.6,41.3
France_2005,France,2005,0.62801,21.8,41.6
France_2006,France,2006,0.63441,22.1,42.4
France_2007,France,2007,0.6276,22.8,43.1
France_2008,France,2008,0.62579,22.8,43
France_2009,France,2009,0.62042,22,41.5
France_2010,France,2010,0.66492,20.9,42.1
France_2011,France,2011,0.69399,20.5,42.9
France_2012,France,2012,0.68862,20.6,42.8
France_2013,France,2013,0.68529,20.7,42.8
France_2014,France,2014,0.68268,20.9,43
Germany_1991,Germany,1991,0.63228,19.5,38.3
Germany_1992,Germany,1992,0.59782,20.9,38.7
Germany_1993,Germany,1993,0.61853,19.8,38.1
Germany_1994,Germany,1994,0.61652,20.4,38.9
Germany_1995,Germany,1995,0.64237,19.9,39.4
Germany_1996,Germany,1996,0.67009,19.2,39.6
Germany_1997,Germany,1997,0.70882,18.5,40.2
Germany_1998,Germany,1998,0.68239,19.7,41
Germany_1999,Germany,1999,0.67848,20.3,41.8
Germany_2000,Germany,2000,0.7043,20.2,42.9
Germany_2001,Germany,2001,0.75997,19.1,43.6
Germany_2002,Germany,2002,0.76365,18.9,43.4
Germany_2003,Germany,2003,0.71906,19.9,43.1
Germany_2004,Germany,2004,0.69786,20.8,43.6
Germany_2005,Germany,2005,0.70721,20.7,43.9
Germany_2006,Germany,2006,0.73246,21,45.7
Germany_2007,Germany,2007,0.73207,21.8,47.1
Germany_2008,Germany,2008,0.73479,22,47.6
Germany_2009,Germany,2009,0.70859,21.3,45
Germany_2010,Germany,2010,0.76162,20.9,47
Germany_2011,Germany,2011,0.80913,21.1,49.8
Germany_2012,Germany,2012,0.79231,21.6,49.9
Germany_2013,Germany,2013,0.78334,21.9,50
Germany_2014,Germany,2014,0.78762,22.2,50.8
Germany_2015,Germany,2015,0.78098,22.6,51.2
Greece_1995,Greece,1995,0.26572,25.6,24.9
Greece_1996,Greece,1996,0.26806,26.3,25.5
Greece_1997,Greece,1997,0.27335,27.3,26.5
Greece_1998,Greece,1998,0.26645,29.4,27.4
Greece_1999,Greece,1999,0.26544,30.6,28.1
Greece_2000,Greece,2000,0.26588,32.1,29.1
Greece_2001,Greece,2001,0.28089,32,30.2
Greece_2002,Greece,2002,0.28787,32.8,31.3
Greece_2003,Greece,2003,0.29316,34.6,33
Greece_2004,Greece,2004,0.30009,36,34.6
Greece_2005,Greece,2005,0.30124,36,34.7
Greece_2006,Greece,2006,0.32457,35.7,36.5
Greece_2007,Greece,2007,0.32543,37,37.6
Greece_2008,Greece,2008,0.3206,37.3,37.4
Greece_2009,Greece,2009,0.33109,34,35.7
Greece_2010,Greece,2010,0.34544,30.2,33.7
Greece_2011,Greece,2011,0.32021,28.2,30.3
Greece_2012,Greece,2012,0.29408,27.9,28.3
Greece_2013,Greece,2013,0.30529,26.2,27.8
Greece_2014,Greece,2014,0.31002,26.2,28.1
Greece_2015,Greece,2015,0.31316,26.2,28.3
Hungary_2004,Hungary,2004,0.40155,15.4,23.4
Hungary_2005,Hungary,2005,0.39031,16.9,24.4
Hungary_2006,Hungary,2006,0.46416,15.1,25.4
Hungary_2007,Hungary,2007,0.47316,14.9,25.5
Hungary_2008,Hungary,2008,0.44558,16.1,25.8
Hungary_2009,Hungary,2009,0.44923,14.5,24.2
Hungary_2010,Hungary,2010,0.50285,13.2,24.5
Hungary_2011,Hungary,2011,0.51847,13.2,25
Hungary_2012,Hungary,2012,0.5409,12.5,24.8
Hungary_2013,Hungary,2013,0.53187,13.1,25.3
Hungary_2014,Hungary,2014,0.52925,14.1,26.5
Hungary_2015,Hungary,2015,0.55069,14.3,27.5
Hungary_2016,Hungary,2016,0.55915,14.6,28.2
Iceland_2003,Iceland,2003,0.36503,39.2,43.1
Iceland_2004,Iceland,2004,0.34702,44.8,46.1
Iceland_2005,Iceland,2005,0.29605,55.3,48.1
Iceland_2006,Iceland,2006,0.28784,59.6,50
Iceland_2007,Iceland,2007,0.31788,57.6,52.8
Iceland_2008,Iceland,2008,0.41801,44,53
Iceland_2009,Iceland,2009,0.5289,31.5,48.8
Iceland_2010,Iceland,2010,0.51515,31.3,47.5
Iceland_2011,Iceland,2011,0.49736,33,48.2
Iceland_2012,Iceland,2012,0.49387,33.4,48.4
Iceland_2013,Iceland,2013,0.51303,33.6,50.2
Iceland_2014,Iceland,2014,0.51365,33.8,50.5
Iceland_2015,Iceland,2015,0.52849,34.1,52.1
Iceland_2016,Iceland,2016,0.55505,34.4,54.7
Ireland_1990,Ireland,1990,0.55382,13.4,26.4
Ireland_1991,Ireland,1991,0.46541,16.3,26.8
Ireland_1992,Ireland,1992,0.55457,14.2,27.5
Ireland_1993,Ireland,1993,0.61071,13.3,28.1
Ireland_1994,Ireland,1994,0.60702,14.4,29.6
Ireland_1995,Ireland,1995,0.61979,15.9,32.3
Ireland_1996,Ireland,1996,0.65371,16.4,34.4
Ireland_1997,Ireland,1997,0.68882,17.6,37.8
Ireland_1998,Ireland,1998,0.67611,19.7,40.7
Ireland_1999,Ireland,1999,0.71228,20.9,44.5
Ireland_2000,Ireland,2000,0.7194,22.7,48
Ireland_2001,Ireland,2001,0.81102,21,49.7
Ireland_2002,Ireland,2002,0.8062,22.2,51.8
Ireland_2003,Ireland,2003,0.7515,24.2,52.5
Ireland_2004,Ireland,2004,0.73913,26,55
Ireland_2005,Ireland,2005,0.72469,28.2,56.9
Ireland_2006,Ireland,2006,0.74417,29,58.2
Ireland_2007,Ireland,2007,0.81028,28.2,59.5
Ireland_2008,Ireland,2008,0.70824,27.7,55.7
Ireland_2009,Ireland,2009,0.80821,22.4,52.3
Ireland_2010,Ireland,2010,0.8635,21.3,53
Ireland_2011,Ireland,2011,0.90324,20.5,53.3
Ireland_2012,Ireland,2012,0.9016,20.4,53
Ireland_2013,Ireland,2013,0.90085,20.6,53.4
Israel_1995,Israel,1995,0.28445,25.8,26.2
Israel_1996,Israel,1996,0.29427,26.2,27.1
Israel_1997,Israel,1997,0.3125,25.2,27.5
Israel_1998,Israel,1998,0.28759,28.1,28
Israel_1999,Israel,1999,0.30124,27.1,28.2
Israel_2000,Israel,2000,0.32955,26.9,29.9
Israel_2001,Israel,2001,0.33531,25.7,29.3
Israel_2002,Israel,2002,0.32282,25.8,28.6
Israel_2003,Israel,2003,0.36189,22.9,28.5
Israel_2004,Israel,2004,0.43303,19.9,29.3
Israel_2005,Israel,2005,0.41042,21.7,30
Israel_2006,Israel,2006,0.42157,22.3,31.2
Israel_2007,Israel,2007,0.42833,23.2,32.5
Israel_2008,Israel,2008,0.45082,22.5,33
Israel_2009,Israel,2009,0.45564,21.9,32.6
Israel_2010,Israel,2010,0.4632,22.7,33.9
Israel_2011,Israel,2011,0.46259,23.8,35.1
Israel_2012,Israel,2012,0.47175,23.6,35.4
Israel_2013,Israel,2013,0.48309,23.9,36.4
Israel_2014,Israel,2014,0.49898,23.8,37.2
Israel_2015,Israel,2015,0.50071,23.8,37.3
Italy_1990,Italy,1990,0.75021,15.5,36.6
Italy_1991,Italy,1991,0.71724,16.5,37.1
Italy_1992,Italy,1992,0.60702,19.7,37.4
Italy_1993,Italy,1993,0.71724,16.5,37.1
Italy_1994,Italy,1994,0.72841,16.7,37.9
Italy_1995,Italy,1995,0.73549,17.1,38.9
Italy_1996,Italy,1996,0.75195,17,39.4
Italy_1997,Italy,1997,0.74697,17.5,40.1
Italy_1998,Italy,1998,0.7222,18.5,40.8
Italy_1999,Italy,1999,0.7109,19.2,41.5
Italy_2000,Italy,2000,0.73759,19.4,43.1
Italy_2001,Italy,2001,0.75851,19.3,43.9
Italy_2002,Italy,2002,0.72114,20.3,43.9
Italy_2003,Italy,2003,0.66657,21.9,43.8
Italy_2004,Italy,2004,0.64569,22.8,44.1
Italy_2005,Italy,2005,0.63811,23.2,44.3
Italy_2006,Italy,2006,0.62455,24.1,44.9
Italy_2007,Italy,2007,0.61773,24.7,45.4
Italy_2008,Italy,2008,0.61686,24.2,44.6
Italy_2009,Italy,2009,0.60951,22.8,42.1
Italy_2010,Italy,2010,0.63713,22.2,42.7
Italy_2011,Italy,2011,0.69739,20.4,42.9
Italy_2012,Italy,2012,0.66259,20.6,41.5
Italy_2013,Italy,2013,0.648,20.3,40.3
Italy_2014,Italy,2014,0.63363,20.5,39.9
Italy_2015,Italy,2015,0.62742,20.9,40.2
Japan_2008,Japan,2008,0.4803,26.1,38.8
Japan_2009,Japan,2009,0.49482,23.5,36.6
Japan_2010,Japan,2010,0.51029,24,38.1
Japan_2011,Japan,2011,0.47654,25.7,38.1
Japan_2012,Japan,2012,0.46796,26.7,38.7
Japan_2013,Japan,2013,0.50652,25.4,39.6
Jordan_2008,Jordan,2008,0.1704,7.97,11.7
Jordan_2009,Jordan,2009,0.17301,7.85,11.7
Jordan_2010,Jordan,2010,0.14204,8.4,11.3
Kazakhstan_2000,Kazakhstan,2000,0.0673,11.6,10.3
Kazakhstan_2001,Kazakhstan,2001,0.09841,13.8,11.7
Kazakhstan_2002,Kazakhstan,2002,0.13129,13.8,12.8
Kazakhstan_2003,Kazakhstan,2003,0.16245,14.2,14
Kazakhstan_2004,Kazakhstan,2004,0.19456,14.4,15.2
Kazakhstan_2005,Kazakhstan,2005,0.22553,14.8,16.5
Kazakhstan_2006,Kazakhstan,2006,0.24083,16.6,18.1
Kazakhstan_2007,Kazakhstan,2007,0.24337,18.8,19.5
Kazakhstan_2008,Kazakhstan,2008,0.2797,16.8,19.8
Kazakhstan_2009,Kazakhstan,2009,0.25936,17.8,19.6
Kazakhstan_2010,Kazakhstan,2010,0.30425,16.8,20.8
Kazakhstan_2011,Kazakhstan,2011,0.30975,18.1,22
Kazakhstan_2012,Kazakhstan,2012,0.35513,16.6,22.7
Kazakhstan_2013,Kazakhstan,2013,0.34468,18.3,23.7
Kazakhstan_2014,Kazakhstan,2014,0.37058,17.8,24.4
Kazakhstan_2015,Kazakhstan,2015,0.36826,17.8,24.3
Kyrgyzstan_2000,Kyrgyzstan,2000,0.00495,6.06,3.08
Kyrgyzstan_2001,Kyrgyzstan,2001,0.00503,5.97,3.21
Kyrgyzstan_2002,Kyrgyzstan,2002,0.00478,6.27,3.18
Kyrgyzstan_2003,Kyrgyzstan,2003,0.00441,6.8,3.37
Kyrgyzstan_2004,Kyrgyzstan,2004,0.00425,7.06,3.56
Kyrgyzstan_2005,Kyrgyzstan,2005,0.00426,7.04,3.52
Kyrgyzstan_2006,Kyrgyzstan,2006,0.00414,7.25,3.59
Kyrgyzstan_2007,Kyrgyzstan,2007,0.00382,7.85,3.86
Kyrgyzstan_2008,Kyrgyzstan,2008,0.00347,8.65,4.14
Kyrgyzstan_2009,Kyrgyzstan,2009,0.00393,7.64,4.21
Kyrgyzstan_2010,Kyrgyzstan,2010,0.0039,7.69,4.14
Kyrgyzstan_2011,Kyrgyzstan,2011,0.00362,8.28,4.34
Kyrgyzstan_2012,Kyrgyzstan,2012,0.00362,8.28,4.26
Kyrgyzstan_2013,Kyrgyzstan,2013,0.00347,8.64,4.63
