dmu,country,year,efficiencies,foreign_investment,mean_years_in_school
Australia_1991,Australia,1991,0.05857,59.301,11.8
Australia_1992,Australia,1992,0.05787,60.02,11.8
Australia_1993,Australia,1993,0.0577,60.2,11.8
Australia_1994,Australia,1994,0.058,59.88,11.8
Australia_1995,Australia,1995,0.05592,62.11,11.8
Australia_1996,Australia,1996,0.05824,59.64,11.8
Australia_1997,Australia,1997,0.05754,60.36,11.8
Australia_1998,Australia,1998,0.05751,60.4,11.8
Australia_1999,Australia,1999,0.10067,59.068,11.9
Australia_2000,Australia,2000,0.09579,62.08,11.9
Australia_2001,Australia,2001,0.09696,61.33,11.9
Australia_2002,Australia,2002,0.05583,62.21,11.8
Australia_2003,Australia,2003,0.05749,60.42,11.8
Australia_2004,Australia,2004,0.05304,65.49,11.8
Australia_2005,Australia,2005,0.01822,54.89,11.7
Australia_2006,Australia,2006,0.09501,62.59,11.9
Australia_2007,Australia,2007,0.13218,63.7,12
Australia_2008,Australia,2008,0.25231,62.78,12.3
Australia_2009,Australia,2009,0.25718,61.59,12.3
Australia_2010,Australia,2010,0.29744,61.57,12.4
Australia_2011,Australia,2011,0.32896,63.19,12.5
Australia_2012,Australia,2012,0.37383,62.22,12.6
Australia_2013,Australia,2013,0.3754,61.96,12.6
Australia_2014,Australia,2014,0.4097,62.81,12.7
Australia_2015,Australia,2015,0.45517,61.97,12.8
Austria_1990,Austria,1990,0.01698,58.892,8.64
Austria_1991,Austria,1991,0.01703,58.707,8.7
Austria_1992,Austria,1992,0.01687,59.261,8.7
Austria_1993,Austria,1993,0.01692,59.091,8.8
Austria_1994,Austria,1994,0.0168,59.52,8.8
Austria_1995,Austria,1995,0.01688,59.257,8.9
Austria_1996,Austria,1996,0.01658,60.32,8.9
Austria_1997,Austria,1997,0.01674,59.75,8.9
Austria_1998,Austria,1998,0.0165,60.59,9
Austria_1999,Austria,1999,0.0167,59.87,9
Austria_2000,Austria,2000,0.01592,62.81,9
Austria_2001,Austria,2001,0.01629,61.38,9.2
Austria_2002,Austria,2002,0.01708,58.5645,9.4
Austria_2003,Austria,2003,0.01643,60.86,9.6
Austria_2004,Austria,2004,0.01679,59.56,9.8
Austria_2005,Austria,2005,0.01188,84.2,9.9
Austria_2006,Austria,2006,0.01623,61.62,10.1
Austria_2007,Austria,2007,0.01312,76.2,11.6
Austria_2008,Austria,2008,0.01668,59.96,11.5
Austria_2009,Austria,2009,0.01611,62.06,11.7
Austria_2010,Austria,2010,0.06567,52.89,11.8
Austria_2011,Austria,2011,0.05442,63.82,11.8
Austria_2012,Austria,2012,0.05811,59.77,11.8
Austria_2013,Austria,2013,0.10147,58.605,11.9
Austria_2014,Austria,2014,0.18499,58.887,12.1
Austria_2015,Austria,2015,0.19311,56.41,12.1
Austria_2016,Austria,2016,0.2128,51.19,12.1
Azerbaijan_1995,Azerbaijan,1995,0.01385,72.2,10.2
Azerbaijan_1996,Azerbaijan,1996,0.01279,78.2,10.3
Azerbaijan_1997,Azerbaijan,1997,0.01155,86.6,10.4
Azerbaijan_1998,Azerbaijan,1998,0.01227,81.5,10.5
Azerbaijan_1999,Azerbaijan,1999,0.01437,69.6,10.5
Azerbaijan_2000,Azerbaijan,2000,0.0164,60.96,10.6
Azerbaijan_2001,Azerbaijan,2001,0.01372,72.9,10.6
Azerbaijan_2002,Azerbaijan,2002,0.01099,91,10.6
Azerbaijan_2003,Azerbaijan,2003,0.0088,113.6,10.6
Azerbaijan_2004,Azerbaijan,2004,0.00886,112.9,10.6
Azerbaijan_2005,Azerbaijan,2005,0.01083,92.3,10.7
Belarus_1998,Belarus,1998,0.01671,59.83,8.8
Belarus_1999,Belarus,1999,0.01609,62.16,8.8
Belarus_2000,Belarus,2000,0.01683,59.433,8.9
Belarus_2001,Belarus,2001,0.01687,59.275,9
Belgium_1990,Belgium,1990,0.01602,62.42,9.1
Belgium_1991,Belgium,1991,0.01589,62.95,9.5
Belgium_1992,Belgium,1992,0.0158,63.31,9.5
Belgium_1993,Belgium,1993,0.0158,63.28,9.6
Belgium_1994,Belgium,1994,0.01613,61.98,9.7
Belgium_1995,Belgium,1995,0.01607,62.21,9.7
Belgium_1996,Belgium,1996,0.01574,63.54,9.8
Belgium_1997,Belgium,1997,0.01581,63.25,9.8
Belgium_1998,Belgium,1998,0.01486,67.28,9.9
Belgium_1999,Belgium,1999,0.00954,104.8,10
Belgium_2000,Belgium,2000,0.01042,96,10
Belgium_2001,Belgium,2001,0.01044,95.8,10.2
Belgium_2002,Belgium,2002,0.01526,65.51,10.3
Belgium_2003,Belgium,2003,0.01441,69.4,10.4
Belgium_2004,Belgium,2004,0.01416,70.6,10.5
Belgium_2005,Belgium,2005,0.01487,67.23,10.7
Belgium_2006,Belgium,2006,0.01372,72.9,11.1
Belgium_2007,Belgium,2007,0.01266,79,11.1
Belgium_2008,Belgium,2008,0.01049,95.3,11
Belgium_2009,Belgium,2009,0.01342,74.5,11.1
Belgium_2010,Belgium,2010,0.01182,84.6,11.1
Belgium_2011,Belgium,2011,0.01114,89.8,11.2
Belgium_2012,Belgium,2012,0.01643,60.88,11.2
Belgium_2013,Belgium,2013,0.01893,52.82,11.4
Belgium_2014,Belgium,2014,0.01797,55.66,11.5
Belgium_2015,Belgium,2015,0.01842,54.28,11.7
Bulgaria_2006,Bulgaria,2006,0.01229,81.4,10.4
Bulgaria_2007,Bulgaria,2007,0.01115,89.7,10.5
Bulgaria_2008,Bulgaria,2008,0.01292,77.4,10.5
Bulgaria_2009,Bulgaria,2009,0.01515,65.99,10.6
Bulgaria_2010,Bulgaria,2010,0.01609,62.14,10.6
Bulgaria_2011,Bulgaria,2011,0.01609,62.15,10.7
Bulgaria_2012,Bulgaria,2012,0.01618,61.79,10.8
Bulgaria_2013,Bulgaria,2013,0.01611,62.06,10.9
Bulgaria_2014,Bulgaria,2014,0.01655,60.42,10.9
Canada_1990,Canada,1990,0.01669,59.91,10.28
Canada_1991,Canada,1991,0.01693,59.076,10.3
Canada_1992,Canada,1992,0.01676,59.68,10.4
Canada_1993,Canada,1993,0.01689,59.224,10.5
Canada_1994,Canada,1994,0.01663,60.15,10.6
Canada_1995,Canada,1995,0.01646,60.76,10.6
Canada_1996,Canada,1996,0.01669,59.9,10.7
Canada_1997,Canada,1997,0.01644,60.82,10.8
Canada_1998,Canada,1998,0.01602,62.44,10.8
Canada_1999,Canada,1999,0.01599,62.55,10.9
Canada_2000,Canada,2000,0.01478,67.67,11
Canada_2001,Canada,2001,0.01604,62.34,11.2
Canada_2002,Canada,2002,0.0162,61.72,11.5
Canada_2003,Canada,2003,0.01687,59.283,11.7
Canada_2004,Canada,2004,0.14359,58.641,12
Canada_2005,Canada,2005,0.22028,60.68,12.2
Chile_1990,Chile,1990,0.01653,60.5,8.02
Chile_1991,Chile,1991,0.01648,60.67,8.1
Chile_1992,Chile,1992,0.01652,60.54,8.2
Chile_1993,Chile,1993,0.0165,60.6,8.3
Chile_1994,Chile,1994,0.01587,63.03,8.3
Colombia_1992,Colombia,1992,0.01674,59.75,5.7
Colombia_1993,Colombia,1993,0.01668,59.94,5.8
Colombia_1994,Colombia,1994,0.01659,60.27,6
Costa Rica_1990,Costa Rica,1990,0.0163,61.35,6.72
Costa Rica_1991,Costa Rica,1991,0.0164,60.98,7
Costa Rica_1992,Costa Rica,1992,0.01636,61.14,7.1
Costa Rica_1993,Costa Rica,1993,0.01637,61.07,7.2
Costa Rica_1994,Costa Rica,1994,0.0163,61.34,7.3
Costa Rica_1995,Costa Rica,1995,0.01628,61.41,7.4
Croatia_2009,Croatia,2009,0.01578,63.37,10.6
Croatia_2010,Croatia,2010,0.01638,61.06,10.8
Croatia_2011,Croatia,2011,0.01653,60.48,11
Croatia_2012,Croatia,2012,0.01638,61.06,11
Croatia_2013,Croatia,2013,0.01662,60.16,11
Croatia_2014,Croatia,2014,0.01563,63.96,11.1
Croatia_2015,Croatia,2015,0.01707,58.589,11.2
Croatia_2016,Croatia,2016,0.01686,59.322,11.3
Cyprus_2004,Cyprus,2004,0.01539,64.96000000000001,10.5
Cyprus_2005,Cyprus,2005,0.01543,64.8,10.7
Cyprus_2006,Cyprus,2006,0.01474,67.83,10.9
Cyprus_2007,Cyprus,2007,0.01469,68.07,11.2
Cyprus_2008,Cyprus,2008,0.00974,102.7,11.3
Cyprus_2009,Cyprus,2009,0.00325,307.5,11.3
Cyprus_2010,Cyprus,2010,0.00557,179.5,11.5
Cyprus_2011,Cyprus,2011,0.00487,205.5,11.6
Cyprus_2012,Cyprus,2012,0.01026,338.5,11.8
Cyprus_2013,Cyprus,2013,0.05027,167.5,12
Cyprus_2014,Cyprus,2014,0.02112,281.5,11.9
Cyprus_2015,Cyprus,2015,0.02908,204.5,11.9
Cyprus_2016,Cyprus,2016,0.10992,99.1,12.1
Czechia_1993,Czechia,1993,0.01664,60.1,8.9
Czechia_1994,Czechia,1994,0.01657,60.34,9.1
Czechia_1995,Czechia,1995,0.01593,62.77,9.4
Czechia_1996,Czechia,1996,0.01649,60.63,9.6
Czechia_1997,Czechia,1997,0.01651,60.57,9.9
Czechia_1998,Czechia,1998,0.01562,64.03999999999999,10.1
Czechia_1999,Czechia,1999,0.01466,68.19,10.4
Czechia_2000,Czechia,2000,0.01502,66.57,10.6
Czechia_2001,Czechia,2001,0.01497,66.82,10.9
Czechia_2002,Czechia,2002,0.01453,68.8,11.1
Czechia_2003,Czechia,2003,0.01652,60.52,11.4
Czechia_2004,Czechia,2004,0.01566,63.86,11.6
Czechia_2005,Czechia,2005,0.08681,68.5,11.9
Czechia_2006,Czechia,2006,0.17275,63.06,12.1
Czechia_2007,Czechia,2007,0.20326,65.76,12.2
Czechia_2008,Czechia,2008,0.21483,62.22,12.2
Czechia_2009,Czechia,2009,0.2595,61.04,12.3
Czechia_2010,Czechia,2010,0.28904,63.36,12.4
Czechia_2011,Czechia,2011,0.34461,60.32,12.5
Czechia_2012,Czechia,2012,0.2906,63.02,12.4
Czechia_2013,Czechia,2013,0.37528,61.98,12.6
Czechia_2014,Czechia,2014,0.45232,62.36,12.8
Czechia_2015,Czechia,2015,0.43319,59.404,12.7
Czechia_2016,Czechia,2016,0.40189,64.03,12.7
Denmark_1990,Denmark,1990,0.01686,59.319,8.96
Denmark_1991,Denmark,1991,0.01677,59.62,9.2
Denmark_1992,Denmark,1992,0.0169,59.165,9.3
Denmark_1993,Denmark,1993,0.01675,59.7,9.5
Denmark_1994,Denmark,1994,0.0162,61.71,9.7
Denmark_1995,Denmark,1995,0.01646,60.74,9.9
Denmark_1996,Denmark,1996,0.01697,58.912,10.1
Denmark_1997,Denmark,1997,0.01664,60.11,10.2
Denmark_1998,Denmark,1998,0.01606,62.27,10.4
Denmark_1999,Denmark,1999,0.01471,67.97,10.6
Denmark_2000,Denmark,2000,0.01244,80.4,10.7
Denmark_2001,Denmark,2001,0.01559,64.14,11.4
Denmark_2002,Denmark,2002,0.17864,60.98,12.1
Denmark_2003,Denmark,2003,0.47773,59.043,12.8
Denmark_2004,Denmark,2004,0.51285,55,12.8
Denmark_2005,Denmark,2005,0.44518,63.36,12.8
Denmark_2006,Denmark,2006,0.47532,59.343,12.8
Denmark_2007,Denmark,2007,0.33419,62.2,12.5
Denmark_2008,Denmark,2008,0.51894,59.12,12.9
Denmark_2009,Denmark,2009,0.43126,59.67,12.7
Denmark_2010,Denmark,2010,0.46916,54.85,12.7
Denmark_2011,Denmark,2011,0.41213,62.44,12.7
Denmark_2012,Denmark,2012,0.52723,53.5,12.8
Denmark_2013,Denmark,2013,0.64909,58.698,13.2
Denmark_2014,Denmark,2014,0.46731,60.36,12.8
Denmark_2015,Denmark,2015,0.35165,59.111,12.5
El Salvador_1991,El Salvador,1991,0.01696,58.979,3.8
El Salvador_1992,El Salvador,1992,0.01702,58.763,3.9
El Salvador_1993,El Salvador,1993,0.01702,58.746,4
Estonia_2003,Estonia,2003,0.08618,69,11.9
Estonia_2004,Estonia,2004,0.12483,67.45,12
Estonia_2005,Estonia,2005,0.13583,80.2,12.1
Estonia_2006,Estonia,2006,0.19428,68.8,12.2
Estonia_2007,Estonia,2007,0.18565,72,12.2
Estonia_2008,Estonia,2008,0.23777,66.62,12.3
Estonia_2009,Estonia,2009,0.26927,68.01,12.4
Estonia_2010,Estonia,2010,0.28951,71.8,12.5
Estonia_2011,Estonia,2011,0.32828,63.32,12.5
Estonia_2012,Estonia,2012,0.31371,66.26,12.5
Estonia_2013,Estonia,2013,0.36997,62.87,12.6
Estonia_2014,Estonia,2014,0.3568,65.19,12.6
Estonia_2015,Estonia,2015,0.46475,55.37,12.7
Finland_1990,Finland,1990,0.01693,59.074,7.46
Finland_1991,Finland,1991,0.01715,58.318,7.7
Finland_1992,Finland,1992,0.01699,58.852,7.9
Finland_1993,Finland,1993,0.01682,59.468,8.2
Finland_1994,Finland,1994,0.01702,58.769,8.4
Finland_1995,Finland,1995,0.01678,59.58,8.6
Finland_1996,Finland,1996,0.01693,59.07,8.8
Finland_1997,Finland,1997,0.01655,60.43,8.9
Finland_1998,Finland,1998,0.01474,67.84,9
Finland_1999,Finland,1999,0.01556,64.25999999999999,9.2
Finland_2000,Finland,2000,0.01445,69.2,9.3
Finland_2001,Finland,2001,0.0164,60.99,9.4
Finland_2002,Finland,2002,0.01556,64.27,9.5
Finland_2003,Finland,2003,0.01613,61.98,9.6
Finland_2004,Finland,2004,0.09602,61.93,11.9
Finland_2005,Finland,2005,0.13197,63.8,12
Finland_2006,Finland,2006,0.13885,60.64,12
Finland_2007,Finland,2007,0.12554,67.07,12
Finland_2008,Finland,2008,0.20473,65.29,12.2
Finland_2009,Finland,2009,0.24294,55.02,12.2
Finland_2010,Finland,2010,0.24984,63.4,12.3
Finland_2011,Finland,2011,0.28125,56.32,12.3
Finland_2012,Finland,2012,0.30315,60.41,12.4
Finland_2013,Finland,2013,0.27941,56.69,12.3
Finland_2014,Finland,2014,0.28226,64.88,12.4
France_1990,France,1990,0.0168,59.54,7.33
France_1991,France,1991,0.01675,59.69,7.5
France_1992,France,1992,0.01665,60.06,7.8
France_1993,France,1993,0.01665,60.07,8.1
France_1994,France,1994,0.01677,59.63,8.4
France_1995,France,1995,0.01667,59.98,8.8
France_1996,France,1996,0.0167,59.87,9
France_1997,France,1997,0.01664,60.09,9.2
France_1998,France,1998,0.01654,60.46,9.4
France_1999,France,1999,0.01624,61.58,9.6
France_2000,France,2000,0.01625,61.53,9.8
France_2001,France,2001,0.01609,62.14,10
France_2002,France,2002,0.01615,61.93,10.1
France_2003,France,2003,0.01645,60.8,10.2
France_2004,France,2004,0.01662,60.18,10.3
France_2005,France,2005,0.01603,62.38,10.4
France_2006,France,2006,0.01616,61.9,10.6
France_2007,France,2007,0.01622,61.65,10.7
France_2008,France,2008,0.01644,60.82,10.7
France_2009,France,2009,0.0169,59.182,10.8
France_2010,France,2010,0.01668,59.97,10.9
France_2011,France,2011,0.01666,60.04,10.9
France_2012,France,2012,0.01674,59.73,11
France_2013,France,2013,0.01677,59.62,11.2
France_2014,France,2014,0.01703,58.703,11.4
Germany_1991,Germany,1991,0.01702,58.754,8.9
Germany_1992,Germany,1992,0.01712,58.4,9.1
Germany_1993,Germany,1993,0.01709,58.5232,9.3
Germany_1994,Germany,1994,0.01699,58.841,9.5
Germany_1995,Germany,1995,0.01696,58.966,9.7
Germany_1996,Germany,1996,0.01691,59.124,9.8
Germany_1997,Germany,1997,0.01685,59.343,10
Germany_1998,Germany,1998,0.01672,59.82,10.2
Germany_1999,Germany,1999,0.01602,62.42,10.3
Germany_2000,Germany,2000,0.01404,71.2,11.2
Germany_2001,Germany,2001,0.01628,61.43,11.7
Germany_2002,Germany,2002,0.17867,60.97,12.1
Germany_2003,Germany,2003,0.34015,61.11,12.5
Germany_2004,Germany,2004,0.53103,57.775,12.9
Germany_2005,Germany,2005,0.66953,60.6,13.3
Germany_2006,Germany,2006,0.7814,61.42,13.6
Germany_2007,Germany,2007,0.84139,59.98,13.7
Germany_2008,Germany,2008,0.85065,59.327,13.7
Germany_2009,Germany,2009,0.87999,60.16,13.8
Germany_2010,Germany,2010,0.86744,61.03,13.8
Germany_2011,Germany,2011,0.90693,61.1,13.9
Germany_2012,Germany,2012,0.95902,60.36,14
Germany_2013,Germany,2013,0.95998000000000006,60.3,14
Germany_2014,Germany,2014,0.98111,59.001,14
Germany_2015,Germany,2015,1,60.36,14.1
Greece_1995,Greece,1995,0.01687,59.269,8.2
Greece_1996,Greece,1996,0.01688,59.225,8.3
Greece_1997,Greece,1997,0.0169,59.187,8.3
Greece_1998,Greece,1998,0.01708,58.5493,8.4
Greece_1999,Greece,1999,0.01708,58.558,8.5
Greece_2000,Greece,2000,0.0171,58.49372,8.6
Greece_2001,Greece,2001,0.01709,58.50147,8.8
Greece_2002,Greece,2002,0.01709,58.5221,9.1
Greece_2003,Greece,2003,0.01689,59.196,9.3
Greece_2004,Greece,2004,0.01684,59.391,9.6
Greece_2005,Greece,2005,0.01701,58.778,9.8
Greece_2006,Greece,2006,0.01653,60.48,9.9
Greece_2007,Greece,2007,0.01692,59.114,10
Greece_2008,Greece,2008,0.01664,60.11,10.1
Greece_2009,Greece,2009,0.01685,59.335,10.1
Greece_2010,Greece,2010,0.01704,58.679,10.3
Greece_2011,Greece,2011,0.01698,58.886,10.3
Greece_2012,Greece,2012,0.0169,59.187,10.3
Greece_2013,Greece,2013,0.01674,59.73,10.4
Greece_2014,Greece,2014,0.01676,59.65,10.5
Greece_2015,Greece,2015,0.01691,59.148,10.6
Hungary_2004,Hungary,2004,0.01591,62.86,10.6
Hungary_2005,Hungary,2005,0.01208,82.8,10.9
Hungary_2006,Hungary,2006,0.0134,74.6,11.1
Hungary_2007,Hungary,2007,0.00918,108.9,11.3
Hungary_2008,Hungary,2008,0.00944,105.9,11.5
Hungary_2009,Hungary,2009,0.01774,56.37,11.7
Hungary_2010,Hungary,2010,0.13894,42.8,11.9
Hungary_2011,Hungary,2011,0.12746,66.06,12
Hungary_2012,Hungary,2012,0.19983,66.89,12.2
Hungary_2013,Hungary,2013,0.15073,55.86,12
Hungary_2014,Hungary,2014,0.05126,67.76,11.8
Hungary_2015,Hungary,2015,0.06398,54.29,11.8
Hungary_2016,Hungary,2016,0.05277,112.7,11.9
Iceland_2003,Iceland,2003,0.01628,61.43,9.8
Iceland_2004,Iceland,2004,0.01563,63.96,9.9
Iceland_2005,Iceland,2005,0.013,76.9,10
Iceland_2006,Iceland,2006,0.01239,80.7,10.2
Iceland_2007,Iceland,2007,0.01109,90.2,10.3
Iceland_2008,Iceland,2008,0.01535,65.16,10.4
Iceland_2009,Iceland,2009,0.01695,58.983,10.5
Iceland_2010,Iceland,2010,0.01656,60.37,10.6
Iceland_2011,Iceland,2011,0.0152,65.77,11
Iceland_2012,Iceland,2012,0.01528,65.44,11.5
Iceland_2013,Iceland,2013,0.0968,61.43,11.9
Iceland_2014,Iceland,2014,0.21288,62.79,12.2
Iceland_2015,Iceland,2015,0.20551,65.04,12.2
Iceland_2016,Iceland,2016,0.34314,53.37,12.4
Ireland_1990,Ireland,1990,0.01673,59.76,9.73
Ireland_1991,Ireland,1991,0.01633,61.23,9.9
Ireland_1992,Ireland,1992,0.01636,61.11,10
Ireland_1993,Ireland,1993,0.01651,60.56,10.1
Ireland_1994,Ireland,1994,0.01667,60,10.3
Ireland_1995,Ireland,1995,0.0165,60.59,10.4
Ireland_1996,Ireland,1996,0.01614,61.95,10.5
Ireland_1997,Ireland,1997,0.01641,60.95,10.6
Ireland_1998,Ireland,1998,0.01463,68.33,10.7
Ireland_1999,Ireland,1999,0.013,76.9,10.8
Ireland_2000,Ireland,2000,0.01188,84.2,10.8
Ireland_2001,Ireland,2001,0.01485,67.33,11
Ireland_2002,Ireland,2002,0.0123,81.3,11.2
Ireland_2003,Ireland,2003,0.01383,72.3,11.4
Ireland_2004,Ireland,2004,0.01885,53.04,11.6
Ireland_2005,Ireland,2005,0.01239,80.7,11.7
Ireland_2006,Ireland,2006,0.05107,68.01,11.8
Ireland_2007,Ireland,2007,0.07369,80.7,11.9
Ireland_2008,Ireland,2008,0.12577,66.95,12
Ireland_2009,Ireland,2009,0.13399,81.3,12.1
Ireland_2010,Ireland,2010,0.17704,75.5,12.2
Ireland_2011,Ireland,2011,0.01462,68.42,10.9
Ireland_2012,Ireland,2012,0.01186,84.3,11.3
Ireland_2013,Ireland,2013,0.03938,88.2,11.8
Israel_1995,Israel,1995,0.01671,59.84,11.6
Israel_1996,Israel,1996,0.01673,59.77,11.7
Israel_1997,Israel,1997,0.05797,59.92,11.8
Israel_1998,Israel,1998,0.05789,60,11.8
Israel_1999,Israel,1999,0.09585,62.04,11.9
Israel_2000,Israel,2000,0.13038,64.58,12
Israel_2001,Israel,2001,0.18201,59.85,12.1
Israel_2002,Israel,2002,0.18213,59.81,12.1
Israel_2003,Israel,2003,0.21873,61.11,12.2
Israel_2004,Israel,2004,0.22032,60.67,12.2
Israel_2005,Israel,2005,0.25598,61.88,12.3
Israel_2006,Israel,2006,0.16057,67.84,12.1
Israel_2007,Israel,2007,0.32781,63.41,12.5
Israel_2008,Israel,2008,0.36781,63.24,12.6
Israel_2009,Israel,2009,0.38307,60.72,12.6
Israel_2010,Israel,2010,0.37833,61.48,12.6
Israel_2011,Israel,2011,0.4164,61.8,12.7
Israel_2012,Israel,2012,0.45502,61.99,12.8
Israel_2013,Israel,2013,0.45109,62.53,12.8
Israel_2014,Israel,2014,0.50753,60.45,12.9
Israel_2015,Israel,2015,0.53233,62.28,13
Italy_1990,Italy,1990,0.01694,59.045,7.29
Italy_1991,Italy,1991,0.01704,58.693,7.4
Italy_1992,Italy,1992,0.01703,58.736,7.5
Italy_1993,Italy,1993,0.01699,58.851,7.7
Italy_1994,Italy,1994,0.01704,58.701,7.8
Italy_1995,Italy,1995,0.01697,58.912,7.9
Italy_1996,Italy,1996,0.01702,58.77,8.1
Italy_1997,Italy,1997,0.01701,58.797,8.2
Italy_1998,Italy,1998,0.01703,58.708,8.3
Italy_1999,Italy,1999,0.01693,59.054,8.4
Italy_2000,Italy,2000,0.01676,59.65,8.6
Italy_2001,Italy,2001,0.01673,59.77,8.7
Italy_2002,Italy,2002,0.01671,59.85,8.8
Italy_2003,Italy,2003,0.01674,59.74,8.9
Italy_2004,Italy,2004,0.01678,59.61,9.1
Italy_2005,Italy,2005,0.01653,60.48,9.2
Italy_2006,Italy,2006,0.01628,61.42,9.3
Italy_2007,Italy,2007,0.01627,61.48,9.4
Italy_2008,Italy,2008,0.01721,58.106,9.5
Italy_2009,Italy,2009,0.01688,59.255,9.6
Italy_2010,Italy,2010,0.01696,58.965,9.7
Italy_2011,Italy,2011,0.01667,60,9.8
Italy_2012,Italy,2012,0.01709,58.50167,9.9
Italy_2013,Italy,2013,0.01683,59.412,10.3
Italy_2014,Italy,2014,0.01687,59.288,10.1
Italy_2015,Italy,2015,0.01689,59.224,10.2
Japan_2008,Japan,2008,0.01695,58.982,11.4
Japan_2009,Japan,2009,0.01703,58.731,11.4
Japan_2010,Japan,2010,0.01706,58.629,11.5
Japan_2011,Japan,2011,0.05939,58.4863,11.8
Japan_2012,Japan,2012,0.14391,58.50872,12
Japan_2013,Japan,2013,0.2277,58.704,12.2
Jordan_2008,Jordan,2008,0.01408,71,9.8
Jordan_2009,Jordan,2009,0.01463,68.33,9.9
Jordan_2010,Jordan,2010,0.01545,64.72,9.8
Kazakhstan_2000,Kazakhstan,2000,0.01515,65.99,10.5
Kazakhstan_2001,Kazakhstan,2001,0.01404,71.2,10.7
Kazakhstan_2002,Kazakhstan,2002,0.01449,69,11
Kazakhstan_2003,Kazakhstan,2003,0.01503,66.55,11.2
Kazakhstan_2004,Kazakhstan,2004,0.01399,71.5,11.5
Kazakhstan_2005,Kazakhstan,2005,0.01588,62.96,11.7
Kazakhstan_2006,Kazakhstan,2006,0.01473,67.9,11.7
Kazakhstan_2007,Kazakhstan,2007,0.01431,69.9,11.6
Kazakhstan_2008,Kazakhstan,2008,0.01406,71.1,11.5
Kazakhstan_2009,Kazakhstan,2009,0.0141,70.9,11.5
Kazakhstan_2010,Kazakhstan,2010,0.01574,63.54,11.4
Kazakhstan_2011,Kazakhstan,2011,0.01523,65.64,11.5
Kazakhstan_2012,Kazakhstan,2012,0.01537,65.06,11.5
Kazakhstan_2013,Kazakhstan,2013,0.01594,62.73,11.6
Kazakhstan_2014,Kazakhstan,2014,0.01618,61.8,11.7
Kazakhstan_2015,Kazakhstan,2015,0.01611,62.07,11.7
Kyrgyzstan_2000,Kyrgyzstan,2000,0.01714,58.328,9.8
Kyrgyzstan_2001,Kyrgyzstan,2001,0.017,58.828,9.9
Kyrgyzstan_2002,Kyrgyzstan,2002,0.01701,58.79,10
Kyrgyzstan_2003,Kyrgyzstan,2003,0.01643,60.87,10
Kyrgyzstan_2004,Kyrgyzstan,2004,0.01505,66.43,10.1
Kyrgyzstan_2005,Kyrgyzstan,2005,0.0166,60.23,10.2
Kyrgyzstan_2006,Kyrgyzstan,2006,0.0154,64.92,10.2
Kyrgyzstan_2007,Kyrgyzstan,2007,0.01563,63.97,10.3
Kyrgyzstan_2008,Kyrgyzstan,2008,0.01519,65.83,10.3
Kyrgyzstan_2009,Kyrgyzstan,2009,0.01599,62.54,10.4
Kyrgyzstan_2010,Kyrgyzstan,2010,0.01463,68.36,10.6
