dmu,country,year,efficiencies,material_footprint,mean_years_in_school
Australia_2005,Australia,2005,0.0703,43,11.7
Australia_2006,Australia,2006,0.11986,38.7,11.9
Australia_2007,Australia,2007,0.11943,45.6,12
Australia_2008,Australia,2008,0.20873,37.7,12.3
Australia_2009,Australia,2009,0.18258,43.1,12.3
Australia_2010,Australia,2010,0.21267,40.8,12.4
Australia_2011,Australia,2011,0.2319,40.9,12.5
Australia_2012,Australia,2012,0.24801,41.5,12.6
Australia_2013,Australia,2013,0.24981,41.2,12.6
Australia_2014,Australia,2014,0.26366,42.1,12.7
Australia_2015,Australia,2015,0.28018,42.5,12.8
Austria_1990,Austria,1990,0.00152,19.7,8.64
Austria_1991,Austria,1991,0.0014,21.5,8.7
Austria_1992,Austria,1992,0.00129,23.3,8.7
Austria_1993,Austria,1993,0.00135,22.3,8.8
Austria_1994,Austria,1994,0.00126,23.9,8.8
Austria_1995,Austria,1995,0.00126,23.8,8.9
Austria_1996,Austria,1996,0.00128,23.4,8.9
Austria_1997,Austria,1997,0.00127,23.6,8.9
Austria_1998,Austria,1998,0.0012,25.1,9
Austria_1999,Austria,1999,0.00122,24.6,9
Austria_2000,Austria,2000,0.00122,24.6,9
Austria_2001,Austria,2001,0.00143,24.5,9.2
Austria_2002,Austria,2002,0.00161,24.8,9.4
Austria_2003,Austria,2003,0.00169,26.6,9.6
Austria_2004,Austria,2004,0.00174,28.7,9.8
Austria_2005,Austria,2005,0.00193,29.4,9.9
Austria_2006,Austria,2006,0.0023,30.4,10.1
Austria_2007,Austria,2007,0.07055,31.4,11.6
Austria_2008,Austria,2008,0.04372,32.2,11.5
Austria_2009,Austria,2009,0.09912,30.5,11.7
Austria_2010,Austria,2010,0.12727,30.1,11.8
Austria_2011,Austria,2011,0.12278,31.2,11.8
Austria_2012,Austria,2012,0.12318,31.1,11.8
Austria_2013,Austria,2013,0.14819,31.3,11.9
Austria_2014,Austria,2014,0.19605,31.9,12.1
Austria_2015,Austria,2015,0.19302,32.4,12.1
Austria_2016,Austria,2016,0.19362,32.3,12.1
Azerbaijan_1995,Azerbaijan,1995,0.01883,4.58,10.2
Azerbaijan_1996,Azerbaijan,1996,0.02452,4.18,10.3
Azerbaijan_1997,Azerbaijan,1997,0.03665,3.24,10.4
Azerbaijan_1998,Azerbaijan,1998,0.04576,2.95,10.5
Azerbaijan_1999,Azerbaijan,1999,0.0477,2.83,10.5
Azerbaijan_2000,Azerbaijan,2000,0.05908,2.56,10.6
Azerbaijan_2001,Azerbaijan,2001,0.05665,2.67,10.6
Azerbaijan_2002,Azerbaijan,2002,0.04975,3.04,10.6
Azerbaijan_2003,Azerbaijan,2003,0.04309,3.51,10.6
Azerbaijan_2004,Azerbaijan,2004,0.0411,3.68,10.6
Azerbaijan_2005,Azerbaijan,2005,0.04772,3.51,10.7
Belarus_1998,Belarus,1998,1,0.03,8.8
Belarus_1999,Belarus,1999,1,0.03,8.8
Belarus_2000,Belarus,2000,0.42857,0.07,8.9
Belarus_2001,Belarus,2001,1,0.03,9
Belgium_1990,Belgium,1990,0.00212,15.3,9.1
Belgium_1991,Belgium,1991,0.00254,16.7,9.5
Belgium_1992,Belgium,1992,0.0021,20.2,9.5
Belgium_1993,Belgium,1993,0.00231,19.5,9.6
Belgium_1994,Belgium,1994,0.00232,20.5,9.7
Belgium_1995,Belgium,1995,0.00233,20.4,9.7
Belgium_1996,Belgium,1996,0.00245,20.4,9.8
Belgium_1997,Belgium,1997,0.00255,19.6,9.8
Belgium_1998,Belgium,1998,0.00269,21.1,9.9
Belgium_1999,Belgium,1999,0.00292,21.7,10
Belgium_2000,Belgium,2000,0.00272,23.3,10
Belgium_2001,Belgium,2001,0.00397,21.7,10.2
Belgium_2002,Belgium,2002,0.00466,22,10.3
Belgium_2003,Belgium,2003,0.00525,22.6,10.4
Belgium_2004,Belgium,2004,0.00574,23.5,10.5
Belgium_2005,Belgium,2005,0.00701,23.9,10.7
Belgium_2006,Belgium,2006,0.01481,24.3,11.1
Belgium_2007,Belgium,2007,0.0144,25,11.1
Belgium_2008,Belgium,2008,0.01094,25.6,11
Belgium_2009,Belgium,2009,0.01506,23.9,11.1
Belgium_2010,Belgium,2010,0.01572,22.9,11.1
Belgium_2011,Belgium,2011,0.01973,22.3,11.2
Belgium_2012,Belgium,2012,0.01956,22.5,11.2
Belgium_2013,Belgium,2013,0.0262,22.9,11.4
Belgium_2014,Belgium,2014,0.06094,23.1,11.5
Belgium_2015,Belgium,2015,0.12919,23.4,11.7
Bulgaria_2006,Bulgaria,2006,0.0108,11,10.4
Bulgaria_2007,Bulgaria,2007,0.01144,11.8,10.5
Bulgaria_2008,Bulgaria,2008,0.01038,13,10.5
Bulgaria_2009,Bulgaria,2009,0.01304,11.6,10.6
Bulgaria_2010,Bulgaria,2010,0.01414,10.7,10.6
Bulgaria_2011,Bulgaria,2011,0.01457,11.5,10.7
Bulgaria_2012,Bulgaria,2012,0.01641,11.2,10.8
Bulgaria_2013,Bulgaria,2013,0.01818,11,10.9
Bulgaria_2014,Bulgaria,2014,0.01739,11.5,10.9
Canada_1990,Canada,1990,0.0028,35.4,10.28
Canada_1991,Canada,1991,0.00299,34.3,10.3
Canada_1992,Canada,1992,0.00354,33.5,10.4
Canada_1993,Canada,1993,0.00418,32.3,10.5
Canada_1994,Canada,1994,0.00473,32,10.6
Canada_1995,Canada,1995,0.00486,31.1,10.6
Canada_1996,Canada,1996,0.0056,29.9,10.7
Canada_1997,Canada,1997,0.00593,31,10.8
Canada_1998,Canada,1998,0.006,30.6,10.8
Canada_1999,Canada,1999,0.00676,29.6,10.9
Canada_2000,Canada,2000,0.00936,29.9,11
Canada_2001,Canada,2001,0.01549,28.4,11.2
Canada_2002,Canada,2002,0.04922,28.6,11.5
Canada_2003,Canada,2003,0.09944,30.4,11.7
Canada_2004,Canada,2004,0.174,31.3,12
Canada_2005,Canada,2005,0.22067,32,12.2
Chile_1990,Chile,1990,0.00311,9.66,8.02
Chile_1991,Chile,1991,0.00263,11.4,8.1
Chile_1992,Chile,1992,0.00261,11.5,8.2
Chile_1993,Chile,1993,0.00238,12.6,8.3
Chile_1994,Chile,1994,0.00233,12.9,8.3
Colombia_1992,Colombia,1992,0.0049,6.12,5.7
Colombia_1993,Colombia,1993,0.00463,6.48,5.8
Colombia_1994,Colombia,1994,0.00437,6.87,6
Costa Rica_1990,Costa Rica,1990,0.00566,5.3,6.72
Costa Rica_1991,Costa Rica,1991,0.00471,6.37,7
Costa Rica_1992,Costa Rica,1992,0.00561,5.35,7.1
Costa Rica_1993,Costa Rica,1993,0.00511,5.87,7.2
Costa Rica_1994,Costa Rica,1994,0.00471,6.37,7.3
Costa Rica_1995,Costa Rica,1995,0.00482,6.23,7.4
Croatia_2009,Croatia,2009,0.00922,16.4,10.6
Croatia_2010,Croatia,2010,0.01276,14.4,10.8
Croatia_2011,Croatia,2011,0.01931,14.5,11
Croatia_2012,Croatia,2012,0.02,14,11
Croatia_2013,Croatia,2013,0.01918,14.6,11
Croatia_2014,Croatia,2014,0.024,15,11.1
Croatia_2015,Croatia,2015,0.02876,15.3,11.2
Croatia_2016,Croatia,2016,0.03312,15.7,11.3
Cyprus_2004,Cyprus,2004,0.00328,41.1,10.5
Cyprus_2005,Cyprus,2005,0.00403,41.6,10.7
Cyprus_2006,Cyprus,2006,0.00483,41.4,10.9
Cyprus_2007,Cyprus,2007,0.01009,43.6,11.2
Cyprus_2008,Cyprus,2008,0.01163,44.7,11.3
Cyprus_2009,Cyprus,2009,0.01429,36.4,11.3
Cyprus_2010,Cyprus,2010,0.03836,36.7,11.5
Cyprus_2011,Cyprus,2011,0.0644,34.4,11.6
Cyprus_2012,Cyprus,2012,0.10976,34.9,11.8
Cyprus_2013,Cyprus,2013,0.16065,33.9,12
Cyprus_2014,Cyprus,2014,0.13523,34.3,11.9
Cyprus_2015,Cyprus,2015,0.13367,34.7,11.9
Cyprus_2016,Cyprus,2016,0.23077,27.1,12.1
Czechia_1993,Czechia,1993,0.00189,15.9,8.9
Czechia_1994,Czechia,1994,0.00203,16,9.1
Czechia_1995,Czechia,1995,0.00244,16.4,9.4
Czechia_1996,Czechia,1996,0.00263,17.1,9.6
Czechia_1997,Czechia,1997,0.00356,15.9,9.9
Czechia_1998,Czechia,1998,0.00438,16,10.1
Czechia_1999,Czechia,1999,0.00752,15.8,10.4
Czechia_2000,Czechia,2000,0.00934,16.2,10.6
Czechia_2001,Czechia,2001,0.01212,16.5,10.9
Czechia_2002,Czechia,2002,0.02,18,11.1
Czechia_2003,Czechia,2003,0.03226,18.6,11.4
Czechia_2004,Czechia,2004,0.10967,20.2,11.6
Czechia_2005,Czechia,2005,0.223,20.8,11.9
Czechia_2006,Czechia,2006,0.29499,21.2,12.1
Czechia_2007,Czechia,2007,0.31525,22.4,12.2
Czechia_2008,Czechia,2008,0.30049,23.5,12.2
Czechia_2009,Czechia,2009,0.34974,22.5,12.3
Czechia_2010,Czechia,2010,0.39441,22,12.4
Czechia_2011,Czechia,2011,0.42532,22.3,12.5
Czechia_2012,Czechia,2012,0.38736,22.4,12.4
Czechia_2013,Czechia,2013,0.46997,21.9,12.6
Czechia_2014,Czechia,2014,0.53638,22.2,12.8
Czechia_2015,Czechia,2015,0.49333,22.5,12.7
Czechia_2016,Czechia,2016,0.48899,22.7,12.7
Denmark_1990,Denmark,1990,0.002,15,8.96
Denmark_1991,Denmark,1991,0.00179,19.6,9.2
Denmark_1992,Denmark,1992,0.00222,16.9,9.3
Denmark_1993,Denmark,1993,0.00246,17.3,9.5
Denmark_1994,Denmark,1994,0.00262,18.1,9.7
Denmark_1995,Denmark,1995,0.003,18.9,9.9
Denmark_1996,Denmark,1996,0.00387,18.1,10.1
Denmark_1997,Denmark,1997,0.00485,17.8,10.2
Denmark_1998,Denmark,1998,0.0055,21.6,10.4
Denmark_1999,Denmark,1999,0.00703,21.5,10.6
Denmark_2000,Denmark,2000,0.00722,23.2,10.7
Denmark_2001,Denmark,2001,0.02791,21.5,11.4
Denmark_2002,Denmark,2002,0.27672,22.6,12.1
Denmark_2003,Denmark,2003,0.52227,22.8,12.8
Denmark_2004,Denmark,2004,0.49823,23.9,12.8
Denmark_2005,Denmark,2005,0.47631,25,12.8
Denmark_2006,Denmark,2006,0.45449,26.2,12.8
Denmark_2007,Denmark,2007,0.33753,28.1,12.5
Denmark_2008,Denmark,2008,0.45575,27.9,12.9
Denmark_2009,Denmark,2009,0.43701,25.4,12.7
Denmark_2010,Denmark,2010,0.46058,24.1,12.7
Denmark_2011,Denmark,2011,0.45679,24.3,12.7
Denmark_2012,Denmark,2012,0.49205,24.2,12.8
Denmark_2013,Denmark,2013,0.62815,24.1,13.2
Denmark_2014,Denmark,2014,0.49205,24.2,12.8
Denmark_2015,Denmark,2015,0.39031,24.3,12.5
El Salvador_1991,El Salvador,1991,0.00671,4.47,3.8
El Salvador_1992,El Salvador,1992,0.00857,3.5,3.9
El Salvador_1993,El Salvador,1993,0.00785,3.82,4
Estonia_2003,Estonia,2003,0.24542,18.9,11.9
Estonia_2004,Estonia,2004,0.26567,20.5,12
Estonia_2005,Estonia,2005,0.27309,22.9,12.1
Estonia_2006,Estonia,2006,0.2836,24.9,12.2
Estonia_2007,Estonia,2007,0.23617,29.9,12.2
Estonia_2008,Estonia,2008,0.29038,27.1,12.3
Estonia_2009,Estonia,2009,0.36305,23.9,12.4
Estonia_2010,Estonia,2010,0.39355,24.1,12.5
Estonia_2011,Estonia,2011,0.37938,25,12.5
Estonia_2012,Estonia,2012,0.37341,25.4,12.5
Estonia_2013,Estonia,2013,0.36758,28,12.6
Estonia_2014,Estonia,2014,0.35987,28.6,12.6
Estonia_2015,Estonia,2015,0.39643,28,12.7
Finland_1990,Finland,1990,0.00151,19.9,7.46
Finland_1991,Finland,1991,0.0016,18.7,7.7
Finland_1992,Finland,1992,0.00109,27.4,7.9
Finland_1993,Finland,1993,0.00128,23.4,8.2
Finland_1994,Finland,1994,0.00122,24.6,8.4
Finland_1995,Finland,1995,0.00123,24.4,8.6
Finland_1996,Finland,1996,0.00124,24.1,8.8
Finland_1997,Finland,1997,0.00124,24.1,8.9
Finland_1998,Finland,1998,0.00116,25.8,9
Finland_1999,Finland,1999,0.00119,29.5,9.2
Finland_2000,Finland,2000,0.00127,29.6,9.3
Finland_2001,Finland,2001,0.00119,33.6,9.4
Finland_2002,Finland,2002,0.00124,34.4,9.5
Finland_2003,Finland,2003,0.00123,36.5,9.6
Finland_2004,Finland,2004,0.12436,37.3,11.9
Finland_2005,Finland,2005,0.14408,37.8,12
Finland_2006,Finland,2006,0.14073,38.7,12
Finland_2007,Finland,2007,0.1365,39.9,12
Finland_2008,Finland,2008,0.1806,39.1,12.2
Finland_2009,Finland,2009,0.19453,36.3,12.2
Finland_2010,Finland,2010,0.22613,34.8,12.3
Finland_2011,Finland,2011,0.22292,35.3,12.3
Finland_2012,Finland,2012,0.24791,35,12.4
Finland_2013,Finland,2013,0.22167,35.5,12.3
Finland_2014,Finland,2014,0.24721,35.1,12.4
France_1990,France,1990,0.00176,17,7.33
France_1991,France,1991,0.00172,17.4,7.5
France_1992,France,1992,0.00151,19.9,7.8
France_1993,France,1993,0.0016,18.8,8.1
France_1994,France,1994,0.00159,18.9,8.4
France_1995,France,1995,0.00142,21.1,8.8
France_1996,France,1996,0.00157,19.1,9
France_1997,France,1997,0.00197,17.8,9.2
France_1998,France,1998,0.00208,19.2,9.4
France_1999,France,1999,0.00231,19.5,9.6
France_2000,France,2000,0.00249,20.1,9.8
France_2001,France,2001,0.00328,19.3,10
France_2002,France,2002,0.0035,20,10.1
France_2003,France,2003,0.00415,20.8,10.2
France_2004,France,2004,0.00475,21.6,10.3
France_2005,France,2005,0.00545,21.8,10.4
France_2006,France,2006,0.00684,22.1,10.6
France_2007,France,2007,0.00735,22.8,10.7
France_2008,France,2008,0.00735,22.8,10.7
France_2009,France,2009,0.00835,22,10.8
France_2010,France,2010,0.00957,20.9,10.9
France_2011,France,2011,0.00976,20.5,10.9
France_2012,France,2012,0.01359,20.6,11
France_2013,France,2013,0.02126,20.7,11.2
France_2014,France,2014,0.02871,20.9,11.4
Germany_1991,Germany,1991,0.00154,19.5,8.9
Germany_1992,Germany,1992,0.00156,20.9,9.1
Germany_1993,Germany,1993,0.00189,19.8,9.3
Germany_1994,Germany,1994,0.00208,20.4,9.5
Germany_1995,Germany,1995,0.00239,19.9,9.7
Germany_1996,Germany,1996,0.0026,19.2,9.8
Germany_1997,Germany,1997,0.00342,18.5,10
Germany_1998,Germany,1998,0.00438,19.7,10.2
Germany_1999,Germany,1999,0.00505,20.3,10.3
Germany_2000,Germany,2000,0.02178,20.2,11.2
Germany_2001,Germany,2001,0.15828,19.1,11.7
Germany_2002,Germany,2002,0.33089,18.9,12.1
Germany_2003,Germany,2003,0.47661,19.9,12.5
Germany_2004,Germany,2004,0.61132,20.8,12.9
Germany_2005,Germany,2005,0.77035,20.7,13.3
Germany_2006,Germany,2006,0.87473,21,13.6
Germany_2007,Germany,2007,0.87968,21.8,13.7
Germany_2008,Germany,2008,0.87168,22,13.7
Germany_2009,Germany,2009,0.93824,21.3,13.8
Germany_2010,Germany,2010,0.9562,20.9,13.8
Germany_2011,Germany,2011,0.98542,21.1,13.9
Germany_2012,Germany,2012,1,21.6,14
Germany_2013,Germany,2013,0.9863,21.9,14
Germany_2014,Germany,2014,0.97297,22.2,14
Germany_2015,Germany,2015,1,22.6,14.1
Greece_1995,Greece,1995,0.00117,25.6,8.2
Greece_1996,Greece,1996,0.00114,26.3,8.3
Greece_1997,Greece,1997,0.0011,27.3,8.3
Greece_1998,Greece,1998,0.00102,29.4,8.4
Greece_1999,Greece,1999,9.8e-4,30.6,8.5
Greece_2000,Greece,2000,0.00093000000000000005,32.1,8.6
Greece_2001,Greece,2001,9.4e-4,32,8.8
Greece_2002,Greece,2002,9.9e-4,32.8,9.1
Greece_2003,Greece,2003,0.00108,34.6,9.3
Greece_2004,Greece,2004,0.00125,36,9.6
Greece_2005,Greece,2005,0.00139,36,9.8
Greece_2006,Greece,2006,0.00159,35.7,9.9
Greece_2007,Greece,2007,0.00171,37,10
Greece_2008,Greece,2008,0.00188,37.3,10.1
Greece_2009,Greece,2009,0.00206,34,10.1
Greece_2010,Greece,2010,0.00339,30.2,10.3
Greece_2011,Greece,2011,0.00363,28.2,10.3
Greece_2012,Greece,2012,0.00367,27.9,10.3
Greece_2013,Greece,2013,0.00453,26.2,10.4
Greece_2014,Greece,2014,0.00515,26.2,10.5
Greece_2015,Greece,2015,0.00577,26.2,10.6
Hungary_2004,Hungary,2004,0.00982,15.4,10.6
Hungary_2005,Hungary,2005,0.01183,16.9,10.9
Hungary_2006,Hungary,2006,0.02384,15.1,11.1
Hungary_2007,Hungary,2007,0.0349,14.9,11.3
Hungary_2008,Hungary,2008,0.08743,16.1,11.5
Hungary_2009,Hungary,2009,0.20849,14.5,11.7
Hungary_2010,Hungary,2010,0.3514,13.2,11.9
Hungary_2011,Hungary,2011,0.41259,13.2,12
Hungary_2012,Hungary,2012,0.56492,12.5,12.2
Hungary_2013,Hungary,2013,0.41574,13.1,12
Hungary_2014,Hungary,2014,0.27169,14.1,11.8
Hungary_2015,Hungary,2015,0.26789,14.3,11.8
Hungary_2016,Hungary,2016,0.3177,14.6,11.9
Iceland_2003,Iceland,2003,0.00128,39.2,9.8
Iceland_2004,Iceland,2004,0.00126,44.8,9.9
Iceland_2005,Iceland,2005,0.00115,55.3,10
Iceland_2006,Iceland,2006,0.00145,59.6,10.2
Iceland_2007,Iceland,2007,0.00178,57.6,10.3
Iceland_2008,Iceland,2008,0.0027,44,10.4
Iceland_2009,Iceland,2009,0.00429,31.5,10.5
Iceland_2010,Iceland,2010,0.00483,31.3,10.6
Iceland_2011,Iceland,2011,0.00848,33,11
Iceland_2012,Iceland,2012,0.04215,33.4,11.5
Iceland_2013,Iceland,2013,0.13805,33.6,11.9
Iceland_2014,Iceland,2014,0.20892,33.8,12.2
Iceland_2015,Iceland,2015,0.20708,34.1,12.2
Iceland_2016,Iceland,2016,0.25224,34.4,12.4
Ireland_1990,Ireland,1990,0.0036,13.4,9.73
Ireland_1991,Ireland,1991,0.00348,16.3,9.9
Ireland_1992,Ireland,1992,0.00446,14.2,10
Ireland_1993,Ireland,1993,0.00526,13.3,10.1
Ireland_1994,Ireland,1994,0.00712,14.4,10.3
Ireland_1995,Ireland,1995,0.00747,15.9,10.4
Ireland_1996,Ireland,1996,0.00823,16.4,10.5
Ireland_1997,Ireland,1997,0.00859,17.6,10.6
Ireland_1998,Ireland,1998,0.0085,19.7,10.7
Ireland_1999,Ireland,1999,0.00879,20.9,10.8
Ireland_2000,Ireland,2000,0.00809,22.7,10.8
Ireland_2001,Ireland,2001,0.01333,21,11
Ireland_2002,Ireland,2002,0.01982,22.2,11.2
Ireland_2003,Ireland,2003,0.02479,24.2,11.4
Ireland_2004,Ireland,2004,0.08521,26,11.6
Ireland_2005,Ireland,2005,0.1072,28.2,11.7
Ireland_2006,Ireland,2006,0.1321,29,11.8
Ireland_2007,Ireland,2007,0.16448,28.2,11.9
Ireland_2008,Ireland,2008,0.19661,27.7,12
Ireland_2009,Ireland,2009,0.27919,22.4,12.1
Ireland_2010,Ireland,2010,0.33153,21.3,12.2
Ireland_2011,Ireland,2011,0.00976,20.5,10.9
Ireland_2012,Ireland,2012,0.02549,20.4,11.3
Ireland_2013,Ireland,2013,0.18596,20.6,11.8
Israel_1995,Israel,1995,0.08587,25.8,11.6
Israel_1996,Israel,1996,0.11538,26.2,11.7
Israel_1997,Israel,1997,0.15201,25.2,11.8
Israel_1998,Israel,1998,0.13633,28.1,11.8
Israel_1999,Israel,1999,0.17116,27.1,11.9
Israel_2000,Israel,2000,0.20246,26.9,12
Israel_2001,Israel,2001,0.24334,25.7,12.1
Israel_2002,Israel,2002,0.2424,25.8,12.1
Israel_2003,Israel,2003,0.30836,22.9,12.2
Israel_2004,Israel,2004,0.35485,19.9,12.2
Israel_2005,Israel,2005,0.36264,21.7,12.3
Israel_2006,Israel,2006,0.28044,22.3,12.1
Israel_2007,Israel,2007,0.40882,23.2,12.5
Israel_2008,Israel,2008,0.45744,22.5,12.6
Israel_2009,Israel,2009,0.46997,21.9,12.6
Israel_2010,Israel,2010,0.45341,22.7,12.6
Israel_2011,Israel,2011,0.46639,23.8,12.7
Israel_2012,Israel,2012,0.50456,23.6,12.8
Israel_2013,Israel,2013,0.49823,23.9,12.8
Israel_2014,Israel,2014,0.53426,23.8,12.9
Israel_2015,Israel,2015,0.5682,23.8,13
Italy_1990,Italy,1990,0.00194,15.5,7.29
Italy_1991,Italy,1991,0.00182,16.5,7.4
Italy_1992,Italy,1992,0.00152,19.7,7.5
Italy_1993,Italy,1993,0.00182,16.5,7.7
Italy_1994,Italy,1994,0.0018,16.7,7.8
Italy_1995,Italy,1995,0.00175,17.1,7.9
Italy_1996,Italy,1996,0.00176,17,8.1
Italy_1997,Italy,1997,0.00171,17.5,8.2
Italy_1998,Italy,1998,0.00162,18.5,8.3
Italy_1999,Italy,1999,0.00156,19.2,8.4
Italy_2000,Italy,2000,0.00155,19.4,8.6
Italy_2001,Italy,2001,0.00155,19.3,8.7
Italy_2002,Italy,2002,0.00148,20.3,8.8
Italy_2003,Italy,2003,0.00137,21.9,8.9
Italy_2004,Italy,2004,0.00143,22.8,9.1
Italy_2005,Italy,2005,0.00151,23.2,9.2
Italy_2006,Italy,2006,0.00156,24.1,9.3
Italy_2007,Italy,2007,0.00162,24.7,9.4
Italy_2008,Italy,2008,0.00176,24.2,9.5
Italy_2009,Italy,2009,0.00197,22.8,9.6
Italy_2010,Italy,2010,0.00214,22.2,9.7
Italy_2011,Italy,2011,0.00245,20.4,9.8
Italy_2012,Italy,2012,0.00275,20.6,9.9
Italy_2013,Italy,2013,0.00505,20.3,10.3
Italy_2014,Italy,2014,0.00341,20.5,10.1
Italy_2015,Italy,2015,0.00413,20.9,10.2
Japan_2008,Japan,2008,0.02299,26.1,11.4
Japan_2009,Japan,2009,0.02553,23.5,11.4
Japan_2010,Japan,2010,0.05865,24,11.5
Japan_2011,Japan,2011,0.14906,25.7,11.8
Japan_2012,Japan,2012,0.20398,26.7,12
Japan_2013,Japan,2013,0.27801,25.4,12.2
Jordan_2008,Jordan,2008,0.00627,7.97,9.8
Jordan_2009,Jordan,2009,0.00722,7.85,9.9
Jordan_2010,Jordan,2010,0.00595,8.4,9.8
Kazakhstan_2000,Kazakhstan,2000,0.01164,11.6,10.5
Kazakhstan_2001,Kazakhstan,2001,0.01214,13.8,10.7
Kazakhstan_2002,Kazakhstan,2002,0.02029,13.8,11
Kazakhstan_2003,Kazakhstan,2003,0.03099,14.2,11.2
Kazakhstan_2004,Kazakhstan,2004,0.09776,14.4,11.5
Kazakhstan_2005,Kazakhstan,2005,0.20426,14.8,11.7
Kazakhstan_2006,Kazakhstan,2006,0.18211,16.6,11.7
Kazakhstan_2007,Kazakhstan,2007,0.11784,18.8,11.6
Kazakhstan_2008,Kazakhstan,2008,0.08379,16.8,11.5
Kazakhstan_2009,Kazakhstan,2009,0.07908,17.8,11.5
Kazakhstan_2010,Kazakhstan,2010,0.03571,16.8,11.4
Kazakhstan_2011,Kazakhstan,2011,0.07777,18.1,11.5
Kazakhstan_2012,Kazakhstan,2012,0.0848,16.6,11.5
Kazakhstan_2013,Kazakhstan,2013,0.12106,18.3,11.6
Kazakhstan_2014,Kazakhstan,2014,0.16984,17.8,11.7
Kazakhstan_2015,Kazakhstan,2015,0.16984,17.8,11.7
Kyrgyzstan_2000,Kyrgyzstan,2000,0.00825,6.06,9.8
Kyrgyzstan_2001,Kyrgyzstan,2001,0.00949,5.97,9.9
Kyrgyzstan_2002,Kyrgyzstan,2002,0.0101,6.27,10
Kyrgyzstan_2003,Kyrgyzstan,2003,0.00931,6.8,10
Kyrgyzstan_2004,Kyrgyzstan,2004,0.00992,7.06,10.1
Kyrgyzstan_2005,Kyrgyzstan,2005,0.01225,7.04,10.2
Kyrgyzstan_2006,Kyrgyzstan,2006,0.0119,7.25,10.2
Kyrgyzstan_2007,Kyrgyzstan,2007,0.01306,7.85,10.3
Kyrgyzstan_2008,Kyrgyzstan,2008,0.01185,8.65,10.3
Kyrgyzstan_2009,Kyrgyzstan,2009,0.01554,7.64,10.4
Kyrgyzstan_2010,Kyrgyzstan,2010,0.01967,7.69,10.6
Kyrgyzstan_2011,Kyrgyzstan,2011,0.01827,8.28,10.6
Kyrgyzstan_2012,Kyrgyzstan,2012,0.02023,8.28,10.7
Kyrgyzstan_2013,Kyrgyzstan,2013,0.01939,8.64,10.7
