dmu,country,year,efficiencies,material_footprint,life_expectancy
Australia_2001,Australia,2001,0.3386,40,80.1
Australia_2002,Australia,2002,0.34973,40.2,80.3
Australia_2003,Australia,2003,0.34574,42.9,80.6
Australia_2004,Australia,2004,0.36891,42.3,80.9
Australia_2005,Australia,2005,0.38088,43,81.2
Australia_2006,Australia,2006,0.44317,38.7,81.5
Australia_2007,Australia,2007,0.37612,45.6,81.5
Australia_2008,Australia,2008,0.4686,37.7,81.7
Australia_2009,Australia,2009,0.42184,43.1,81.9
Australia_2010,Australia,2010,0.45825,40.8,82.1
Australia_2011,Australia,2011,0.46973,40.9,82.3
Australia_2012,Australia,2012,0.48156,41.5,82.6
Australia_2013,Australia,2013,0.49132,41.2,82.7
Australia_2014,Australia,2014,0.48082,42.1,82.7
Australia_2015,Australia,2015,0.47629,42.5,82.7
Austria_1990,Austria,1990,0.22521,19.7,76
Austria_1991,Austria,1991,0.21082,21.5,76.1
Austria_1992,Austria,1992,0.20277,23.3,76.3
Austria_1993,Austria,1993,0.22046,22.3,76.5
Austria_1994,Austria,1994,0.21373,23.9,76.7
Austria_1995,Austria,1995,0.23351,23.8,77
Austria_1996,Austria,1996,0.27053,23.4,77.3
Austria_1997,Austria,1997,0.31191,23.6,77.7
Austria_1998,Austria,1998,0.3138,25.1,77.9
Austria_1999,Austria,1999,0.35159,24.6,78.2
Austria_2000,Austria,2000,0.38301,24.6,78.5
Austria_2001,Austria,2001,0.42663,24.5,78.9
Austria_2002,Austria,2002,0.43186,24.8,79
Austria_2003,Austria,2003,0.41232,26.6,79.1
Austria_2004,Austria,2004,0.41806,28.7,79.5
Austria_2005,Austria,2005,0.43439,29.4,79.8
Austria_2006,Austria,2006,0.44553,30.4,80.1
Austria_2007,Austria,2007,0.44775,31.4,80.3
Austria_2008,Austria,2008,0.45263,32.2,80.5
Austria_2009,Austria,2009,0.47785,30.5,80.5
Austria_2010,Austria,2010,0.50988,30.1,80.8
Austria_2011,Austria,2011,0.50842,31.2,81
Austria_2012,Austria,2012,0.52662,31.1,81.2
Austria_2013,Austria,2013,0.53149,31.3,81.3
Austria_2014,Austria,2014,0.53764,31.9,81.5
Austria_2015,Austria,2015,0.5373,32.4,81.6
Austria_2016,Austria,2016,0.55491,32.3,81.8
Azerbaijan_1995,Azerbaijan,1995,0.00655,4.58,64.7
Azerbaijan_1996,Azerbaijan,1996,0.00718,4.18,65.3
Azerbaijan_1997,Azerbaijan,1997,0.00926,3.24,65.7
Azerbaijan_1998,Azerbaijan,1998,0.01017,2.95,66
Azerbaijan_1999,Azerbaijan,1999,0.0106,2.83,66.2
Azerbaijan_2000,Azerbaijan,2000,0.01172,2.56,66.5
Azerbaijan_2001,Azerbaijan,2001,0.01124,2.67,67.1
Azerbaijan_2002,Azerbaijan,2002,0.00987,3.04,67.2
Azerbaijan_2003,Azerbaijan,2003,0.00855,3.51,67.1
Azerbaijan_2004,Azerbaijan,2004,0.00815,3.68,67.2
Azerbaijan_2005,Azerbaijan,2005,0.00855,3.51,67.3
Belarus_1998,Belarus,1998,1,0.03,68.4
Belarus_1999,Belarus,1999,1,0.03,68.2
Belarus_2000,Belarus,2000,0.52381,0.07,69
Belarus_2001,Belarus,2001,1,0.03,68.6
Belgium_1990,Belgium,1990,0.30252,15.3,76.2
Belgium_1991,Belgium,1991,0.28865,16.7,76.4
Belgium_1992,Belgium,1992,0.24338,20.2,76.5
Belgium_1993,Belgium,1993,0.25704,19.5,76.6
Belgium_1994,Belgium,1994,0.25386,20.5,76.8
Belgium_1995,Belgium,1995,0.27243,20.4,77
Belgium_1996,Belgium,1996,0.31032,20.4,77.3
Belgium_1997,Belgium,1997,0.34927,19.6,77.5
Belgium_1998,Belgium,1998,0.34886,21.1,77.7
Belgium_1999,Belgium,1999,0.35109,21.7,77.8
Belgium_2000,Belgium,2000,0.34909,23.3,78
Belgium_2001,Belgium,2001,0.41045,21.7,78.3
Belgium_2002,Belgium,2002,0.42827,22,78.5
Belgium_2003,Belgium,2003,0.4397,22.6,78.7
Belgium_2004,Belgium,2004,0.46671,23.5,79.1
Belgium_2005,Belgium,2005,0.48046,23.9,79.3
Belgium_2006,Belgium,2006,0.50436,24.3,79.6
Belgium_2007,Belgium,2007,0.51085,25,79.8
Belgium_2008,Belgium,2008,0.50894,25.6,79.9
Belgium_2009,Belgium,2009,0.55592,23.9,80
Belgium_2010,Belgium,2010,0.60269,22.9,80.2
Belgium_2011,Belgium,2011,0.64202,22.3,80.4
Belgium_2012,Belgium,2012,0.64776,22.5,80.5
Belgium_2013,Belgium,2013,0.65894,22.9,80.7
Belgium_2014,Belgium,2014,0.6867,23.1,81
Belgium_2015,Belgium,2015,0.6889,23.4,81.1
Bulgaria_2006,Bulgaria,2006,0.03972,11,71.2
Bulgaria_2007,Bulgaria,2007,0.04221,11.8,71.5
Bulgaria_2008,Bulgaria,2008,0.04459,13,71.9
Bulgaria_2009,Bulgaria,2009,0.05999,11.6,72.1
Bulgaria_2010,Bulgaria,2010,0.08297,10.7,72.3
Bulgaria_2011,Bulgaria,2011,0.11056,11.5,72.7
Bulgaria_2012,Bulgaria,2012,0.13921,11.2,73
Bulgaria_2013,Bulgaria,2013,0.1679,11,73.3
Bulgaria_2014,Bulgaria,2014,0.13558,11.5,73
Canada_1990,Canada,1990,0.18611,35.4,77.4
Canada_1991,Canada,1991,0.2071,34.3,77.6
Canada_1992,Canada,1992,0.22742,33.5,77.8
Canada_1993,Canada,1993,0.23587,32.3,77.8
Canada_1994,Canada,1994,0.25418,32,78
Canada_1995,Canada,1995,0.26982,31.1,78.1
Canada_1996,Canada,1996,0.3065,29.9,78.4
Canada_1997,Canada,1997,0.31225,31,78.6
Canada_1998,Canada,1998,0.33317,30.6,78.8
Canada_1999,Canada,1999,0.37053,29.6,79.1
Canada_2000,Canada,2000,0.39266,29.9,79.4
Canada_2001,Canada,2001,0.43155,28.4,79.6
Canada_2002,Canada,2002,0.44654,28.6,79.8
Canada_2003,Canada,2003,0.43705,30.4,80
Canada_2004,Canada,2004,0.44095,31.3,80.2
Canada_2005,Canada,2005,0.4474,32,80.4
Chile_1990,Chile,1990,0.20112,9.66,73.4
Chile_1991,Chile,1991,0.23774,11.4,74.2
Chile_1992,Chile,1992,0.27737,11.5,74.7
Chile_1993,Chile,1993,0.276,12.6,75
Chile_1994,Chile,1994,0.28445,12.9,75.2
Colombia_1992,Colombia,1992,0.06806,6.12,71.1
Colombia_1993,Colombia,1993,0.08316,6.48,71.7
Colombia_1994,Colombia,1994,0.1013,6.87,72.1
Costa Rica_1990,Costa Rica,1990,1,5.3,76.9
Costa Rica_1991,Costa Rica,1991,0.83203,6.37,76.9
Costa Rica_1992,Costa Rica,1992,0.99065,5.35,76.9
Costa Rica_1993,Costa Rica,1993,0.99067,5.87,77.1
Costa Rica_1994,Costa Rica,1994,0.81697,6.37,76.8
Costa Rica_1995,Costa Rica,1995,0.78914,6.23,76.5
Croatia_2009,Croatia,2009,0.29978,16.4,76.5
Croatia_2010,Croatia,2010,0.36139,14.4,76.8
Croatia_2011,Croatia,2011,0.40105,14.5,77.1
Croatia_2012,Croatia,2012,0.47058,14,77.4
Croatia_2013,Croatia,2013,0.52182,14.6,77.8
Croatia_2014,Croatia,2014,0.52508,15,77.9
Croatia_2015,Croatia,2015,0.48111,15.3,77.7
Croatia_2016,Croatia,2016,0.58372,15.7,78.4
Cyprus_2004,Cyprus,2004,0.19164,41.1,77.9
Cyprus_2005,Cyprus,2005,0.18933,41.6,77.9
Cyprus_2006,Cyprus,2006,0.20892,41.4,78.2
Cyprus_2007,Cyprus,2007,0.20428,43.6,78.3
Cyprus_2008,Cyprus,2008,0.22807,44.7,78.8
Cyprus_2009,Cyprus,2009,0.30131,36.4,79.1
Cyprus_2010,Cyprus,2010,0.32693,36.7,79.5
Cyprus_2011,Cyprus,2011,0.37126,34.4,79.8
Cyprus_2012,Cyprus,2012,0.38808,34.9,80.1
Cyprus_2013,Cyprus,2013,0.41473,33.9,80.3
Cyprus_2014,Cyprus,2014,0.4174,34.3,80.4
Cyprus_2015,Cyprus,2015,0.42002,34.7,80.5
Cyprus_2016,Cyprus,2016,0.55682,27.1,80.7
Czechia_1993,Czechia,1993,0.09806,15.9,73
Czechia_1994,Czechia,1994,0.10944,16,73.2
Czechia_1995,Czechia,1995,0.11847,16.4,73.4
Czechia_1996,Czechia,1996,0.14727,17.1,74
Czechia_1997,Czechia,1997,0.16442,15.9,74.1
Czechia_1998,Czechia,1998,0.19936,16,74.7
Czechia_1999,Czechia,1999,0.2201,15.8,75
Czechia_2000,Czechia,2000,0.22651,16.2,75.2
Czechia_2001,Czechia,2001,0.23983,16.5,75.5
Czechia_2002,Czechia,2002,0.2305,18,75.7
Czechia_2003,Czechia,2003,0.21791,18.6,75.6
Czechia_2004,Czechia,2004,0.22439,20.2,76.1
Czechia_2005,Czechia,2005,0.23175,20.8,76.4
Czechia_2006,Czechia,2006,0.26215,21.2,77
Czechia_2007,Czechia,2007,0.27111,22.4,77.2
Czechia_2008,Czechia,2008,0.26938,23.5,77.3
Czechia_2009,Czechia,2009,0.31571,22.5,77.6
Czechia_2010,Czechia,2010,0.3463,22,77.8
Czechia_2011,Czechia,2011,0.36475,22.3,78
Czechia_2012,Czechia,2012,0.39762,22.4,78.3
Czechia_2013,Czechia,2013,0.43023,21.9,78.5
Czechia_2014,Czechia,2014,0.48244,22.2,79
Czechia_2015,Czechia,2015,0.47601,22.5,79
Czechia_2016,Czechia,2016,0.49451,22.7,79.2
Denmark_1990,Denmark,1990,0.24463,15,75.2
Denmark_1991,Denmark,1991,0.197,19.6,75.4
Denmark_1992,Denmark,1992,0.23415,16.9,75.5
Denmark_1993,Denmark,1993,0.22874,17.3,75.5
Denmark_1994,Denmark,1994,0.21863,18.1,75.5
Denmark_1995,Denmark,1995,0.21445,18.9,75.6
Denmark_1996,Denmark,1996,0.23982,18.1,75.9
Denmark_1997,Denmark,1997,0.26542,17.8,76.3
Denmark_1998,Denmark,1998,0.23649,21.6,76.7
Denmark_1999,Denmark,1999,0.23759,21.5,76.7
Denmark_2000,Denmark,2000,0.26176,23.2,77.2
Denmark_2001,Denmark,2001,0.29444,21.5,77.3
Denmark_2002,Denmark,2002,0.29151,22.6,77.4
Denmark_2003,Denmark,2003,0.32285,22.8,77.7
Denmark_2004,Denmark,2004,0.34033,23.9,78
Denmark_2005,Denmark,2005,0.35627,25,78.3
Denmark_2006,Denmark,2006,0.35962,26.2,78.5
Denmark_2007,Denmark,2007,0.35364,28.1,78.7
Denmark_2008,Denmark,2008,0.38388,27.9,79
Denmark_2009,Denmark,2009,0.44195,25.4,79.2
Denmark_2010,Denmark,2010,0.49785,24.1,79.5
Denmark_2011,Denmark,2011,0.53617,24.3,79.9
Denmark_2012,Denmark,2012,0.58096,24.2,80.3
Denmark_2013,Denmark,2013,0.60475,24.1,80.5
Denmark_2014,Denmark,2014,0.63419,24.2,80.8
Denmark_2015,Denmark,2015,0.65279,24.3,81
El Salvador_1991,El Salvador,1991,0.04758,4.47,70.1
El Salvador_1992,El Salvador,1992,0.10154,3.5,70.8
El Salvador_1993,El Salvador,1993,0.09837,3.82,70.9
Estonia_2003,Estonia,2003,0.03682,18.9,72.1
Estonia_2004,Estonia,2004,0.05266,20.5,72.5
Estonia_2005,Estonia,2005,0.06809,22.9,73
Estonia_2006,Estonia,2006,0.07417,24.9,73.3
Estonia_2007,Estonia,2007,0.06177,29.9,73.3
Estonia_2008,Estonia,2008,0.10709,27.1,74.4
Estonia_2009,Estonia,2009,0.15353,23.9,75.2
Estonia_2010,Estonia,2010,0.19604,24.1,76.3
Estonia_2011,Estonia,2011,0.18898,25,76.3
Estonia_2012,Estonia,2012,0.19356,25.4,76.5
Estonia_2013,Estonia,2013,0.21689,28,77.2
Estonia_2014,Estonia,2014,0.22135,28.6,77.3
Estonia_2015,Estonia,2015,0.27209,28,77.8
Finland_1990,Finland,1990,0.19403,19.9,75.4
Finland_1991,Finland,1991,0.22187,18.7,75.7
Finland_1992,Finland,1992,0.16192,27.4,76
Finland_1993,Finland,1993,0.2019,23.4,76.3
Finland_1994,Finland,1994,0.21155,24.6,76.8
Finland_1995,Finland,1995,0.21721,24.4,76.9
Finland_1996,Finland,1996,0.25199,24.1,77.2
Finland_1997,Finland,1997,0.26268,24.1,77.3
Finland_1998,Finland,1998,0.27533,25.8,77.6
Finland_1999,Finland,1999,0.25826,29.5,77.8
Finland_2000,Finland,2000,0.27479,29.6,78
Finland_2001,Finland,2001,0.27275,33.6,78.4
Finland_2002,Finland,2002,0.28139,34.4,78.6
Finland_2003,Finland,2003,0.27931,36.5,78.8
Finland_2004,Finland,2004,0.28714,37.3,79
Finland_2005,Finland,2005,0.30378,37.8,79.3
Finland_2006,Finland,2006,0.31669,38.7,79.6
Finland_2007,Finland,2007,0.31362,39.9,79.7
Finland_2008,Finland,2008,0.33981,39.1,80
Finland_2009,Finland,2009,0.38021,36.3,80.2
Finland_2010,Finland,2010,0.41141,34.8,80.4
Finland_2011,Finland,2011,0.42747,35.3,80.7
Finland_2012,Finland,2012,0.44586,35,80.9
Finland_2013,Finland,2013,0.46135,35.5,81.2
Finland_2014,Finland,2014,0.48129,35.1,81.4
France_1990,France,1990,0.35723,17,77.2
France_1991,France,1991,0.37863,17.4,77.4
France_1992,France,1992,0.35695,19.9,77.6
France_1993,France,1993,0.40525,18.8,77.8
France_1994,France,1994,0.43036,18.9,78
France_1995,France,1995,0.40991,21.1,78.2
France_1996,France,1996,0.47981,19.1,78.4
France_1997,France,1997,0.55827,17.8,78.7
France_1998,France,1998,0.53099,19.2,78.8
France_1999,France,1999,0.53603,19.5,78.9
France_2000,France,2000,0.55848,20.1,79.2
France_2001,France,2001,0.59498,19.3,79.3
France_2002,France,2002,0.59992,20,79.5
France_2003,France,2003,0.60161,20.8,79.7
France_2004,France,2004,0.65089,21.6,80.3
France_2005,France,2005,0.68038,21.8,80.6
France_2006,France,2006,0.69446,22.1,80.8
France_2007,France,2007,0.70703,22.8,81.1
France_2008,France,2008,0.71833,22.8,81.2
France_2009,France,2009,0.76787,22,81.4
France_2010,France,2010,0.83294,20.9,81.6
France_2011,France,2011,0.87433,20.5,81.8
France_2012,France,2012,0.8951,20.6,82
France_2013,France,2013,0.92811,20.7,82.3
France_2014,France,2014,0.95621,20.9,82.6
Germany_1991,Germany,1991,0.21769,19.5,75.8
Germany_1992,Germany,1992,0.22146,20.9,76.2
Germany_1993,Germany,1993,0.23861,19.8,76.3
Germany_1994,Germany,1994,0.2457,20.4,76.6
Germany_1995,Germany,1995,0.26633,19.9,76.9
Germany_1996,Germany,1996,0.30288,19.2,77.1
Germany_1997,Germany,1997,0.37004,18.5,77.5
Germany_1998,Germany,1998,0.38673,19.7,77.8
Germany_1999,Germany,1999,0.41338,20.3,78.1
Germany_2000,Germany,2000,0.45368000000000003,20.2,78.4
Germany_2001,Germany,2001,0.52028,19.1,78.7
Germany_2002,Germany,2002,0.53941,18.9,78.8
Germany_2003,Germany,2003,0.52525,19.9,78.9
Germany_2004,Germany,2004,0.55207,20.8,79.3
Germany_2005,Germany,2005,0.59207,20.7,79.6
Germany_2006,Germany,2006,0.62042,21,79.9
Germany_2007,Germany,2007,0.60947,21.8,80
Germany_2008,Germany,2008,0.62735,22,80.2
Germany_2009,Germany,2009,0.66006,21.3,80.3
Germany_2010,Germany,2010,0.69735,20.9,80.5
Germany_2011,Germany,2011,0.71516,21.1,80.7
Germany_2012,Germany,2012,0.71053,21.6,80.8
Germany_2013,Germany,2013,0.7008,21.9,80.8
Germany_2014,Germany,2014,0.71454,22.2,81
Germany_2015,Germany,2015,0.69049,22.6,80.9
Greece_1995,Greece,1995,0.2976,25.6,77.8
Greece_1996,Greece,1996,0.29948,26.3,77.9
Greece_1997,Greece,1997,0.30738,27.3,78.1
Greece_1998,Greece,1998,0.29419,29.4,78.2
Greece_1999,Greece,1999,0.28265,30.6,78.2
Greece_2000,Greece,2000,0.2855,32.1,78.4
Greece_2001,Greece,2001,0.31054,32,78.7
Greece_2002,Greece,2002,0.31868,32.8,78.9
Greece_2003,Greece,2003,0.31699,34.6,79.1
Greece_2004,Greece,2004,0.31182,36,79.2
Greece_2005,Greece,2005,0.32613,36,79.4
Greece_2006,Greece,2006,0.35052,35.7,79.7
Greece_2007,Greece,2007,0.33124,37,79.6
Greece_2008,Greece,2008,0.3562,37.3,80
Greece_2009,Greece,2009,0.40593,34,80.2
Greece_2010,Greece,2010,0.47407,30.2,80.4
Greece_2011,Greece,2011,0.51683,28.2,80.5
Greece_2012,Greece,2012,0.53162,27.9,80.6
Greece_2013,Greece,2013,0.59561,26.2,80.9
Greece_2014,Greece,2014,0.60545,26.2,81
Greece_2015,Greece,2015,0.59561,26.2,80.9
Hungary_2004,Hungary,2004,0.10747,15.4,73.1
Hungary_2005,Hungary,2005,0.09794,16.9,73.1
Hungary_2006,Hungary,2006,0.13502,15.1,73.5
Hungary_2007,Hungary,2007,0.14327,14.9,73.6
Hungary_2008,Hungary,2008,0.16834,16.1,74.2
Hungary_2009,Hungary,2009,0.20014,14.5,74.4
Hungary_2010,Hungary,2010,0.24892,13.2,74.8
Hungary_2011,Hungary,2011,0.27072,13.2,75.1
Hungary_2012,Hungary,2012,0.3089,12.5,75.4
Hungary_2013,Hungary,2013,0.33136,13.1,75.9
Hungary_2014,Hungary,2014,0.31466,14.1,76
Hungary_2015,Hungary,2015,0.30355,14.3,75.9
Hungary_2016,Hungary,2016,0.3236,14.6,76.3
Iceland_2003,Iceland,2003,0.41781,39.2,81.2
Iceland_2004,Iceland,2004,0.37708,44.8,81.4
Iceland_2005,Iceland,2005,0.3148,55.3,81.6
Iceland_2006,Iceland,2006,0.29641,59.6,81.7
Iceland_2007,Iceland,2007,0.31565,57.6,81.9
Iceland_2008,Iceland,2008,0.43078,44,82.2
Iceland_2009,Iceland,2009,0.61808,31.5,82.4
Iceland_2010,Iceland,2010,0.63849,31.3,82.6
Iceland_2011,Iceland,2011,0.62121,33,82.8
Iceland_2012,Iceland,2012,0.62711,33.4,82.9
Iceland_2013,Iceland,2013,0.66315,33.6,83.2
Iceland_2014,Iceland,2014,0.72512,33.8,83.7
Iceland_2015,Iceland,2015,0.71874,34.1,83.7
Iceland_2016,Iceland,2016,0.72542,34.4,83.8
Ireland_1990,Ireland,1990,0.25952,13.4,75
Ireland_1991,Ireland,1991,0.22512,16.3,75.2
Ireland_1992,Ireland,1992,0.27192,14.2,75.4
Ireland_1993,Ireland,1993,0.29753,13.3,75.5
Ireland_1994,Ireland,1994,0.29478,14.4,75.8
Ireland_1995,Ireland,1995,0.26094,15.9,75.7
Ireland_1996,Ireland,1996,0.27053,16.4,76
Ireland_1997,Ireland,1997,0.25754,17.6,76.1
Ireland_1998,Ireland,1998,0.23982,19.7,76.3
Ireland_1999,Ireland,1999,0.23064,20.9,76.4
Ireland_2000,Ireland,2000,0.22925,22.7,76.8
Ireland_2001,Ireland,2001,0.30145,21,77.3
Ireland_2002,Ireland,2002,0.34318,22.2,77.8
Ireland_2003,Ireland,2003,0.36805,24.2,78.3
Ireland_2004,Ireland,2004,0.3822,26,78.7
Ireland_2005,Ireland,2005,0.38893,28.2,79.1
Ireland_2006,Ireland,2006,0.40485,29,79.4
Ireland_2007,Ireland,2007,0.44374,28.2,79.7
Ireland_2008,Ireland,2008,0.47965,27.7,80
Ireland_2009,Ireland,2009,0.61615,22.4,80.2
Ireland_2010,Ireland,2010,0.72054,21.3,80.8
Ireland_2011,Ireland,2011,0.74866,20.5,80.8
Ireland_2012,Ireland,2012,0.77758,20.4,81
Ireland_2013,Ireland,2013,0.79505,20.6,81.2
Israel_1995,Israel,1995,0.2953,25.8,77.8
Israel_1996,Israel,1996,0.31045,26.2,78
Israel_1997,Israel,1997,0.34322,25.2,78.2
Israel_1998,Israel,1998,0.32614,28.1,78.4
Israel_1999,Israel,1999,0.36669,27.1,78.7
Israel_2000,Israel,2000,0.38857,26.9,78.9
Israel_2001,Israel,2001,0.41674,25.7,79
Israel_2002,Israel,2002,0.40514,25.8,78.9
Israel_2003,Israel,2003,0.52394,22.9,79.5
Israel_2004,Israel,2004,0.65471,19.9,79.9
Israel_2005,Israel,2005,0.6479,21.7,80.3
Israel_2006,Israel,2006,0.64202,22.3,80.4
Israel_2007,Israel,2007,0.66153,23.2,80.8
Israel_2008,Israel,2008,0.70501,22.5,81
Israel_2009,Israel,2009,0.77138,21.9,81.4
Israel_2010,Israel,2010,0.80094,22.7,81.9
Israel_2011,Israel,2011,0.77475,23.8,82
Israel_2012,Israel,2012,0.81406,23.6,82.3
Israel_2013,Israel,2013,0.8254,23.9,82.5
Israel_2014,Israel,2014,0.77475,23.8,82
Israel_2015,Israel,2015,0.85052,23.8,82.7
Italy_1990,Italy,1990,0.3918,15.5,77.2
Italy_1991,Italy,1991,0.38367,16.5,77.3
Italy_1992,Italy,1992,0.3475,19.7,77.5
Italy_1993,Italy,1993,0.46174,16.5,77.8
Italy_1994,Italy,1994,0.48706,16.7,78
Italy_1995,Italy,1995,0.5058,17.1,78.2
Italy_1996,Italy,1996,0.55424,17,78.5
Italy_1997,Italy,1997,0.58257,17.5,78.8
Italy_1998,Italy,1998,0.57893,18.5,79
Italy_1999,Italy,1999,0.59808,19.2,79.3
Italy_2000,Italy,2000,0.63175,19.4,79.6
Italy_2001,Italy,2001,0.67507,19.3,79.9
Italy_2002,Italy,2002,0.67989,20.3,80.2
Italy_2003,Italy,2003,0.64198,21.9,80.3
Italy_2004,Italy,2004,0.67313,22.8,80.8
Italy_2005,Italy,2005,0.68374,23.2,81
Italy_2006,Italy,2006,0.69027,24.1,81.3
Italy_2007,Italy,2007,0.69437,24.7,81.5
Italy_2008,Italy,2008,0.71936,24.2,81.6
Italy_2009,Italy,2009,0.78613,22.8,81.8
Italy_2010,Italy,2010,0.84219,22.2,82.1
Italy_2011,Italy,2011,0.92913,20.4,82.2
Italy_2012,Italy,2012,0.94512,20.6,82.4
Italy_2013,Italy,2013,0.98447,20.3,82.6
Italy_2014,Italy,2014,1,20.5,82.8
Italy_2015,Italy,2015,0.96853,20.9,82.7
Japan_2008,Japan,2008,0.83664,26.1,83.1
Japan_2009,Japan,2009,0.96712,23.5,83.3
Japan_2010,Japan,2010,0.94697,24,83.3
Japan_2011,Japan,2011,0.867,25.7,83.2
Japan_2012,Japan,2012,0.90126,26.7,83.6
Japan_2013,Japan,2013,1,25.4,83.9
Jordan_2008,Jordan,2008,0.58075,7.97,76.2
Jordan_2009,Jordan,2009,0.65072,7.85,76.7
Jordan_2010,Jordan,2010,0.63095,8.4,76.9
Kazakhstan_2000,Kazakhstan,2000,0.00259,11.6,64.7
Kazakhstan_2001,Kazakhstan,2001,0.00217,13.8,64.7
Kazakhstan_2002,Kazakhstan,2002,0.00217,13.8,64.7
Kazakhstan_2003,Kazakhstan,2003,0.00211,14.2,64.6
Kazakhstan_2004,Kazakhstan,2004,0.00208,14.4,64.6
Kazakhstan_2005,Kazakhstan,2005,0.00203,14.8,64.6
Kazakhstan_2006,Kazakhstan,2006,0.00181,16.6,64.8
Kazakhstan_2007,Kazakhstan,2007,0.0016,18.8,65.3
Kazakhstan_2008,Kazakhstan,2008,0.00179,16.8,66.3
Kazakhstan_2009,Kazakhstan,2009,0.00169,17.8,67.3
Kazakhstan_2010,Kazakhstan,2010,0.00179,16.8,67.6
Kazakhstan_2011,Kazakhstan,2011,0.00166,18.1,68.1
Kazakhstan_2012,Kazakhstan,2012,0.00181,16.6,68.6
Kazakhstan_2013,Kazakhstan,2013,0.00383,18.3,69.4
Kazakhstan_2014,Kazakhstan,2014,0.01195,17.8,70.1
Kazakhstan_2015,Kazakhstan,2015,0.01768,17.8,70.6
Kyrgyzstan_2000,Kyrgyzstan,2000,0.00495,6.06,67.2
Kyrgyzstan_2001,Kyrgyzstan,2001,0.00503,5.97,67.3
Kyrgyzstan_2002,Kyrgyzstan,2002,0.00478,6.27,67.2
Kyrgyzstan_2003,Kyrgyzstan,2003,0.00441,6.8,67.1
Kyrgyzstan_2004,Kyrgyzstan,2004,0.00425,7.06,67.4
Kyrgyzstan_2005,Kyrgyzstan,2005,0.00426,7.04,67.4
Kyrgyzstan_2006,Kyrgyzstan,2006,0.00414,7.25,67.2
Kyrgyzstan_2007,Kyrgyzstan,2007,0.00382,7.85,67.6
Kyrgyzstan_2008,Kyrgyzstan,2008,0.00347,8.65,68.3
Kyrgyzstan_2009,Kyrgyzstan,2009,0.0072,7.64,69.3
Kyrgyzstan_2010,Kyrgyzstan,2010,0.0144,7.69,69.6
Kyrgyzstan_2011,Kyrgyzstan,2011,0.03061,8.28,70.3
Kyrgyzstan_2012,Kyrgyzstan,2012,0.04046,8.28,70.7
Kyrgyzstan_2013,Kyrgyzstan,2013,0.05057,8.64,71.2
Kyrgyzstan_2014,Kyrgyzstan,2014,0.0598,8.67,71.6
