dmu,country,year,efficiencies,CO2,income_share_20
Australia_2008,Australia,2008,0.02621,19,7.2
Australia_2009,Australia,2009,0.02649,18.8,7.25
Australia_2010,Australia,2010,0.02707,18.4,7.3
Australia_2011,Australia,2011,0.02767,18,7.325
Australia_2012,Australia,2012,0.02798,17.8,7.35
Australia_2013,Australia,2013,0.02912,17.1,7.375
Australia_2014,Australia,2014,0.02982,16.7,7.4
Australia_2015,Australia,2015,0.02964,16.8,7.4
Austria_1990,Austria,1990,0.09041,8.08,9.371428571428572
Austria_1991,Austria,1991,0.05866,8.49,9.028571428571428
Austria_1992,Austria,1992,0.06451,7.72,8.685714285714285
Austria_1993,Austria,1993,0.06459,7.71,8.342857142857143
Austria_1994,Austria,1994,0.06459,7.71,8
Austria_1995,Austria,1995,0.06186,8.05,7
Austria_1996,Austria,1996,0.05893,8.45,7.55
Austria_1997,Austria,1997,0.05922,8.41,8.1
Austria_1998,Austria,1998,0.05964,8.35,8.266666666666666
Austria_1999,Austria,1999,0.06095,8.17,8.433333333333334
Austria_2000,Austria,2000,0.06058,8.22,8.6
Austria_2001,Austria,2001,0.05731,8.69,8.566666666666666
Austria_2002,Austria,2002,0.05614,8.87,8.533333333333333
Austria_2003,Austria,2003,0.05231,9.52,8.5
Austria_2004,Austria,2004,0.05248,9.49,8.5
Austria_2005,Austria,2005,0.05171,9.63,8.8
Austria_2006,Austria,2006,0.05349,9.31,8.6
Austria_2007,Austria,2007,0.05558,8.96,8
Austria_2008,Austria,2008,0.05627,8.85,8
Austria_2009,Austria,2009,0.06148,8.1,7.7
Austria_2010,Austria,2010,0.05791,8.6,8
Austria_2011,Austria,2011,0.06,8.3,7.8
Austria_2012,Austria,2012,0.06264,7.95,7.8
Austria_2013,Austria,2013,0.06248,7.97,8.1
Austria_2014,Austria,2014,0.06649,7.49,8
Austria_2015,Austria,2015,0.06468,7.7,7.9
Austria_2016,Austria,2016,0.06468,7.7,7.7
Azerbaijan_1995,Azerbaijan,1995,0.11608,4.29,7.1
Azerbaijan_1996,Azerbaijan,1996,0.12513,3.98,7.1499999999999995
Azerbaijan_1997,Azerbaijan,1997,0.13245,3.76,7.2
Azerbaijan_1998,Azerbaijan,1998,0.12544,3.97,7.25
Azerbaijan_1999,Azerbaijan,1999,0.14028,3.55,7.3
Azerbaijan_2000,Azerbaijan,2000,0.13681,3.64,7.35
Azerbaijan_2001,Azerbaijan,2001,0.14148,3.52,7.4
Azerbaijan_2002,Azerbaijan,2002,1,3.58,10.9
Azerbaijan_2003,Azerbaijan,2003,0.47321,3.67,10.2
Azerbaijan_2004,Azerbaijan,2004,0.80351,3.8,10.7
Azerbaijan_2005,Azerbaijan,2005,0.82504,4.02,10.8
Belarus_1998,Belarus,1998,0.08356,5.96,7.9
Belarus_1999,Belarus,1999,0.08661,5.75,7.6
Belarus_2000,Belarus,2000,0.08861,5.62,7.9
Belarus_2001,Belarus,2001,0.08783,5.67,8.2
Belgium_1990,Belgium,1990,0.07163,12.1,9.55
Belgium_1991,Belgium,1991,0.06891,12.3,9.525
Belgium_1992,Belgium,1992,0.06792,12.2,9.5
Belgium_1993,Belgium,1993,0.04998,12,9.2
Belgium_1994,Belgium,1994,0.04049,12.3,8.9
Belgium_1995,Belgium,1995,0.04016,12.4,8.6
Belgium_1996,Belgium,1996,0.03921,12.7,8.8
Belgium_1997,Belgium,1997,0.04116,12.1,9
Belgium_1998,Belgium,1998,0.03921,12.7,8.8
Belgium_1999,Belgium,1999,0.04082,12.2,8.6
Belgium_2000,Belgium,2000,0.04049,12.3,8.4
Belgium_2001,Belgium,2001,0.04082,12.2,8.433333333333334
Belgium_2002,Belgium,2002,0.04082,12.2,8.466666666666667
Belgium_2003,Belgium,2003,0.04049,12.3,8.5
Belgium_2004,Belgium,2004,0.04049,12.3,8.4
Belgium_2005,Belgium,2005,0.04185,11.9,8.7
Belgium_2006,Belgium,2006,0.04256,11.7,8.7
Belgium_2007,Belgium,2007,0.04407,11.3,8.6
Belgium_2008,Belgium,2008,0.04446,11.2,8.7
Belgium_2009,Belgium,2009,0.05015,9.93,8.5
Belgium_2010,Belgium,2010,0.04788,10.4,8.6
Belgium_2011,Belgium,2011,0.05253,9.48,8.6
Belgium_2012,Belgium,2012,0.05431,9.17,8.7
Belgium_2013,Belgium,2013,0.05467,9.11,8.6
Belgium_2014,Belgium,2014,0.05825,8.55,8.6
Belgium_2015,Belgium,2015,0.05633,8.84,8.6
Bulgaria_2006,Bulgaria,2006,0.07324,6.8,5.7
Bulgaria_2007,Bulgaria,2007,0.06776,7.35,6.5
Bulgaria_2008,Bulgaria,2008,0.06936,7.18,6.9
Bulgaria_2009,Bulgaria,2009,0.08137,6.12,6.8
Bulgaria_2010,Bulgaria,2010,0.07733,6.44,6.3
Bulgaria_2011,Bulgaria,2011,0.06917,7.2,6.4
Bulgaria_2012,Bulgaria,2012,0.07557,6.59,6.2
Bulgaria_2013,Bulgaria,2013,0.08527,5.84,5.7
Bulgaria_2014,Bulgaria,2014,0.07994,6.23,6
Canada_1990,Canada,1990,0.02964,16.8,7.675
Canada_1991,Canada,1991,0.03074,16.2,7.7
Canada_1992,Canada,1992,0.03018,16.5,7.666666666666667
Canada_1993,Canada,1993,0.03037,16.4,7.633333333333333
Canada_1994,Canada,1994,0.02982,16.7,7.6
Canada_1995,Canada,1995,0.02929,17,7.533333333333333
Canada_1996,Canada,1996,0.02879,17.3,7.466666666666667
Canada_1997,Canada,1997,0.0283,17.6,7.4
Canada_1998,Canada,1998,0.02798,17.8,7.1
Canada_1999,Canada,1999,0.02751,18.1,7.1
Canada_2000,Canada,2000,0.02663,18.7,7.1
Canada_2001,Canada,2001,0.02721,18.3,7.074999999999999
Canada_2002,Canada,2002,0.02721,18.3,7.05
Canada_2003,Canada,2003,0.02663,18.7,7.025
Canada_2004,Canada,2004,0.02707,18.4,7
Canada_2005,Canada,2005,0.02782,17.9,7.066666666666666
Chile_1990,Chile,1990,0.20081,2.48,3.4
Chile_1991,Chile,1991,0.21558,2.31,3.5999999999999996
Chile_1992,Chile,1992,0.21191,2.35,3.8
Chile_1993,Chile,1993,0.20244,2.46,3.65
Chile_1994,Chile,1994,0.18652,2.67,3.5
Colombia_1992,Colombia,1992,0.27821,1.79,3.7
Colombia_1993,Colombia,1993,0.27514,1.81,3.375
Colombia_1994,Colombia,1994,0.26631,1.87,3.05
Costa Rica_1990,Costa Rica,1990,0.53319,0.934,3.8
Costa Rica_1991,Costa Rica,1991,0.4835,1.03,3.6
Costa Rica_1992,Costa Rica,1992,0.43684,1.14,4
Costa Rica_1993,Costa Rica,1993,0.43304,1.15,3.9
Costa Rica_1994,Costa Rica,1994,0.332,1.5,4
Costa Rica_1995,Costa Rica,1995,0.36618,1.36,4
Croatia_2009,Croatia,2009,0.09881,5.04,6.9
Croatia_2010,Croatia,2010,0.10226,4.87,6.9
Croatia_2011,Croatia,2011,0.10375,4.8,6.9
Croatia_2012,Croatia,2012,0.11191,4.45,6.9
Croatia_2013,Croatia,2013,0.11528,4.32,7.1
Croatia_2014,Croatia,2014,0.11971,4.16,7.1
Croatia_2015,Croatia,2015,0.11801,4.22,7.3
Croatia_2016,Croatia,2016,0.11581,4.3,7.3
Cyprus_2004,Cyprus,2004,0.06434,7.74,8.8
Cyprus_2005,Cyprus,2005,0.06393,7.79,8.9
Cyprus_2006,Cyprus,2006,0.06352,7.84,8.8
Cyprus_2007,Cyprus,2007,0.06217,8.01,8.7
Cyprus_2008,Cyprus,2008,0.06202,8.03,8.6
Cyprus_2009,Cyprus,2009,0.06484,7.68,8.5
Cyprus_2010,Cyprus,2010,0.06869,7.25,8.6
Cyprus_2011,Cyprus,2011,0.07228,6.89,8.4
Cyprus_2012,Cyprus,2012,0.0783,6.36,8
Cyprus_2013,Cyprus,2013,0.08706,5.72,7.7
Cyprus_2014,Cyprus,2014,0.08286,6.01,7.6
Cyprus_2015,Cyprus,2015,0.08314,5.99,7.8
Cyprus_2016,Cyprus,2016,0.07917,6.29,8.2
Czechia_1993,Czechia,1993,0.16891,13.4,10.4
Czechia_1994,Czechia,1994,0.13568,12.8,10.2
Czechia_1995,Czechia,1995,0.09528,12.7,10
Czechia_1996,Czechia,1996,0.08134,13,9.8
Czechia_1997,Czechia,1997,0.08026,12.7,9.75
Czechia_1998,Czechia,1998,0.08109,12.1,9.7
Czechia_1999,Czechia,1999,0.08345,11.3,9.65
Czechia_2000,Czechia,2000,0.07297,12.4,9.6
Czechia_2001,Czechia,2001,0.0699,12.4,9.55
Czechia_2002,Czechia,2002,0.06848,12.1,9.5
Czechia_2003,Czechia,2003,0.05103,12.5,9.25
Czechia_2004,Czechia,2004,0.03984,12.5,9
Czechia_2005,Czechia,2005,0.05496,12.3,9.3
Czechia_2006,Czechia,2006,0.05496,12.3,9.3
Czechia_2007,Czechia,2007,0.07912,12.4,9.7
Czechia_2008,Czechia,2008,0.08961,11.8,9.8
Czechia_2009,Czechia,2009,0.08226,11,9.6
Czechia_2010,Czechia,2010,0.06717,11.2,9.4
Czechia_2011,Czechia,2011,0.06202,10.9,9.3
Czechia_2012,Czechia,2012,0.08618,10.5,9.6
Czechia_2013,Czechia,2013,0.07448,10.1,9.4
Czechia_2014,Czechia,2014,0.09981,9.83,9.7
Czechia_2015,Czechia,2015,0.09921,9.89,9.7
Czechia_2016,Czechia,2016,0.121,10,10
Denmark_1990,Denmark,1990,0.08994,10.4,9.64
Denmark_1991,Denmark,1991,0.07971,12.5,9.72
Denmark_1992,Denmark,1992,0.09358,11.3,9.8
Denmark_1993,Denmark,1993,0.12593,11.7,10.1
Denmark_1994,Denmark,1994,0.18253,12.4,10.4
Denmark_1995,Denmark,1995,0.25876,11.8,10.7
Denmark_1996,Denmark,1996,0.20247,14.3,10.64
Denmark_1997,Denmark,1997,0.22075,12.4,10.58
Denmark_1998,Denmark,1998,0.22236,11.6,10.52
Denmark_1999,Denmark,1999,0.22012,11,10.46
Denmark_2000,Denmark,2000,0.2219,10.2,10.4
Denmark_2001,Denmark,2001,0.16699,10.4,10.2
Denmark_2002,Denmark,2002,0.11748,10.3,10
Denmark_2003,Denmark,2003,0.09358,11.3,9.8
Denmark_2004,Denmark,2004,0.11115,10.2,9.9
Denmark_2005,Denmark,2005,0.11119,9.51,9.8
Denmark_2006,Denmark,2006,0.09701,10.9,9.8
Denmark_2007,Denmark,2007,0.10574,10,9.8
Denmark_2008,Denmark,2008,0.11334,9.33,9.8
Denmark_2009,Denmark,2009,0.06784,8.84,9.2
Denmark_2010,Denmark,2010,0.0763,8.86,9.3
Denmark_2011,Denmark,2011,0.09487,7.93,9.4
Denmark_2012,Denmark,2012,0.09508,7.11,9.3
Denmark_2013,Denmark,2013,0.07064,7.41,9.1
Denmark_2014,Denmark,2014,0.07895,6.63,9.1
Denmark_2015,Denmark,2015,0.12153,6.19,9.4
El Salvador_1991,El Salvador,1991,0.84264,0.591,2.6
El Salvador_1992,El Salvador,1992,0.8124,0.613,2.875
El Salvador_1993,El Salvador,1993,0.6869,0.725,3.1500000000000004
Estonia_2003,Estonia,2003,0.03984,12.5,6.1
Estonia_2004,Estonia,2004,0.03921,12.7,7.1
Estonia_2005,Estonia,2005,0.03952,12.6,7.4
Estonia_2006,Estonia,2006,0.04082,12.2,7.5
Estonia_2007,Estonia,2007,0.03342,14.9,8
Estonia_2008,Estonia,2008,0.03744,13.3,7.8
Estonia_2009,Estonia,2009,0.04569,10.9,7.7
Estonia_2010,Estonia,2010,0.03483,14.3,7.2
Estonia_2011,Estonia,2011,0.03458,14.4,7.3
Estonia_2012,Estonia,2012,0.03662,13.6,7.3
Estonia_2013,Estonia,2013,0.03342,14.9,6.8
Estonia_2014,Estonia,2014,0.03458,14.4,7
Estonia_2015,Estonia,2015,0.04116,12.1,7.5
Finland_1990,Finland,1990,0.27361,11.4,10.725
Finland_1991,Finland,1991,0.27758,11,10.7
Finland_1992,Finland,1992,0.28881,10.8,10.725
Finland_1993,Finland,1993,0.28694,11.1,10.75
Finland_1994,Finland,1994,0.26866,12.1,10.775
Finland_1995,Finland,1995,0.29094,11.4,10.8
Finland_1996,Finland,1996,0.21477,12.5,10.56
Finland_1997,Finland,1997,0.16825,12.2,10.32
Finland_1998,Finland,1998,0.12354,11.5,10.08
Finland_1999,Finland,1999,0.09543,11.4,9.84
Finland_2000,Finland,2000,0.08226,11,9.6
Finland_2001,Finland,2001,0.07117,12,9.533333333333331
Finland_2002,Finland,2002,0.06425,12.5,9.466666666666669
Finland_2003,Finland,2003,0.05412,13.9,9.4
Finland_2004,Finland,2004,0.05699,13.2,9.4
Finland_2005,Finland,2005,0.07602,10.9,9.5
Finland_2006,Finland,2006,0.04613,13,9.2
Finland_2007,Finland,2007,0.0476,12.6,9.2
Finland_2008,Finland,2008,0.06145,11,9.3
Finland_2009,Finland,2009,0.06438,10.5,9.3
Finland_2010,Finland,2010,0.04998,12,9.2
Finland_2011,Finland,2011,0.06438,10.5,9.3
Finland_2012,Finland,2012,0.07944,9.47,9.4
Finland_2013,Finland,2013,0.07101,9.52,9.3
Finland_2014,Finland,2014,0.08617,8.73,9.4
France_1990,France,1990,0.07034,7.08,7.6
France_1991,France,1991,0.0664,7.5,7.7
France_1992,France,1992,0.06841,7.28,7.8
France_1993,France,1993,0.07217,6.9,7.9
France_1994,France,1994,0.07334,6.79,8
France_1995,France,1995,0.07238,6.88,8.033333333333333
France_1996,France,1996,0.06985,7.13,8.066666666666666
France_1997,France,1997,0.07135,6.98,8.1
France_1998,France,1998,0.06831,7.29,8.133333333333333
France_1999,France,1999,0.06926,7.19,8.166666666666666
France_2000,France,2000,0.07054,7.06,8.2
France_2001,France,2001,0.07024,7.09,8.2
France_2002,France,2002,0.07155,6.96,8.2
France_2003,France,2003,0.07094,7.02,8.2
France_2004,France,2004,0.07124,6.99,8.4
France_2005,France,2005,0.07124,6.99,8.6
France_2006,France,2006,0.07356,6.77,8.5
France_2007,France,2007,0.07591,6.56,8.1
France_2008,France,2008,0.07757,6.42,7.9
France_2009,France,2009,0.08137,6.12,7.7
France_2010,France,2010,0.08032,6.2,7.7
France_2011,France,2011,0.08616,5.78,7.8
France_2012,France,2012,0.08646,5.76,7.8
France_2013,France,2013,0.08661,5.75,8
France_2014,France,2014,0.09522,5.23,8
Germany_1991,Germany,1991,0.03891,12.8,8.8
Germany_1992,Germany,1992,0.04116,12.1,8.9
Germany_1993,Germany,1993,0.04185,11.9,9
Germany_1994,Germany,1994,0.04293,11.6,8.5
Germany_1995,Germany,1995,0.04293,11.6,8.6
Germany_1996,Germany,1996,0.0422,11.8,8.9
Germany_1997,Germany,1997,0.0433,11.5,8.9
Germany_1998,Germany,1998,0.04368,11.4,8.9
Germany_1999,Germany,1999,0.04527,11,8.7
Germany_2000,Germany,2000,0.04486,11.1,8.8
Germany_2001,Germany,2001,0.04407,11.3,8.6
Germany_2002,Germany,2002,0.04486,11.1,8.6
Germany_2003,Germany,2003,0.04486,11.1,8.5
Germany_2004,Germany,2004,0.04569,10.9,8.5
Germany_2005,Germany,2005,0.04698,10.6,8.2
Germany_2006,Germany,2006,0.04611,10.8,8.3
Germany_2007,Germany,2007,0.04743,10.5,8.3
Germany_2008,Germany,2008,0.04743,10.5,8.4
Germany_2009,Germany,2009,0.05102,9.76,8.3
Germany_2010,Germany,2010,0.04835,10.3,8.4
Germany_2011,Germany,2011,0.0498,10,8.4
Germany_2012,Germany,2012,0.04931,10.1,8.2
Germany_2013,Germany,2013,0.04835,10.3,8.1
Germany_2014,Germany,2014,0.05113,9.74,8.1
Germany_2015,Germany,2015,0.05113,9.74,7.9
Greece_1995,Greece,1995,0.06148,8.1,5.9
Greece_1996,Greece,1996,0.06051,8.23,6.08
Greece_1997,Greece,1997,0.05784,8.61,6.26
Greece_1998,Greece,1998,0.05533,9,6.44
Greece_1999,Greece,1999,0.05602,8.89,6.62
Greece_2000,Greece,2000,0.05355,9.3,6.8
Greece_2001,Greece,2001,0.05259,9.47,6.933333333333334
Greece_2002,Greece,2002,0.05298,9.4,7.066666666666666
Greece_2003,Greece,2003,0.05118,9.73,7.2
Greece_2004,Greece,2004,0.05102,9.76,7.1
Greece_2005,Greece,2005,0.04882,10.2,6.9
Greece_2006,Greece,2006,0.04931,10.1,6.7
Greece_2007,Greece,2007,0.04835,10.3,7
Greece_2008,Greece,2008,0.04931,10.1,7.1
Greece_2009,Greece,2009,0.05226,9.53,7
Greece_2010,Greece,2010,0.05564,8.95,6.7
Greece_2011,Greece,2011,0.05698,8.74,6.1
Greece_2012,Greece,2012,0.05866,8.49,5.8
Greece_2013,Greece,2013,0.06535,7.62,5.9
Greece_2014,Greece,2014,0.06766,7.36,5.9
Greece_2015,Greece,2015,0.07074,7.04,5.8
Hungary_2004,Hungary,2004,0.08328,5.98,8.3
Hungary_2005,Hungary,2005,0.083,6,7.1
Hungary_2006,Hungary,2006,0.08356,5.96,8.7
Hungary_2007,Hungary,2007,0.08513,5.85,8.7
Hungary_2008,Hungary,2008,0.08661,5.75,8.8
Hungary_2009,Hungary,2009,0.09559,5.21,8.8
Hungary_2010,Hungary,2010,0.09468,5.26,8.2
Hungary_2011,Hungary,2011,0.09784,5.09,8.1
Hungary_2012,Hungary,2012,0.10484,4.75,7.6
Hungary_2013,Hungary,2013,0.11166,4.46,7.5
Hungary_2014,Hungary,2014,0.11116,4.48,7.6
Hungary_2015,Hungary,2015,0.10418,4.78,7.8
Hungary_2016,Hungary,2016,0.10226,4.87,8
Iceland_2003,Iceland,2003,0.07967,10.4,9.5
Iceland_2004,Iceland,2004,0.07031,10.7,9.4
Iceland_2005,Iceland,2005,0.05938,10.1,9.2
Iceland_2006,Iceland,2006,0.04743,10.5,8.9
Iceland_2007,Iceland,2007,0.04552,11.5,9.1
Iceland_2008,Iceland,2008,0.04082,12.2,8.6
Iceland_2009,Iceland,2009,0.04436,11.8,9.1
Iceland_2010,Iceland,2010,0.07332,11.3,9.5
Iceland_2011,Iceland,2011,0.06259,10.8,9.3
Iceland_2012,Iceland,2012,0.06318,10.7,9.3
Iceland_2013,Iceland,2013,0.10595,10.7,9.9
Iceland_2014,Iceland,2014,0.07165,10.5,9.4
Iceland_2015,Iceland,2015,0.07744,10.7,9.5
Iceland_2016,Iceland,2016,0.07165,10.5,9.4
Ireland_1990,Ireland,1990,0.05309,9.38,7
Ireland_1991,Ireland,1991,0.05204,9.57,7
Ireland_1992,Ireland,1992,0.05253,9.48,7
Ireland_1993,Ireland,1993,0.05242,9.5,7
Ireland_1994,Ireland,1994,0.05102,9.76,7
Ireland_1995,Ireland,1995,0.0499,9.98,6.8
Ireland_1996,Ireland,1996,0.04835,10.3,7.1
Ireland_1997,Ireland,1997,0.04698,10.6,7.275
Ireland_1998,Ireland,1998,0.04527,11,7.449999999999999
Ireland_1999,Ireland,1999,0.04368,11.4,7.625
Ireland_2000,Ireland,2000,0.0415,12,7.8
Ireland_2001,Ireland,2001,0.04016,12.4,7.699999999999999
Ireland_2002,Ireland,2002,0.0422,11.8,7.6
Ireland_2003,Ireland,2003,0.0433,11.5,7.7
Ireland_2004,Ireland,2004,0.04368,11.4,7.6
Ireland_2005,Ireland,2005,0.04293,11.6,7.7
Ireland_2006,Ireland,2006,0.04407,11.3,7.9
Ireland_2007,Ireland,2007,0.04527,11,8.2
Ireland_2008,Ireland,2008,0.04654,10.7,8.2
Ireland_2009,Ireland,2009,0.05309,9.38,7.7
Ireland_2010,Ireland,2010,0.05437,9.16,7.6
Ireland_2011,Ireland,2011,0.06014,8.28,7.4
Ireland_2012,Ireland,2012,0.06007,8.29,7.5
Ireland_2013,Ireland,2013,0.06179,8.06,7.3
Israel_1995,Israel,1995,0.05259,9.47,6.42
Israel_1996,Israel,1996,0.05198,9.58,6.26
Israel_1997,Israel,1997,0.05051,9.86,6.1
Israel_1998,Israel,1998,0.05061,9.84,6.05
Israel_1999,Israel,1999,0.05292,9.41,6
Israel_2000,Israel,2000,0.0498,10,5.95
Israel_2001,Israel,2001,0.04788,10.4,5.9
Israel_2002,Israel,2002,0.05177,9.62,5.5
Israel_2003,Israel,2003,0.05005,9.95,5.2
Israel_2004,Israel,2004,0.05425,9.18,4.8
Israel_2005,Israel,2005,0.05751,8.66,4.8
Israel_2006,Israel,2006,0.05349,9.31,4.8
Israel_2007,Israel,2007,0.05425,9.18,5
Israel_2008,Israel,2008,0.05139,9.69,4.8
Israel_2009,Israel,2009,0.05602,8.89,4.6
Israel_2010,Israel,2010,0.05355,9.3,4.7
Israel_2011,Israel,2011,0.05431,9.17,4.8
Israel_2012,Israel,2012,0.05066,9.83,4.7
Israel_2013,Israel,2013,0.05922,8.41,5
Israel_2014,Israel,2014,0.0632,7.88,5
Israel_2015,Israel,2015,0.0611,8.15,5
Italy_1990,Italy,1990,0.06459,7.71,7.7
Italy_1991,Italy,1991,0.06468,7.7,7.7
Italy_1992,Italy,1992,0.06501,7.66,6.9
Italy_1993,Italy,1993,0.06614,7.53,6.1
Italy_1994,Italy,1994,0.06703,7.43,6.199999999999999
Italy_1995,Italy,1995,0.06304,7.9,6.3
Italy_1996,Italy,1996,0.06393,7.79,6.166666666666667
Italy_1997,Italy,1997,0.06312,7.89,6.033333333333333
Italy_1998,Italy,1998,0.06141,8.11,5.9
Italy_1999,Italy,1999,0.06073,8.2,6.1
Italy_2000,Italy,2000,0.06,8.3,6.3
Italy_2001,Italy,2001,0.05943,8.38,6.433333333333334
Italy_2002,Italy,2002,0.05957,8.36,6.566666666666666
Italy_2003,Italy,2003,0.05838,8.53,6.7
Italy_2004,Italy,2004,0.05831,8.54,6.8
Italy_2005,Italy,2005,0.05866,8.49,6.8
Italy_2006,Italy,2006,0.05957,8.36,6.9
Italy_2007,Italy,2007,0.06103,8.16,7.1
Italy_2008,Italy,2008,0.06272,7.94,6.9
Italy_2009,Italy,2009,0.07054,7.06,6.7
Italy_2010,Italy,2010,0.06926,7.19,6.4
Italy_2011,Italy,2011,0.07165,6.95,6.4
Italy_2012,Italy,2012,0.07591,6.56,6.3
Italy_2013,Italy,2013,0.08218,6.06,6.2
Italy_2014,Italy,2014,0.08631,5.77,6.2
Italy_2015,Italy,2015,0.08469,5.88,5.9
Japan_2008,Japan,2008,0.05193,9.59,6.4
Japan_2009,Japan,2009,0.05503,9.05,7.3
Japan_2010,Japan,2010,0.05264,9.46,8.2
Japan_2011,Japan,2011,0.05056,9.85,8.033333333333333
Japan_2012,Japan,2012,0.04882,10.2,7.866666666666666
Japan_2013,Japan,2013,0.04835,10.3,7.7
Jordan_2008,Jordan,2008,0.15759,3.16,8.4
Jordan_2009,Jordan,2009,0.16065,3.1,8.3
Jordan_2010,Jordan,2010,0.17535,2.84,8.2
Kazakhstan_2000,Kazakhstan,2000,0.05564,8.95,6.74
Kazakhstan_2001,Kazakhstan,2001,0.05811,8.57,6.7
Kazakhstan_2002,Kazakhstan,2002,0.05102,9.76,7.3
Kazakhstan_2003,Kazakhstan,2003,0.04611,10.8,7.5
Kazakhstan_2004,Kazakhstan,2004,0.04446,11.2,8.2
Kazakhstan_2005,Kazakhstan,2005,0.04185,11.9,5.9
Kazakhstan_2006,Kazakhstan,2006,0.03744,13.3,8.9
Kazakhstan_2007,Kazakhstan,2007,0.03662,13.6,8.9
Kazakhstan_2008,Kazakhstan,2008,0.06183,13.4,9.5
Kazakhstan_2009,Kazakhstan,2009,0.05787,13,9.4
Kazakhstan_2010,Kazakhstan,2010,0.05714,14.5,9.5
Kazakhstan_2011,Kazakhstan,2011,0.06004,13.8,9.5
Kazakhstan_2012,Kazakhstan,2012,0.05373,14,9.4
Kazakhstan_2013,Kazakhstan,2013,0.07499,14.1,9.8
Kazakhstan_2014,Kazakhstan,2014,0.0766,14.8,9.9
Kazakhstan_2015,Kazakhstan,2015,0.08067,15,10
Kyrgyzstan_2000,Kyrgyzstan,2000,0.53205,0.936,8.6
Kyrgyzstan_2001,Kyrgyzstan,2001,0.63928,0.779,8.8
Kyrgyzstan_2002,Kyrgyzstan,2002,0.50507,0.986,8.6
Kyrgyzstan_2003,Kyrgyzstan,2003,0.63178,1.07,9.3
Kyrgyzstan_2004,Kyrgyzstan,2004,0.43304,1.15,7.7
Kyrgyzstan_2005,Kyrgyzstan,2005,0.45688,1.09,8.4
Kyrgyzstan_2006,Kyrgyzstan,2006,0.46981,1.06,7.3
Kyrgyzstan_2007,Kyrgyzstan,2007,0.39524,1.26,7.6
