dmu,country,year,efficiencies,CO2,income
Austria_1997,Austria,1997,0.39901,8.41,42.1
Austria_1998,Austria,1998,0.41549,8.35,43.6
Austria_1999,Austria,1999,0.43856,8.17,45.1
Austria_2000,Austria,2000,0.4488,8.22,46.5
Austria_2001,Austria,2001,0.42802,8.69,46.9
Austria_2002,Austria,2002,0.42361,8.87,47.4
Austria_2003,Austria,2003,0.39628,9.52,47.6
Austria_2004,Austria,2004,0.40552,9.49,48.6
Austria_2005,Austria,2005,0.40592,9.63,49.4
Austria_2006,Austria,2006,0.43127,9.31,50.8
Austria_2007,Austria,2007,0.46334,8.96,52.6
Austria_2008,Austria,2008,0.47424,8.85,53.2
Austria_2009,Austria,2009,0.49756,8.1,51
Austria_2010,Austria,2010,0.47569,8.6,51.8
Austria_2011,Austria,2011,0.50567,8.3,53.2
Austria_2012,Austria,2012,0.52888,7.95,53.3
Austria_2013,Austria,2013,0.5247,7.97,53
Austria_2014,Austria,2014,0.55731,7.49,52.9
Austria_2015,Austria,2015,0.54211,7.7,52.9
Austria_2016,Austria,2016,0.54605,7.7,53.3
Azerbaijan_1995,Azerbaijan,1995,0.11608,4.29,2.98
Azerbaijan_1996,Azerbaijan,1996,0.12513,3.98,2.99
Azerbaijan_1997,Azerbaijan,1997,0.13245,3.76,3.13
Azerbaijan_1998,Azerbaijan,1998,0.12544,3.97,3.41
Azerbaijan_1999,Azerbaijan,1999,0.14028,3.55,3.63
Azerbaijan_2000,Azerbaijan,2000,0.13681,3.64,4
Azerbaijan_2001,Azerbaijan,2001,0.14148,3.52,4.36
Azerbaijan_2002,Azerbaijan,2002,0.1463,3.58,4.74
Azerbaijan_2003,Azerbaijan,2003,0.1518,3.67,5.18
Azerbaijan_2004,Azerbaijan,2004,0.15519,3.8,5.61
Azerbaijan_2005,Azerbaijan,2005,0.17498,4.02,7.11
Belarus_1998,Belarus,1998,0.12031,5.96,7.29
Belarus_1999,Belarus,1999,0.12853,5.75,7.58
Belarus_2000,Belarus,2000,0.13784,5.62,8.05
Belarus_2001,Belarus,2001,0.14237,5.67,8.48
Belgium_1990,Belgium,1990,0.23598,12.1,35.5
Belgium_1991,Belgium,1991,0.23523,12.3,36
Belgium_1992,Belgium,1992,0.23964,12.2,36.4
Belgium_1993,Belgium,1993,0.24047,12,35.9
Belgium_1994,Belgium,1994,0.24139,12.3,37
Belgium_1995,Belgium,1995,0.24433,12.4,37.8
Belgium_1996,Belgium,1996,0.24095,12.7,38.2
Belgium_1997,Belgium,1997,0.26167,12.1,39.6
Belgium_1998,Belgium,1998,0.25348,12.7,40.3
Belgium_1999,Belgium,1999,0.27195,12.2,41.6
Belgium_2000,Belgium,2000,0.27836,12.3,43
Belgium_2001,Belgium,2001,0.28251,12.2,43.3
Belgium_2002,Belgium,2002,0.28624,12.2,43.9
Belgium_2003,Belgium,2003,0.28576,12.3,44.2
Belgium_2004,Belgium,2004,0.29377,12.3,45.5
Belgium_2005,Belgium,2005,0.30874,11.9,46.3
Belgium_2006,Belgium,2006,0.31985,11.7,47.2
Belgium_2007,Belgium,2007,0.34056,11.3,48.6
Belgium_2008,Belgium,2008,0.34225,11.2,48.4
Belgium_2009,Belgium,2009,0.3761,9.93,47.1
Belgium_2010,Belgium,2010,0.36566,10.4,48
Belgium_2011,Belgium,2011,0.40275,9.48,48.2
Belgium_2012,Belgium,2012,0.41636,9.17,48.2
Belgium_2013,Belgium,2013,0.4191,9.11,48.2
Belgium_2014,Belgium,2014,0.45099,8.55,48.7
Belgium_2015,Belgium,2015,0.44305,8.84,49.5
Bulgaria_2006,Bulgaria,2006,0.20143,6.8,15.9
Bulgaria_2007,Bulgaria,2007,0.19873,7.35,17.1
Bulgaria_2008,Bulgaria,2008,0.2161,7.18,18.3
Bulgaria_2009,Bulgaria,2009,0.24734,6.12,17.8
Bulgaria_2010,Bulgaria,2010,0.23976,6.44,18.2
Bulgaria_2011,Bulgaria,2011,0.21971,7.2,18.7
Bulgaria_2012,Bulgaria,2012,0.24235,6.59,18.9
Bulgaria_2013,Bulgaria,2013,0.27348,5.84,18.9
Bulgaria_2014,Bulgaria,2014,0.26001,6.23,19.2
Canada_1990,Canada,1990,0.1659,16.8,34.6
Canada_1991,Canada,1991,0.1669,16.2,33.5
Canada_1992,Canada,1992,0.16341,16.5,33.4
Canada_1993,Canada,1993,0.16671,16.4,33.9
Canada_1994,Canada,1994,0.16916,16.7,35.1
Canada_1995,Canada,1995,0.16841,17,35.6
Canada_1996,Canada,1996,0.16636,17.3,35.8
Canada_1997,Canada,1997,0.15578,17.6,34
Canada_1998,Canada,1998,0.15701,17.8,34.7
Canada_1999,Canada,1999,0.15901,18.1,35.8
Canada_2000,Canada,2000,0.15958,18.7,37.2
Canada_2001,Canada,2001,0.16349,18.3,37.3
Canada_2002,Canada,2002,0.16721,18.3,38.2
Canada_2003,Canada,2003,0.1681,18.7,39.3
Canada_2004,Canada,2004,0.17537,18.4,40.4
Canada_2005,Canada,2005,0.18704,17.9,42
Chile_1990,Chile,1990,0.36738,2.48,9.85
Chile_1991,Chile,1991,0.41247,2.31,10.4
Chile_1992,Chile,1992,0.4377,2.35,11.4
Chile_1993,Chile,1993,0.43662,2.46,12
Chile_1994,Chile,1994,0.41363,2.67,12.4
Colombia_1992,Colombia,1992,0.45098,1.79,8.48
Colombia_1993,Colombia,1993,0.45815,1.81,8.77
Colombia_1994,Colombia,1994,0.45682,1.87,9.1
Costa Rica_1990,Costa Rica,1990,0.98198,0.934,9.93
Costa Rica_1991,Costa Rica,1991,0.88825,1.03,9.9
Costa Rica_1992,Costa Rica,1992,0.84244,1.14,10.5
Costa Rica_1993,Costa Rica,1993,0.86807,1.15,11
Costa Rica_1994,Costa Rica,1994,0.67563,1.5,11.2
Costa Rica_1995,Costa Rica,1995,0.75632,1.36,11.4
Croatia_2009,Croatia,2009,0.40562,5.04,24.8
Croatia_2010,Croatia,2010,0.41511,4.87,24.5
Croatia_2011,Croatia,2011,0.42274,4.8,24.6
Croatia_2012,Croatia,2012,0.44747,4.45,24.1
Croatia_2013,Croatia,2013,0.46094,4.32,24.1
Croatia_2014,Croatia,2014,0.47867,4.16,24.1
Croatia_2015,Croatia,2015,0.48623,4.22,24.9
Croatia_2016,Croatia,2016,0.49481,4.3,25.9
Cyprus_2004,Cyprus,2004,0.3787,7.74,36.5
Cyprus_2005,Cyprus,2005,0.38795,7.79,37.7
Cyprus_2006,Cyprus,2006,0.39611,7.84,38.8
Cyprus_2007,Cyprus,2007,0.39906,8.01,40
Cyprus_2008,Cyprus,2008,0.40184,8.03,40.4
Cyprus_2009,Cyprus,2009,0.4014,7.68,38.5
Cyprus_2010,Cyprus,2010,0.42312,7.25,38.3
Cyprus_2011,Cyprus,2011,0.43643,6.89,37.5
Cyprus_2012,Cyprus,2012,0.45015,6.36,35.6
Cyprus_2013,Cyprus,2013,0.47136,5.72,33.4
Cyprus_2014,Cyprus,2014,0.44483,6.01,33.1
Cyprus_2015,Cyprus,2015,0.46404,5.99,34.5
Cyprus_2016,Cyprus,2016,0.466,6.29,36.5
Czechia_1993,Czechia,1993,0.12993,13.4,20.8
Czechia_1994,Czechia,1994,0.13958,12.8,21.4
Czechia_1995,Czechia,1995,0.14903,12.7,22.8
Czechia_1996,Czechia,1996,0.15142,13,23.8
Czechia_1997,Czechia,1997,0.1544,12.7,23.7
Czechia_1998,Czechia,1998,0.16143,12.1,23.6
Czechia_1999,Czechia,1999,0.17488,11.3,23.9
Czechia_2000,Czechia,2000,0.16609,12.4,25
Czechia_2001,Czechia,2001,0.17098,12.4,25.8
Czechia_2002,Czechia,2002,0.17835,12.1,26.3
Czechia_2003,Czechia,2003,0.1781,12.5,27.2
Czechia_2004,Czechia,2004,0.18598,12.5,28.5
Czechia_2005,Czechia,2005,0.20071,12.3,30.4
Czechia_2006,Czechia,2006,0.21304,12.3,32.4
Czechia_2007,Czechia,2007,0.2211,12.4,34
Czechia_2008,Czechia,2008,0.2362,11.8,34.6
Czechia_2009,Czechia,2009,0.24097,11,32.8
Czechia_2010,Czechia,2010,0.24141,11.2,33.5
Czechia_2011,Czechia,2011,0.25153,10.9,34
Czechia_2012,Czechia,2012,0.25895,10.5,33.7
Czechia_2013,Czechia,2013,0.2692,10.1,33.7
Czechia_2014,Czechia,2014,0.28199,9.83,34.4
Czechia_2015,Czechia,2015,0.29408,9.89,36.2
Czechia_2016,Czechia,2016,0.29691,10,37
Denmark_1990,Denmark,1990,0.30006,10.4,39
Denmark_1991,Denmark,1991,0.25269,12.5,39.5
Denmark_1992,Denmark,1992,0.28354,11.3,40.1
Denmark_1993,Denmark,1993,0.2732,11.7,40
Denmark_1994,Denmark,1994,0.27000999999999997,12.4,42
Denmark_1995,Denmark,1995,0.29016,11.8,43
Denmark_1996,Denmark,1996,0.24473,14.3,44
Denmark_1997,Denmark,1997,0.29018,12.4,45.3
Denmark_1998,Denmark,1998,0.31542,11.6,46.1
Denmark_1999,Denmark,1999,0.34089,11,47.3
Denmark_2000,Denmark,2000,0.37952,10.2,48.9
Denmark_2001,Denmark,2001,0.37368,10.4,49.1
Denmark_2002,Denmark,2002,0.37804,10.3,49.2
Denmark_2003,Denmark,2003,0.34526,11.3,49.3
Denmark_2004,Denmark,2004,0.39067,10.2,50.4
Denmark_2005,Denmark,2005,0.42778,9.51,51.5
Denmark_2006,Denmark,2006,0.38574,10.9,53.3
Denmark_2007,Denmark,2007,0.42273,10,53.6
Denmark_2008,Denmark,2008,0.44822,9.33,53
Denmark_2009,Denmark,2009,0.4482,8.84,50.1
Denmark_2010,Denmark,2010,0.45317,8.86,50.8
Denmark_2011,Denmark,2011,0.5111,7.93,51.3
Denmark_2012,Denmark,2012,0.56898,7.11,51.2
Denmark_2013,Denmark,2013,0.54901,7.41,51.5
Denmark_2014,Denmark,2014,0.61932,6.63,52
Denmark_2015,Denmark,2015,0.67436,6.19,52.9
El Salvador_1991,El Salvador,1991,0.95679,0.591,5.29
El Salvador_1992,El Salvador,1992,0.95955,0.613,5.59
El Salvador_1993,El Salvador,1993,0.8364,0.725,5.83
Estonia_2003,Estonia,2003,0.14717,12.5,22.1
Estonia_2004,Estonia,2004,0.1544,12.7,23.7
Estonia_2005,Estonia,2005,0.17007,12.6,26.1
Estonia_2006,Estonia,2006,0.19242,12.2,28.8
Estonia_2007,Estonia,2007,0.16925,14.9,31.1
Estonia_2008,Estonia,2008,0.18106,13.3,29.6
Estonia_2009,Estonia,2009,0.19103,10.9,25.3
Estonia_2010,Estonia,2010,0.14932,14.3,26
Estonia_2011,Estonia,2011,0.15881,14.4,28
Estonia_2012,Estonia,2012,0.17373,13.6,29
Estonia_2013,Estonia,2013,0.16111,14.9,29.5
Estonia_2014,Estonia,2014,0.17197,14.4,30.5
Estonia_2015,Estonia,2015,0.20779,12.1,31
Finland_1990,Finland,1990,0.23318,11.4,32.9
Finland_1991,Finland,1991,0.22719,11,30.8
Finland_1992,Finland,1992,0.22298,10.8,29.6
Finland_1993,Finland,1993,0.2149,11.1,29.3
Finland_1994,Finland,1994,0.20341,12.1,30.3
Finland_1995,Finland,1995,0.22387,11.4,31.5
Finland_1996,Finland,1996,0.21024,12.5,32.5
Finland_1997,Finland,1997,0.22783,12.2,34.5
Finland_1998,Finland,1998,0.25357,11.5,36.3
Finland_1999,Finland,1999,0.26576,11.4,37.8
Finland_2000,Finland,2000,0.2899,11,39.9
Finland_2001,Finland,2001,0.27143,12,40.8
Finland_2002,Finland,2002,0.26421,12.5,41.4
Finland_2003,Finland,2003,0.24196,13.9,42.2
Finland_2004,Finland,2004,0.2634,13.2,43.7
Finland_2005,Finland,2005,0.32663,10.9,44.8
Finland_2006,Finland,2006,0.2832,13,46.4
Finland_2007,Finland,2007,0.30603,12.6,48.7
Finland_2008,Finland,2008,0.35123,11,48.8
Finland_2009,Finland,2009,0.33835,10.5,44.7
Finland_2010,Finland,2010,0.30364,12,45.9
Finland_2011,Finland,2011,0.35351,10.5,46.8
Finland_2012,Finland,2012,0.38556,9.47,46
Finland_2013,Finland,2013,0.37796,9.52,45.3
Finland_2014,Finland,2014,0.40956,8.73,45
France_1990,France,1990,0.38403,7.08,33.7
France_1991,France,1991,0.36455,7.5,33.9
France_1992,France,1992,0.37973,7.28,34.3
France_1993,France,1993,0.39624,6.9,33.9
France_1994,France,1994,0.41048,6.79,34.6
France_1995,France,1995,0.41172,6.88,35.2
France_1996,France,1996,0.40047,7.13,35.5
France_1997,France,1997,0.41777,6.98,36.3
France_1998,France,1998,0.41144,7.29,37.4
France_1999,France,1999,0.42876,7.19,38.5
France_2000,France,2000,0.44954,7.06,39.7
France_2001,France,2001,0.45298,7.09,40.2
France_2002,France,2002,0.46362,6.96,40.4
France_2003,France,2003,0.45966,7.02,40.4
France_2004,France,2004,0.47139,6.99,41.3
France_2005,France,2005,0.47464,6.99,41.6
France_2006,France,2006,0.49902,6.77,42.4
France_2007,France,2007,0.52309,6.56,43.1
France_2008,France,2008,0.53331,6.42,43
France_2009,France,2009,0.54088,6.12,41.5
France_2010,France,2010,0.54123,6.2,42.1
France_2011,France,2011,0.59105,5.78,42.9
France_2012,France,2012,0.59179,5.76,42.8
France_2013,France,2013,0.59282,5.75,42.8
France_2014,France,2014,0.65466,5.23,43
Germany_1991,Germany,1991,0.23966,12.8,38.3
Germany_1992,Germany,1992,0.25603,12.1,38.7
Germany_1993,Germany,1993,0.25651,11.9,38.1
Germany_1994,Germany,1994,0.26837,11.6,38.9
Germany_1995,Germany,1995,0.27164,11.6,39.4
Germany_1996,Germany,1996,0.26832,11.8,39.6
Germany_1997,Germany,1997,0.27927,11.5,40.2
Germany_1998,Germany,1998,0.28704,11.4,41
Germany_1999,Germany,1999,0.30299,11,41.8
Germany_2000,Germany,2000,0.30777,11.1,42.9
Germany_2001,Germany,2001,0.30702,11.3,43.6
Germany_2002,Germany,2002,0.31119,11.1,43.4
Germany_2003,Germany,2003,0.30914,11.1,43.1
Germany_2004,Germany,2004,0.31829,10.9,43.6
Germany_2005,Germany,2005,0.32944,10.6,43.9
Germany_2006,Germany,2006,0.33597,10.8,45.7
Germany_2007,Germany,2007,0.35568,10.5,47.1
Germany_2008,Germany,2008,0.35929,10.5,47.6
Germany_2009,Germany,2009,0.36634,9.76,45
Germany_2010,Germany,2010,0.36185,10.3,47
Germany_2011,Germany,2011,0.39393,10,49.8
Germany_2012,Germany,2012,0.39078,10.1,49.9
Germany_2013,Germany,2013,0.38393,10.3,50
Germany_2014,Germany,2014,0.41223,9.74,50.8
Germany_2015,Germany,2015,0.41534,9.74,51.2
Greece_1995,Greece,1995,0.25332,8.1,24.9
Greece_1996,Greece,1996,0.25484,8.23,25.5
Greece_1997,Greece,1997,0.2524,8.61,26.5
Greece_1998,Greece,1998,0.24904,9,27.4
Greece_1999,Greece,1999,0.25809,8.89,28.1
Greece_2000,Greece,2000,0.25487,9.3,29.1
Greece_2001,Greece,2001,0.2591,9.47,30.2
Greece_2002,Greece,2002,0.26989,9.4,31.3
Greece_2003,Greece,2003,0.27398,9.73,33
Greece_2004,Greece,2004,0.28557,9.76,34.6
Greece_2005,Greece,2005,0.27399,10.2,34.7
Greece_2006,Greece,2006,0.29021,10.1,36.5
Greece_2007,Greece,2007,0.29267,10.3,37.6
Greece_2008,Greece,2008,0.29697,10.1,37.4
Greece_2009,Greece,2009,0.30121,9.53,35.7
Greece_2010,Greece,2010,0.30379,8.95,33.7
Greece_2011,Greece,2011,0.2816,8.74,30.3
Greece_2012,Greece,2012,0.27204,8.49,28.3
Greece_2013,Greece,2013,0.29812,7.62,27.8
Greece_2014,Greece,2014,0.31175,7.36,28.1
Greece_2015,Greece,2015,0.32807,7.04,28.3
Hungary_2004,Hungary,2004,0.32411,5.98,23.4
Hungary_2005,Hungary,2005,0.33567,6,24.4
Hungary_2006,Hungary,2006,0.35064,5.96,25.4
Hungary_2007,Hungary,2007,0.35853,5.85,25.5
Hungary_2008,Hungary,2008,0.36872,5.75,25.8
Hungary_2009,Hungary,2009,0.38365,5.21,24.2
Hungary_2010,Hungary,2010,0.38433,5.26,24.5
Hungary_2011,Hungary,2011,0.40461,5.09,25
Hungary_2012,Hungary,2012,0.43038,4.75,24.8
Hungary_2013,Hungary,2013,0.46686,4.46,25.3
Hungary_2014,Hungary,2014,0.48508,4.48,26.5
Hungary_2015,Hungary,2015,0.4705,4.78,27.5
Hungary_2016,Hungary,2016,0.4727,4.87,28.2
Iceland_2003,Iceland,2003,0.32995,10.4,43.1
Iceland_2004,Iceland,2004,0.34195,10.7,46.1
Iceland_2005,Iceland,2005,0.37727,10.1,48.1
Iceland_2006,Iceland,2006,0.37662,10.5,50
Iceland_2007,Iceland,2007,0.36232,11.5,52.8
Iceland_2008,Iceland,2008,0.34278,12.2,53
Iceland_2009,Iceland,2009,0.32742,11.8,48.8
Iceland_2010,Iceland,2010,0.33318,11.3,47.5
Iceland_2011,Iceland,2011,0.35352,10.8,48.2
Iceland_2012,Iceland,2012,0.35824,10.7,48.4
Iceland_2013,Iceland,2013,0.37099,10.7,50.2
Iceland_2014,Iceland,2014,0.38023,10.5,50.5
Iceland_2015,Iceland,2015,0.38445,10.7,52.1
Iceland_2016,Iceland,2016,0.41055,10.5,54.7
Ireland_1990,Ireland,1990,0.23087,9.38,26.4
Ireland_1991,Ireland,1991,0.22946,9.57,26.8
Ireland_1992,Ireland,1992,0.23723,9.48,27.5
Ireland_1993,Ireland,1993,0.24152,9.5,28.1
Ireland_1994,Ireland,1994,0.24674,9.76,29.6
Ireland_1995,Ireland,1995,0.2618,9.98,32.3
Ireland_1996,Ireland,1996,0.26913,10.3,34.4
Ireland_1997,Ireland,1997,0.28582,10.6,37.8
Ireland_1998,Ireland,1998,0.29541,11,40.7
Ireland_1999,Ireland,1999,0.31031,11.4,44.5
Ireland_2000,Ireland,2000,0.31691,12,48
Ireland_2001,Ireland,2001,0.31707,12.4,49.7
Ireland_2002,Ireland,2002,0.34669,11.8,51.8
Ireland_2003,Ireland,2003,0.36034,11.5,52.5
Ireland_2004,Ireland,2004,0.38013,11.4,55
Ireland_2005,Ireland,2005,0.38599,11.6,56.9
Ireland_2006,Ireland,2006,0.40496,11.3,58.2
Ireland_2007,Ireland,2007,0.42496,11,59.5
Ireland_2008,Ireland,2008,0.40996,10.7,55.7
Ireland_2009,Ireland,2009,0.44017,9.38,52.3
Ireland_2010,Ireland,2010,0.45654,9.16,53
Ireland_2011,Ireland,2011,0.5078,8.28,53.3
Ireland_2012,Ireland,2012,0.50445,8.29,53
Ireland_2013,Ireland,2013,0.5226,8.06,53.4
Israel_1995,Israel,1995,0.22708,9.47,26.2
Israel_1996,Israel,1996,0.23159,9.58,27.1
Israel_1997,Israel,1997,0.22809,9.86,27.5
Israel_1998,Israel,1998,0.23241,9.84,28
Israel_1999,Israel,1999,0.24464,9.41,28.2
Israel_2000,Israel,2000,0.24309,10,29.9
Israel_2001,Israel,2001,0.22937,10.4,29.3
Israel_2002,Israel,2002,0.24245,9.62,28.6
Israel_2003,Israel,2003,0.23365,9.95,28.5
Israel_2004,Israel,2004,0.25985,9.18,29.3
Israel_2005,Israel,2005,0.28158,8.66,30
Israel_2006,Israel,2006,0.27169,9.31,31.2
Israel_2007,Israel,2007,0.28627,9.18,32.5
Israel_2008,Israel,2008,0.27512,9.69,33
Israel_2009,Israel,2009,0.29646,8.89,32.6
Israel_2010,Israel,2010,0.29399,9.3,33.9
Israel_2011,Israel,2011,0.30808,9.17,35.1
Israel_2012,Israel,2012,0.2897,9.83,35.4
Israel_2013,Israel,2013,0.34763,8.41,36.4
Israel_2014,Israel,2014,0.37871,7.88,37.2
Israel_2015,Israel,2015,0.36709,8.15,37.3
Italy_1990,Italy,1990,0.38116,7.71,36.6
Italy_1991,Italy,1991,0.38658,7.7,37.1
Italy_1992,Italy,1992,0.39157,7.66,37.4
Italy_1993,Italy,1993,0.39531,7.53,37.1
Italy_1994,Italy,1994,0.40879,7.43,37.9
Italy_1995,Italy,1995,0.39406,7.9,38.9
Italy_1996,Italy,1996,0.40449,7.79,39.4
Italy_1997,Italy,1997,0.40609,7.89,40.1
Italy_1998,Italy,1998,0.40162,8.11,40.8
Italy_1999,Italy,1999,0.40368,8.2,41.5
Italy_2000,Italy,2000,0.41343,8.3,43.1
Italy_2001,Italy,2001,0.41672,8.38,43.9
Italy_2002,Italy,2002,0.41771,8.36,43.9
Italy_2003,Italy,2003,0.4085,8.53,43.8
Italy_2004,Italy,2004,0.41068,8.54,44.1
Italy_2005,Italy,2005,0.41489,8.49,44.3
Italy_2006,Italy,2006,0.42678,8.36,44.9
Italy_2007,Italy,2007,0.44189,8.16,45.4
Italy_2008,Italy,2008,0.44649,7.94,44.6
Italy_2009,Italy,2009,0.4753,7.06,42.1
Italy_2010,Italy,2010,0.47304,7.19,42.7
Italy_2011,Italy,2011,0.49155,6.95,42.9
Italy_2012,Italy,2012,0.5046,6.56,41.5
Italy_2013,Italy,2013,0.53122,6.06,40.3
Italy_2014,Italy,2014,0.55267,5.77,39.9
Italy_2015,Italy,2015,0.5462,5.88,40.2
Japan_2008,Japan,2008,0.32383,9.59,38.8
Japan_2009,Japan,2009,0.32472,9.05,36.6
Japan_2010,Japan,2010,0.32267,9.46,38.1
Japan_2011,Japan,2011,0.30989,9.85,38.1
Japan_2012,Japan,2012,0.30372,10.2,38.7
Japan_2013,Japan,2013,0.30739,10.3,39.6
Jordan_2008,Jordan,2008,0.3327,3.16,11.7
Jordan_2009,Jordan,2009,0.33914,3.1,11.7
Jordan_2010,Jordan,2010,0.35951,2.84,11.3
Kazakhstan_2000,Kazakhstan,2000,0.10561,8.95,10.3
Kazakhstan_2001,Kazakhstan,2001,0.12268,8.57,11.7
Kazakhstan_2002,Kazakhstan,2002,0.11626,9.76,12.8
Kazakhstan_2003,Kazakhstan,2003,0.11349,10.8,14
Kazakhstan_2004,Kazakhstan,2004,0.11756,11.2,15.2
Kazakhstan_2005,Kazakhstan,2005,0.11892,11.9,16.5
Kazakhstan_2006,Kazakhstan,2006,0.11552,13.3,18.1
Kazakhstan_2007,Kazakhstan,2007,0.12078,13.6,19.5
Kazakhstan_2008,Kazakhstan,2008,0.12428,13.4,19.8
Kazakhstan_2009,Kazakhstan,2009,0.12694,13,19.6
Kazakhstan_2010,Kazakhstan,2010,0.12008,14.5,20.8
Kazakhstan_2011,Kazakhstan,2011,0.13276,13.8,22
Kazakhstan_2012,Kazakhstan,2012,0.13465,14,22.7
Kazakhstan_2013,Kazakhstan,2013,0.13907,14.1,23.7
Kazakhstan_2014,Kazakhstan,2014,0.13608,14.8,24.4
Kazakhstan_2015,Kazakhstan,2015,0.13376,15,24.3
Kyrgyzstan_2000,Kyrgyzstan,2000,0.53205,0.936,3.08
Kyrgyzstan_2001,Kyrgyzstan,2001,0.63928,0.779,3.21
Kyrgyzstan_2002,Kyrgyzstan,2002,0.50507,0.986,3.18
Kyrgyzstan_2003,Kyrgyzstan,2003,0.46542,1.07,3.37
Kyrgyzstan_2004,Kyrgyzstan,2004,0.43304,1.15,3.56
Kyrgyzstan_2005,Kyrgyzstan,2005,0.45688,1.09,3.52
Kyrgyzstan_2006,Kyrgyzstan,2006,0.46981,1.06,3.59
Kyrgyzstan_2007,Kyrgyzstan,2007,0.39524,1.26,3.86
Kyrgyzstan_2008,Kyrgyzstan,2008,0.34583,1.44,4.14
Kyrgyzstan_2009,Kyrgyzstan,2009,0.39524,1.26,4.21
Kyrgyzstan_2010,Kyrgyzstan,2010,0.42564,1.17,4.14
Kyrgyzstan_2011,Kyrgyzstan,2011,0.3635,1.37,4.34
Kyrgyzstan_2012,Kyrgyzstan,2012,0.27978,1.78,4.26
