dmu,country,year,efficiencies,CO2,mean_years_in_school
Estonia_2003,Estonia,2003,0.13711,12.5,11.9
Estonia_2004,Estonia,2004,0.14949,12.7,12
Estonia_2005,Estonia,2005,0.16532,12.6,12.1
Estonia_2006,Estonia,2006,0.18588,12.2,12.2
Estonia_2007,Estonia,2007,0.15219,14.9,12.2
Estonia_2008,Estonia,2008,0.18438,13.3,12.3
Estonia_2009,Estonia,2009,0.24192,10.9,12.4
Estonia_2010,Estonia,2010,0.19731,14.3,12.5
Estonia_2011,Estonia,2011,0.19594,14.4,12.5
Estonia_2012,Estonia,2012,0.20747,13.6,12.5
Estonia_2013,Estonia,2013,0.20176,14.9,12.6
Estonia_2014,Estonia,2014,0.20876,14.4,12.6
Estonia_2015,Estonia,2015,0.2637,12.1,12.7
Finland_1990,Finland,1990,0.04368,11.4,7.46
Finland_1991,Finland,1991,0.04527,11,7.7
Finland_1992,Finland,1992,0.04611,10.8,7.9
Finland_1993,Finland,1993,0.04486,11.1,8.2
Finland_1994,Finland,1994,0.04261,12.1,8.4
Finland_1995,Finland,1995,0.04831,11.4,8.6
Finland_1996,Finland,1996,0.04686,12.5,8.8
Finland_1997,Finland,1997,0.04946,12.2,8.9
Finland_1998,Finland,1998,0.05399,11.5,9
Finland_1999,Finland,1999,0.05755,11.4,9.2
Finland_2000,Finland,2000,0.06124,11,9.3
Finland_2001,Finland,2001,0.0576,12,9.4
Finland_2002,Finland,2002,0.0567,12.5,9.5
Finland_2003,Finland,2003,0.05225,13.9,9.6
Finland_2004,Finland,2004,0.12984,13.2,11.9
Finland_2005,Finland,2005,0.17417,10.9,12
Finland_2006,Finland,2006,0.14604,13,12
Finland_2007,Finland,2007,0.15067,12.6,12
Finland_2008,Finland,2008,0.20615,11,12.2
Finland_2009,Finland,2009,0.21597,10.5,12.2
Finland_2010,Finland,2010,0.20436000000000001,12,12.3
Finland_2011,Finland,2011,0.23355,10.5,12.3
Finland_2012,Finland,2012,0.27845,9.47,12.4
Finland_2013,Finland,2013,0.2576,9.52,12.3
Finland_2014,Finland,2014,0.30205,8.73,12.4
France_1990,France,1990,0.07034,7.08,7.33
France_1991,France,1991,0.0664,7.5,7.5
France_1992,France,1992,0.06841,7.28,7.8
France_1993,France,1993,0.07217,6.9,8.1
France_1994,France,1994,0.07593,6.79,8.4
France_1995,France,1995,0.08515,6.88,8.8
France_1996,France,1996,0.08709,7.13,9
France_1997,France,1997,0.09399,6.98,9.2
France_1998,France,1998,0.09481,7.29,9.4
France_1999,France,1999,0.10102,7.19,9.6
France_2000,France,2000,0.10785,7.06,9.8
France_2001,France,2001,0.11303,7.09,10
France_2002,France,2002,0.11837,6.96,10.1
France_2003,France,2003,0.12055,7.02,10.2
France_2004,France,2004,0.12427,6.99,10.3
France_2005,France,2005,0.12748,6.99,10.4
France_2006,France,2006,0.13824,6.77,10.6
France_2007,France,2007,0.14608,6.56,10.7
France_2008,France,2008,0.14927,6.42,10.7
France_2009,France,2009,0.16025,6.12,10.8
France_2010,France,2010,0.16179,6.2,10.9
France_2011,France,2011,0.17355,5.78,10.9
France_2012,France,2012,0.17804,5.76,11
France_2013,France,2013,0.18615,5.75,11.2
France_2014,France,2014,0.21323,5.23,11.4
Germany_1991,Germany,1991,0.04714,12.8,8.9
Germany_1992,Germany,1992,0.05277,12.1,9.1
Germany_1993,Germany,1993,0.05661,11.9,9.3
Germany_1994,Germany,1994,0.0611,11.6,9.5
Germany_1995,Germany,1995,0.06413,11.6,9.7
Germany_1996,Germany,1996,0.06453,11.8,9.8
Germany_1997,Germany,1997,0.06969,11.5,10
Germany_1998,Germany,1998,0.07423,11.4,10.2
Germany_1999,Germany,1999,0.07897,11,10.3
Germany_2000,Germany,2000,0.09643,11.1,11.2
Germany_2001,Germany,2001,0.11899,11.3,11.7
Germany_2002,Germany,2002,0.18766,11.1,12.1
Germany_2003,Germany,2003,0.25419,11.1,12.5
Germany_2004,Germany,2004,0.32661,10.9,12.9
Germany_2005,Germany,2005,0.46566,10.6,13.3
Germany_2006,Germany,2006,0.60688,10.8,13.6
Germany_2007,Germany,2007,0.6849,10.5,13.7
Germany_2008,Germany,2008,0.6849,10.5,13.7
Germany_2009,Germany,2009,0.80211,9.76,13.8
Germany_2010,Germany,2010,0.76006,10.3,13.8
Germany_2011,Germany,2011,0.84657,10,13.9
Germany_2012,Germany,2012,0.90127,10.1,14
Germany_2013,Germany,2013,0.88376999999999994,10.3,14
Germany_2014,Germany,2014,0.93458,9.74,14
Germany_2015,Germany,2015,1,9.74,14.1
Greece_1995,Greece,1995,0.06148,8.1,8.2
Greece_1996,Greece,1996,0.06051,8.23,8.3
Greece_1997,Greece,1997,0.05784,8.61,8.3
Greece_1998,Greece,1998,0.05728,9,8.4
Greece_1999,Greece,1999,0.05997,8.89,8.5
Greece_2000,Greece,2000,0.05921,9.3,8.6
Greece_2001,Greece,2001,0.06186,9.47,8.8
Greece_2002,Greece,2002,0.06793,9.4,9.1
Greece_2003,Greece,2003,0.06923,9.73,9.3
Greece_2004,Greece,2004,0.07442,9.76,9.6
Greece_2005,Greece,2005,0.07465,10.2,9.8
Greece_2006,Greece,2006,0.07713,10.1,9.9
Greece_2007,Greece,2007,0.07781,10.3,10
Greece_2008,Greece,2008,0.08157,10.1,10.1
Greece_2009,Greece,2009,0.08645,9.53,10.1
Greece_2010,Greece,2010,0.09706,8.95,10.3
Greece_2011,Greece,2011,0.09939,8.74,10.3
Greece_2012,Greece,2012,0.10231,8.49,10.3
Greece_2013,Greece,2013,0.11694,7.62,10.4
Greece_2014,Greece,2014,0.12411,7.36,10.5
Greece_2015,Greece,2015,0.13294,7.04,10.6
Hungary_2004,Hungary,2004,0.1565,5.98,10.6
Hungary_2005,Hungary,2005,0.16719,6,10.9
Hungary_2006,Hungary,2006,0.17583,5.96,11.1
Hungary_2007,Hungary,2007,0.1868,5.85,11.3
Hungary_2008,Hungary,2008,0.19784,5.75,11.5
Hungary_2009,Hungary,2009,0.25808,5.21,11.7
Hungary_2010,Hungary,2010,0.32583,5.26,11.9
Hungary_2011,Hungary,2011,0.37298,5.09,12
Hungary_2012,Hungary,2012,0.47741,4.75,12.2
Hungary_2013,Hungary,2013,0.42566,4.46,12
Hungary_2014,Hungary,2014,0.34135,4.48,11.8
Hungary_2015,Hungary,2015,0.31992,4.78,11.8
Hungary_2016,Hungary,2016,0.35192,4.87,11.9
Iceland_2003,Iceland,2003,0.07322,10.4,9.8
Iceland_2004,Iceland,2004,0.0728,10.7,9.9
Iceland_2005,Iceland,2005,0.07935,10.1,10
Iceland_2006,Iceland,2006,0.08059,10.5,10.2
Iceland_2007,Iceland,2007,0.07553,11.5,10.3
Iceland_2008,Iceland,2008,0.07304,12.2,10.4
Iceland_2009,Iceland,2009,0.07741,11.8,10.5
Iceland_2010,Iceland,2010,0.08282,11.3,10.6
Iceland_2011,Iceland,2011,0.09496,10.8,11
Iceland_2012,Iceland,2012,0.10632,10.7,11.5
Iceland_2013,Iceland,2013,0.16017,10.7,11.9
Iceland_2014,Iceland,2014,0.21597,10.5,12.2
Iceland_2015,Iceland,2015,0.21193,10.7,12.2
Iceland_2016,Iceland,2016,0.25114,10.5,12.4
Ireland_1990,Ireland,1990,0.07987,9.38,9.73
Ireland_1991,Ireland,1991,0.0814,9.57,9.9
Ireland_1992,Ireland,1992,0.08454,9.48,10
Ireland_1993,Ireland,1993,0.08672,9.5,10.1
Ireland_1994,Ireland,1994,0.089,9.76,10.3
Ireland_1995,Ireland,1995,0.08928,9.98,10.4
Ireland_1996,Ireland,1996,0.08869,10.3,10.5
Ireland_1997,Ireland,1997,0.08829,10.6,10.6
Ireland_1998,Ireland,1998,0.08712,11,10.7
Ireland_1999,Ireland,1999,0.08603,11.4,10.8
Ireland_2000,Ireland,2000,0.08173,12,10.8
Ireland_2001,Ireland,2001,0.0827,12.4,11
Ireland_2002,Ireland,2002,0.09071,11.8,11.2
Ireland_2003,Ireland,2003,0.09697,11.5,11.4
Ireland_2004,Ireland,2004,0.10175,11.4,11.6
Ireland_2005,Ireland,2005,0.11592,11.6,11.7
Ireland_2006,Ireland,2006,0.13533,11.3,11.8
Ireland_2007,Ireland,2007,0.1558,11,11.9
Ireland_2008,Ireland,2008,0.17743,10.7,12
Ireland_2009,Ireland,2009,0.22208,9.38,12.1
Ireland_2010,Ireland,2010,0.24756,9.16,12.2
Ireland_2011,Ireland,2011,0.12115,8.28,10.9
Ireland_2012,Ireland,2012,0.13182,8.29,11.3
Ireland_2013,Ireland,2013,0.18973,8.06,11.8
Israel_1995,Israel,1995,0.12249,9.47,11.6
Israel_1996,Israel,1996,0.14036,9.58,11.7
Israel_1997,Israel,1997,0.15509,9.86,11.8
Israel_1998,Israel,1998,0.15541,9.84,11.8
Israel_1999,Israel,1999,0.18213,9.41,11.9
Israel_2000,Israel,2000,0.18985,10,12
Israel_2001,Israel,2001,0.2003,10.4,12.1
Israel_2002,Israel,2002,0.21654,9.62,12.1
Israel_2003,Israel,2003,0.22791,9.95,12.2
Israel_2004,Israel,2004,0.24703,9.18,12.2
Israel_2005,Israel,2005,0.28318,8.66,12.3
Israel_2006,Israel,2006,0.22375,9.31,12.1
Israel_2007,Israel,2007,0.30736,9.18,12.5
Israel_2008,Israel,2008,0.31023,9.69,12.6
Israel_2009,Israel,2009,0.33815,8.89,12.6
Israel_2010,Israel,2010,0.32324,9.3,12.6
Israel_2011,Israel,2011,0.34796,9.17,12.7
Israel_2012,Israel,2012,0.34338,9.83,12.8
Israel_2013,Israel,2013,0.40135,8.41,12.8
Israel_2014,Israel,2014,0.45178,7.88,12.9
Israel_2015,Israel,2015,0.47902,8.15,13
Italy_1990,Italy,1990,0.06459,7.71,7.29
Italy_1991,Italy,1991,0.06468,7.7,7.4
Italy_1992,Italy,1992,0.06501,7.66,7.5
Italy_1993,Italy,1993,0.06614,7.53,7.7
Italy_1994,Italy,1994,0.06703,7.43,7.8
Italy_1995,Italy,1995,0.06304,7.9,7.9
Italy_1996,Italy,1996,0.06393,7.79,8.1
Italy_1997,Italy,1997,0.06312,7.89,8.2
Italy_1998,Italy,1998,0.06141,8.11,8.3
Italy_1999,Italy,1999,0.06287,8.2,8.4
Italy_2000,Italy,2000,0.06635,8.3,8.6
Italy_2001,Italy,2001,0.06781,8.38,8.7
Italy_2002,Italy,2002,0.07007,8.36,8.8
Italy_2003,Italy,2003,0.07074,8.53,8.9
Italy_2004,Italy,2004,0.07477,8.54,9.1
Italy_2005,Italy,2005,0.07727,8.49,9.2
Italy_2006,Italy,2006,0.08058,8.36,9.3
Italy_2007,Italy,2007,0.0847,8.16,9.4
Italy_2008,Italy,2008,0.08926,7.94,9.5
Italy_2009,Italy,2009,0.10288,7.06,9.6
Italy_2010,Italy,2010,0.10346,7.19,9.7
Italy_2011,Italy,2011,0.10956,6.95,9.8
Italy_2012,Italy,2012,0.11875,6.56,9.9
Italy_2013,Italy,2013,0.14334,6.06,10.3
Italy_2014,Italy,2014,0.14278,5.77,10.1
Italy_2015,Italy,2015,0.14392,5.88,10.2
Japan_2008,Japan,2008,0.11629,9.59,11.4
Japan_2009,Japan,2009,0.12322,9.05,11.4
Japan_2010,Japan,2010,0.12025,9.46,11.5
Japan_2011,Japan,2011,0.15525,9.85,11.8
Japan_2012,Japan,2012,0.18612,10.2,12
Japan_2013,Japan,2013,0.22016,10.3,12.2
Jordan_2008,Jordan,2008,0.24096,3.16,9.8
Jordan_2009,Jordan,2009,0.25129,3.1,9.9
Jordan_2010,Jordan,2010,0.26811,2.84,9.8
Kazakhstan_2000,Kazakhstan,2000,0.10206,8.95,10.5
Kazakhstan_2001,Kazakhstan,2001,0.11182,8.57,10.7
Kazakhstan_2002,Kazakhstan,2002,0.10507,9.76,11
Kazakhstan_2003,Kazakhstan,2003,0.09911,10.8,11.2
Kazakhstan_2004,Kazakhstan,2004,0.10157,11.2,11.5
Kazakhstan_2005,Kazakhstan,2005,0.11299,11.9,11.7
Kazakhstan_2006,Kazakhstan,2006,0.1011,13.3,11.7
Kazakhstan_2007,Kazakhstan,2007,0.08529,13.6,11.6
Kazakhstan_2008,Kazakhstan,2008,0.08489,13.4,11.5
Kazakhstan_2009,Kazakhstan,2009,0.08751,13,11.5
Kazakhstan_2010,Kazakhstan,2010,0.07691,14.5,11.4
Kazakhstan_2011,Kazakhstan,2011,0.08243,13.8,11.5
Kazakhstan_2012,Kazakhstan,2012,0.08126,14,11.5
Kazakhstan_2013,Kazakhstan,2013,0.08227,14.1,11.6
Kazakhstan_2014,Kazakhstan,2014,0.09085,14.8,11.7
Kazakhstan_2015,Kazakhstan,2015,0.08964,15,11.7
Kyrgyzstan_2000,Kyrgyzstan,2000,0.8135,0.936,9.8
Kyrgyzstan_2001,Kyrgyzstan,2001,1,0.779,9.9
Kyrgyzstan_2002,Kyrgyzstan,2002,0.81279,0.986,10
Kyrgyzstan_2003,Kyrgyzstan,2003,0.74898,1.07,10
Kyrgyzstan_2004,Kyrgyzstan,2004,0.71637,1.15,10.1
Kyrgyzstan_2005,Kyrgyzstan,2005,0.77636,1.09,10.2
Kyrgyzstan_2006,Kyrgyzstan,2006,0.79834,1.06,10.2
Kyrgyzstan_2007,Kyrgyzstan,2007,0.6894,1.26,10.3
Kyrgyzstan_2008,Kyrgyzstan,2008,0.60323,1.44,10.3
Kyrgyzstan_2009,Kyrgyzstan,2009,0.70719,1.26,10.4
Kyrgyzstan_2010,Kyrgyzstan,2010,0.79990000000000006,1.17,10.6
Kyrgyzstan_2011,Kyrgyzstan,2011,0.68313,1.37,10.6
Kyrgyzstan_2012,Kyrgyzstan,2012,0.53837,1.78,10.7
