dmu,country,year,efficiencies,foreign_investment,income_share_20
Australia_2010,Australia,2010,0.01624,61.57,7.3
Australia_2011,Australia,2011,0.01583,63.19,7.325
Australia_2012,Australia,2012,0.01607,62.22,7.35
Australia_2013,Australia,2013,0.01614,61.96,7.375
Australia_2014,Australia,2014,0.01592,62.81,7.4
Australia_2015,Australia,2015,0.01614,61.97,7.4
Austria_1990,Austria,1990,0.44163,58.892,9.371428571428572
Austria_1991,Austria,1991,0.3067,58.707,9.028571428571428
Austria_1992,Austria,1992,0.1688,59.261,8.685714285714285
Austria_1993,Austria,1993,0.03385,59.091,8.342857142857143
Austria_1994,Austria,1994,0.0168,59.52,8
Austria_1995,Austria,1995,0.01688,59.257,7
Austria_1996,Austria,1996,0.01658,60.32,7.55
Austria_1997,Austria,1997,0.01674,59.75,8.1
Austria_1998,Austria,1998,0.0165,60.59,8.266666666666666
Austria_1999,Austria,1999,0.06868,59.87,8.433333333333334
Austria_2000,Austria,2000,0.1274,62.81,8.6
Austria_2001,Austria,2001,0.1177,61.38,8.566666666666666
Austria_2002,Austria,2002,0.11007,58.5645,8.533333333333333
Austria_2003,Austria,2003,0.09314,60.86,8.5
Austria_2004,Austria,2004,0.09517,59.56,8.5
Austria_2005,Austria,2005,0.15048,84.2,8.8
Austria_2006,Austria,2006,0.12987,61.62,8.6
Austria_2007,Austria,2007,0.01312,76.2,8
Austria_2008,Austria,2008,0.01668,59.96,8
Austria_2009,Austria,2009,0.01611,62.06,7.7
Austria_2010,Austria,2010,0.01891,52.89,8
Austria_2011,Austria,2011,0.01567,63.82,7.8
Austria_2012,Austria,2012,0.01673,59.77,7.8
Austria_2013,Austria,2013,0.01706,58.605,8.1
Austria_2014,Austria,2014,0.01698,58.887,8
Austria_2015,Austria,2015,0.01773,56.41,7.9
Austria_2016,Austria,2016,0.01954,51.19,7.7
Azerbaijan_1995,Azerbaijan,1995,0.01385,72.2,7.1
Azerbaijan_1996,Azerbaijan,1996,0.01279,78.2,7.1499999999999995
Azerbaijan_1997,Azerbaijan,1997,0.01155,86.6,7.2
Azerbaijan_1998,Azerbaijan,1998,0.01227,81.5,7.25
Azerbaijan_1999,Azerbaijan,1999,0.01437,69.6,7.3
Azerbaijan_2000,Azerbaijan,2000,0.0164,60.96,7.35
Azerbaijan_2001,Azerbaijan,2001,0.01372,72.9,7.4
Azerbaijan_2002,Azerbaijan,2002,1,91,10.9
Azerbaijan_2003,Azerbaijan,2003,0.39919,113.6,10.2
Azerbaijan_2004,Azerbaijan,2004,0.50503,112.9,10.7
Azerbaijan_2005,Azerbaijan,2005,0.6455,92.3,10.8
Belarus_1998,Belarus,1998,0.01671,59.83,7.9
Belarus_1999,Belarus,1999,0.01609,62.16,7.6
Belarus_2000,Belarus,2000,0.01683,59.433,7.9
Belarus_2001,Belarus,2001,0.01687,59.275,8.2
Belgium_1990,Belgium,1990,0.48344,62.42,9.55
Belgium_1991,Belgium,1991,0.4701,62.95,9.525
Belgium_1992,Belgium,1992,0.45821,63.31,9.5
Belgium_1993,Belgium,1993,0.34777,63.28,9.2
Belgium_1994,Belgium,1994,0.24209,61.98,8.9
Belgium_1995,Belgium,1995,0.12863,62.21,8.6
Belgium_1996,Belgium,1996,0.19941,63.54,8.8
Belgium_1997,Belgium,1997,0.27413,63.25,9
Belgium_1998,Belgium,1998,0.18832,67.28,8.8
Belgium_1999,Belgium,1999,0.07636,104.8,8.6
Belgium_2000,Belgium,2000,0.03473,96,8.4
Belgium_2001,Belgium,2001,0.04292,95.8,8.433333333333334
Belgium_2002,Belgium,2002,0.07465,65.51,8.466666666666667
Belgium_2003,Belgium,2003,0.08167,69.4,8.5
Belgium_2004,Belgium,2004,0.04723,70.6,8.4
Belgium_2005,Belgium,2005,0.15375,67.23,8.7
Belgium_2006,Belgium,2006,0.14179,72.9,8.7
Belgium_2007,Belgium,2007,0.10129,79,8.6
Belgium_2008,Belgium,2008,0.10846,95.3,8.7
Belgium_2009,Belgium,2009,0.07608,74.5,8.5
Belgium_2010,Belgium,2010,0.09459,84.6,8.6
Belgium_2011,Belgium,2011,0.08911,89.8,8.6
Belgium_2012,Belgium,2012,0.16978,60.88,8.7
Belgium_2013,Belgium,2013,0.1515,52.82,8.6
Belgium_2014,Belgium,2014,0.14377,55.66,8.6
Belgium_2015,Belgium,2015,0.14743,54.28,8.6
Bulgaria_2006,Bulgaria,2006,0.01229,81.4,5.7
Bulgaria_2007,Bulgaria,2007,0.01115,89.7,6.5
Bulgaria_2008,Bulgaria,2008,0.01292,77.4,6.9
Bulgaria_2009,Bulgaria,2009,0.01515,65.99,6.8
Bulgaria_2010,Bulgaria,2010,0.01609,62.14,6.3
Bulgaria_2011,Bulgaria,2011,0.01609,62.15,6.4
Bulgaria_2012,Bulgaria,2012,0.01618,61.79,6.2
Bulgaria_2013,Bulgaria,2013,0.01611,62.06,5.7
Bulgaria_2014,Bulgaria,2014,0.01655,60.42,6
Canada_1990,Canada,1990,0.01669,59.91,7.675
Canada_1991,Canada,1991,0.01693,59.076,7.7
Canada_1992,Canada,1992,0.01676,59.68,7.666666666666667
Canada_1993,Canada,1993,0.01689,59.224,7.633333333333333
Canada_1994,Canada,1994,0.01663,60.15,7.6
Canada_1995,Canada,1995,0.01646,60.76,7.533333333333333
Canada_1996,Canada,1996,0.01669,59.9,7.466666666666667
Canada_1997,Canada,1997,0.01644,60.82,7.4
Canada_1998,Canada,1998,0.01602,62.44,7.1
Canada_1999,Canada,1999,0.01599,62.55,7.1
Canada_2000,Canada,2000,0.01478,67.67,7.1
Canada_2001,Canada,2001,0.01604,62.34,7.074999999999999
Canada_2002,Canada,2002,0.0162,61.72,7.05
Canada_2003,Canada,2003,0.01687,59.283,7.025
Canada_2004,Canada,2004,0.01705,58.641,7
Canada_2005,Canada,2005,0.01648,60.68,7.066666666666666
Chile_1990,Chile,1990,0.01653,60.5,3.4
Chile_1991,Chile,1991,0.01648,60.67,3.5999999999999996
Chile_1992,Chile,1992,0.01652,60.54,3.8
Chile_1993,Chile,1993,0.0165,60.6,3.65
Chile_1994,Chile,1994,0.01587,63.03,3.5
Colombia_1992,Colombia,1992,0.01674,59.75,3.7
Colombia_1993,Colombia,1993,0.01668,59.94,3.375
Colombia_1994,Colombia,1994,0.01659,60.27,3.05
Costa Rica_1990,Costa Rica,1990,0.0163,61.35,3.8
Costa Rica_1991,Costa Rica,1991,0.0164,60.98,3.6
Costa Rica_1992,Costa Rica,1992,0.01636,61.14,4
Costa Rica_1993,Costa Rica,1993,0.01637,61.07,3.9
Costa Rica_1994,Costa Rica,1994,0.0163,61.34,4
Costa Rica_1995,Costa Rica,1995,0.01628,61.41,4
Croatia_2009,Croatia,2009,0.01578,63.37,6.9
Croatia_2010,Croatia,2010,0.01638,61.06,6.9
Croatia_2011,Croatia,2011,0.01653,60.48,6.9
Croatia_2012,Croatia,2012,0.01638,61.06,6.9
Croatia_2013,Croatia,2013,0.01662,60.16,7.1
Croatia_2014,Croatia,2014,0.01563,63.96,7.1
Croatia_2015,Croatia,2015,0.01707,58.589,7.3
Croatia_2016,Croatia,2016,0.01686,59.322,7.3
Cyprus_2004,Cyprus,2004,0.19505,64.96000000000001,8.8
Cyprus_2005,Cyprus,2005,0.23155,64.8,8.9
Cyprus_2006,Cyprus,2006,0.1868,67.83,8.8
Cyprus_2007,Cyprus,2007,0.15185,68.07,8.7
Cyprus_2008,Cyprus,2008,0.07792,102.7,8.6
Cyprus_2009,Cyprus,2009,0.01843,307.5,8.5
Cyprus_2010,Cyprus,2010,0.04458,179.5,8.6
Cyprus_2011,Cyprus,2011,0.01622,205.5,8.4
Cyprus_2012,Cyprus,2012,0.00295,338.5,8
Cyprus_2013,Cyprus,2013,0.00597,167.5,7.7
Cyprus_2014,Cyprus,2014,0.00355,281.5,7.6
Cyprus_2015,Cyprus,2015,0.00489,204.5,7.8
Cyprus_2016,Cyprus,2016,0.01009,99.1,8.2
Czechia_1993,Czechia,1993,0.83221,60.1,10.4
Czechia_1994,Czechia,1994,0.75154,60.34,10.2
Czechia_1995,Czechia,1995,0.64808,62.77,10
Czechia_1996,Czechia,1996,0.59396,60.63,9.8
Czechia_1997,Czechia,1997,0.57528,60.57,9.75
Czechia_1998,Czechia,1998,0.52588,64.03999999999999,9.7
Czechia_1999,Czechia,1999,0.47676,68.19,9.65
Czechia_2000,Czechia,2000,0.47083,66.57,9.6
Czechia_2001,Czechia,2001,0.45161,66.82,9.55
Czechia_2002,Czechia,2002,0.42165,68.8,9.5
Czechia_2003,Czechia,2003,0.38291,60.52,9.25
Czechia_2004,Czechia,2004,0.27151,63.86,9
Czechia_2005,Czechia,2005,0.35534,68.5,9.3
Czechia_2006,Czechia,2006,0.386,63.06,9.3
Czechia_2007,Czechia,2007,0.51213,65.76,9.7
Czechia_2008,Czechia,2008,0.57878,62.22,9.8
Czechia_2009,Czechia,2009,0.51349,61.04,9.6
Czechia_2010,Czechia,2010,0.42101,63.36,9.4
Czechia_2011,Czechia,2011,0.40353,60.32,9.3
Czechia_2012,Czechia,2012,0.49736,63.02,9.6
Czechia_2013,Czechia,2013,0.43038,61.98,9.4
Czechia_2014,Czechia,2014,0.54005,62.36,9.7
Czechia_2015,Czechia,2015,0.56692,59.404,9.7
Czechia_2016,Czechia,2016,0.63532,64.03,10
Denmark_1990,Denmark,1990,0.54413,59.319,9.64
Denmark_1991,Denmark,1991,0.5727,59.62,9.72
Denmark_1992,Denmark,1992,0.60866,59.165,9.8
Denmark_1993,Denmark,1993,0.7205,59.7,10.1
Denmark_1994,Denmark,1994,0.8105,61.71,10.4
Denmark_1995,Denmark,1995,0.93873,60.74,10.7
Denmark_1996,Denmark,1996,0.94409,58.912,10.64
Denmark_1997,Denmark,1997,0.90197,60.11,10.58
Denmark_1998,Denmark,1998,0.84819,62.27,10.52
Denmark_1999,Denmark,1999,0.75646,67.97,10.46
Denmark_2000,Denmark,2000,0.62209,80.4,10.4
Denmark_2001,Denmark,2001,0.70701,64.14,10.2
Denmark_2002,Denmark,2002,0.6671,60.98,10
Denmark_2003,Denmark,2003,0.60992,59.043,9.8
Denmark_2004,Denmark,2004,0.69719,55,9.9
Denmark_2005,Denmark,2005,0.56836,63.36,9.8
Denmark_2006,Denmark,2006,0.60684,59.343,9.8
Denmark_2007,Denmark,2007,0.57896,62.2,9.8
Denmark_2008,Denmark,2008,0.60913,59.12,9.8
Denmark_2009,Denmark,2009,0.36881,59.67,9.2
Denmark_2010,Denmark,2010,0.44377,54.85,9.3
Denmark_2011,Denmark,2011,0.42721,62.44,9.4
Denmark_2012,Denmark,2012,0.45497,53.5,9.3
Denmark_2013,Denmark,2013,0.33515,58.698,9.1
Denmark_2014,Denmark,2014,0.32592,60.36,9.1
Denmark_2015,Denmark,2015,0.45127,59.111,9.4
El Salvador_1991,El Salvador,1991,0.01696,58.979,2.6
El Salvador_1992,El Salvador,1992,0.01702,58.763,2.875
El Salvador_1993,El Salvador,1993,0.01702,58.746,3.1500000000000004
Estonia_2003,Estonia,2003,0.01449,69,6.1
Estonia_2004,Estonia,2004,0.01483,67.45,7.1
Estonia_2005,Estonia,2005,0.01247,80.2,7.4
Estonia_2006,Estonia,2006,0.01453,68.8,7.5
Estonia_2007,Estonia,2007,0.01389,72,8
Estonia_2008,Estonia,2008,0.01501,66.62,7.8
Estonia_2009,Estonia,2009,0.0147,68.01,7.7
Estonia_2010,Estonia,2010,0.01393,71.8,7.2
Estonia_2011,Estonia,2011,0.01579,63.32,7.3
Estonia_2012,Estonia,2012,0.01509,66.26,7.3
Estonia_2013,Estonia,2013,0.01591,62.87,6.8
Estonia_2014,Estonia,2014,0.01534,65.19,7
Estonia_2015,Estonia,2015,0.01806,55.37,7.5
Finland_1990,Finland,1990,0.97508,59.074,10.725
Finland_1991,Finland,1991,0.97772,58.318,10.7
Finland_1992,Finland,1992,0.97876,58.852,10.725
Finland_1993,Finland,1993,0.97843,59.468,10.75
Finland_1994,Finland,1994,1,58.769,10.775
Finland_1995,Finland,1995,1,59.58,10.8
Finland_1996,Finland,1996,0.90995,59.07,10.56
Finland_1997,Finland,1997,0.79677,60.43,10.32
Finland_1998,Finland,1998,0.62717,67.84,10.08
Finland_1999,Finland,1999,0.57493,64.25999999999999,9.84
Finland_2000,Finland,2000,0.45294,69.2,9.6
Finland_2001,Finland,2001,0.4884,60.99,9.533333333333331
Finland_2002,Finland,2002,0.43926,64.27,9.466666666666669
Finland_2003,Finland,2003,0.43038,61.98,9.4
Finland_2004,Finland,2004,0.43073,61.93,9.4
Finland_2005,Finland,2005,0.45469,63.8,9.5
Finland_2006,Finland,2006,0.36291,60.64,9.2
Finland_2007,Finland,2007,0.32812,67.07,9.2
Finland_2008,Finland,2008,0.37281,65.29,9.3
Finland_2009,Finland,2009,0.4424,55.02,9.3
Finland_2010,Finland,2010,0.34711,63.4,9.2
Finland_2011,Finland,2011,0.43219,56.32,9.3
Finland_2012,Finland,2012,0.44157,60.41,9.4
Finland_2013,Finland,2013,0.42937,56.69,9.3
Finland_2014,Finland,2014,0.41115,64.88,9.4
France_1990,France,1990,0.0168,59.54,7.6
France_1991,France,1991,0.01675,59.69,7.7
France_1992,France,1992,0.01665,60.06,7.8
France_1993,France,1993,0.01665,60.07,7.9
France_1994,France,1994,0.01677,59.63,8
France_1995,France,1995,0.01667,59.98,8.033333333333333
France_1996,France,1996,0.0167,59.87,8.066666666666666
France_1997,France,1997,0.01664,60.09,8.1
France_1998,France,1998,0.01654,60.46,8.133333333333333
France_1999,France,1999,0.01624,61.58,8.166666666666666
France_2000,France,2000,0.01625,61.53,8.2
France_2001,France,2001,0.01609,62.14,8.2
France_2002,France,2002,0.01615,61.93,8.2
France_2003,France,2003,0.01645,60.8,8.2
France_2004,France,2004,0.0554,60.18,8.4
France_2005,France,2005,0.12828,62.38,8.6
France_2006,France,2006,0.09157,61.9,8.5
France_2007,France,2007,0.01622,61.65,8.1
France_2008,France,2008,0.01644,60.82,7.9
France_2009,France,2009,0.0169,59.182,7.7
France_2010,France,2010,0.01668,59.97,7.7
France_2011,France,2011,0.01666,60.04,7.8
France_2012,France,2012,0.01674,59.73,7.8
France_2013,France,2013,0.01677,59.62,8
France_2014,France,2014,0.01703,58.703,8
Germany_1991,Germany,1991,0.21565,58.754,8.8
Germany_1992,Germany,1992,0.25693,58.4,8.9
Germany_1993,Germany,1993,0.29627,58.5232,9
Germany_1994,Germany,1994,0.09633,58.841,8.5
Germany_1995,Germany,1995,0.13571,58.966,8.6
Germany_1996,Germany,1996,0.25378,59.124,8.9
Germany_1997,Germany,1997,0.25285,59.343,8.9
Germany_1998,Germany,1998,0.25083,59.82,8.9
Germany_1999,Germany,1999,0.16559,62.42,8.7
Germany_2000,Germany,2000,0.17796,71.2,8.8
Germany_2001,Germany,2001,0.13027,61.43,8.6
Germany_2002,Germany,2002,0.13125,60.97,8.6
Germany_2003,Germany,2003,0.09275,61.11,8.5
Germany_2004,Germany,2004,0.09811,57.775,8.5
Germany_2005,Germany,2005,0.0165,60.6,8.2
Germany_2006,Germany,2006,0.01628,61.42,8.3
Germany_2007,Germany,2007,0.01667,59.98,8.3
Germany_2008,Germany,2008,0.0562,59.327,8.4
Germany_2009,Germany,2009,0.01662,60.16,8.3
Germany_2010,Germany,2010,0.05463,61.03,8.4
Germany_2011,Germany,2011,0.05457,61.1,8.4
Germany_2012,Germany,2012,0.01657,60.36,8.2
Germany_2013,Germany,2013,0.01658,60.3,8.1
Germany_2014,Germany,2014,0.01695,59.001,8.1
Germany_2015,Germany,2015,0.01657,60.36,7.9
Greece_1995,Greece,1995,0.01687,59.269,5.9
Greece_1996,Greece,1996,0.01688,59.225,6.08
Greece_1997,Greece,1997,0.0169,59.187,6.26
Greece_1998,Greece,1998,0.01708,58.5493,6.44
Greece_1999,Greece,1999,0.01708,58.558,6.62
Greece_2000,Greece,2000,0.0171,58.49372,6.8
Greece_2001,Greece,2001,0.01709,58.50147,6.933333333333334
Greece_2002,Greece,2002,0.01709,58.5221,7.066666666666666
Greece_2003,Greece,2003,0.01689,59.196,7.2
Greece_2004,Greece,2004,0.01684,59.391,7.1
Greece_2005,Greece,2005,0.01701,58.778,6.9
Greece_2006,Greece,2006,0.01653,60.48,6.7
Greece_2007,Greece,2007,0.01692,59.114,7
Greece_2008,Greece,2008,0.01664,60.11,7.1
Greece_2009,Greece,2009,0.01685,59.335,7
Greece_2010,Greece,2010,0.01704,58.679,6.7
Greece_2011,Greece,2011,0.01698,58.886,6.1
Greece_2012,Greece,2012,0.0169,59.187,5.8
Greece_2013,Greece,2013,0.01674,59.73,5.9
Greece_2014,Greece,2014,0.01676,59.65,5.9
Greece_2015,Greece,2015,0.01691,59.148,5.8
Hungary_2004,Hungary,2004,0.01591,62.86,8.3
Hungary_2005,Hungary,2005,0.01208,82.8,7.1
Hungary_2006,Hungary,2006,0.13856,74.6,8.7
Hungary_2007,Hungary,2007,0.09492,108.9,8.7
Hungary_2008,Hungary,2008,0.11965,105.9,8.8
Hungary_2009,Hungary,2009,0.22477,56.37,8.8
Hungary_2010,Hungary,2010,0.02336,42.8,8.2
Hungary_2011,Hungary,2011,0.01514,66.06,8.1
Hungary_2012,Hungary,2012,0.01495,66.89,7.6
Hungary_2013,Hungary,2013,0.0179,55.86,7.5
Hungary_2014,Hungary,2014,0.01476,67.76,7.6
Hungary_2015,Hungary,2015,0.01842,54.29,7.8
Hungary_2016,Hungary,2016,0.00887,112.7,8
Iceland_2003,Iceland,2003,0.47223,61.43,9.5
Iceland_2004,Iceland,2004,0.41706,63.96,9.4
Iceland_2005,Iceland,2005,0.28618,76.9,9.2
Iceland_2006,Iceland,2006,0.18593,80.7,8.9
Iceland_2007,Iceland,2007,0.2181,90.2,9.1
Iceland_2008,Iceland,2008,0.12281,65.16,8.6
Iceland_2009,Iceland,2009,0.33353,58.983,9.1
Iceland_2010,Iceland,2010,0.48052,60.37,9.5
Iceland_2011,Iceland,2011,0.37009,65.77,9.3
Iceland_2012,Iceland,2012,0.37196,65.44,9.3
Iceland_2013,Iceland,2013,0.62422,61.43,9.9
Iceland_2014,Iceland,2014,0.42483,62.79,9.4
Iceland_2015,Iceland,2015,0.44602,65.04,9.5
Iceland_2016,Iceland,2016,0.49981,53.37,9.4
Ireland_1990,Ireland,1990,0.01673,59.76,7
Ireland_1991,Ireland,1991,0.01633,61.23,7
Ireland_1992,Ireland,1992,0.01636,61.11,7
Ireland_1993,Ireland,1993,0.01651,60.56,7
Ireland_1994,Ireland,1994,0.01667,60,7
Ireland_1995,Ireland,1995,0.0165,60.59,6.8
Ireland_1996,Ireland,1996,0.01614,61.95,7.1
Ireland_1997,Ireland,1997,0.01641,60.95,7.275
Ireland_1998,Ireland,1998,0.01463,68.33,7.449999999999999
Ireland_1999,Ireland,1999,0.013,76.9,7.625
Ireland_2000,Ireland,2000,0.01188,84.2,7.8
Ireland_2001,Ireland,2001,0.01485,67.33,7.699999999999999
Ireland_2002,Ireland,2002,0.0123,81.3,7.6
Ireland_2003,Ireland,2003,0.01383,72.3,7.7
Ireland_2004,Ireland,2004,0.01885,53.04,7.6
Ireland_2005,Ireland,2005,0.01239,80.7,7.7
Ireland_2006,Ireland,2006,0.0147,68.01,7.9
Ireland_2007,Ireland,2007,0.01239,80.7,8.2
Ireland_2008,Ireland,2008,0.01494,66.95,8.2
Ireland_2009,Ireland,2009,0.0123,81.3,7.7
Ireland_2010,Ireland,2010,0.01325,75.5,7.6
Ireland_2011,Ireland,2011,0.01462,68.42,7.4
Ireland_2012,Ireland,2012,0.01186,84.3,7.5
Ireland_2013,Ireland,2013,0.01134,88.2,7.3
Israel_1995,Israel,1995,0.01671,59.84,6.42
Israel_1996,Israel,1996,0.01673,59.77,6.26
Israel_1997,Israel,1997,0.01669,59.92,6.1
Israel_1998,Israel,1998,0.01667,60,6.05
Israel_1999,Israel,1999,0.01612,62.04,6
Israel_2000,Israel,2000,0.01548,64.58,5.95
Israel_2001,Israel,2001,0.01671,59.85,5.9
Israel_2002,Israel,2002,0.01672,59.81,5.5
Israel_2003,Israel,2003,0.01636,61.11,5.2
Israel_2004,Israel,2004,0.01648,60.67,4.8
Israel_2005,Israel,2005,0.01616,61.88,4.8
Israel_2006,Israel,2006,0.01474,67.84,4.8
Israel_2007,Israel,2007,0.01577,63.41,5
Israel_2008,Israel,2008,0.01581,63.24,4.8
Israel_2009,Israel,2009,0.01647,60.72,4.6
Israel_2010,Israel,2010,0.01627,61.48,4.7
Israel_2011,Israel,2011,0.01618,61.8,4.8
Israel_2012,Israel,2012,0.01613,61.99,4.7
Israel_2013,Israel,2013,0.01599,62.53,5
Israel_2014,Israel,2014,0.01654,60.45,5
Israel_2015,Israel,2015,0.01606,62.28,5
Italy_1990,Italy,1990,0.01694,59.045,7.7
Italy_1991,Italy,1991,0.01704,58.693,7.7
Italy_1992,Italy,1992,0.01703,58.736,6.9
Italy_1993,Italy,1993,0.01699,58.851,6.1
Italy_1994,Italy,1994,0.01704,58.701,6.199999999999999
Italy_1995,Italy,1995,0.01697,58.912,6.3
Italy_1996,Italy,1996,0.01702,58.77,6.166666666666667
Italy_1997,Italy,1997,0.01701,58.797,6.033333333333333
Italy_1998,Italy,1998,0.01703,58.708,5.9
Italy_1999,Italy,1999,0.01693,59.054,6.1
Italy_2000,Italy,2000,0.01676,59.65,6.3
Italy_2001,Italy,2001,0.01673,59.77,6.433333333333334
Italy_2002,Italy,2002,0.01671,59.85,6.566666666666666
Italy_2003,Italy,2003,0.01674,59.74,6.7
Italy_2004,Italy,2004,0.01678,59.61,6.8
Italy_2005,Italy,2005,0.01653,60.48,6.8
Italy_2006,Italy,2006,0.01628,61.42,6.9
Italy_2007,Italy,2007,0.01627,61.48,7.1
Italy_2008,Italy,2008,0.01721,58.106,6.9
Italy_2009,Italy,2009,0.01688,59.255,6.7
Italy_2010,Italy,2010,0.01696,58.965,6.4
Italy_2011,Italy,2011,0.01667,60,6.4
Italy_2012,Italy,2012,0.01709,58.50167,6.3
Italy_2013,Italy,2013,0.01683,59.412,6.2
Italy_2014,Italy,2014,0.01687,59.288,6.2
Italy_2015,Italy,2015,0.01689,59.224,5.9
Japan_2008,Japan,2008,0.01695,58.982,6.4
Japan_2009,Japan,2009,0.01703,58.731,7.3
Japan_2010,Japan,2010,0.01706,58.629,8.2
Japan_2011,Japan,2011,0.0171,58.4863,8.033333333333333
Japan_2012,Japan,2012,0.01709,58.50872,7.866666666666666
Japan_2013,Japan,2013,0.01703,58.704,7.7
Jordan_2008,Jordan,2008,0.04696,71,8.4
Jordan_2009,Jordan,2009,0.01463,68.33,8.3
Jordan_2010,Jordan,2010,0.01545,64.72,8.2
Kazakhstan_2000,Kazakhstan,2000,0.01515,65.99,6.74
Kazakhstan_2001,Kazakhstan,2001,0.01404,71.2,6.7
Kazakhstan_2002,Kazakhstan,2002,0.01449,69,7.3
Kazakhstan_2003,Kazakhstan,2003,0.01503,66.55,7.5
Kazakhstan_2004,Kazakhstan,2004,0.01399,71.5,8.2
Kazakhstan_2005,Kazakhstan,2005,0.01588,62.96,5.9
Kazakhstan_2006,Kazakhstan,2006,0.22098,67.9,8.9
Kazakhstan_2007,Kazakhstan,2007,0.21466,69.9,8.9
Kazakhstan_2008,Kazakhstan,2008,0.40801,71.1,9.5
Kazakhstan_2009,Kazakhstan,2009,0.37624,70.9,9.4
Kazakhstan_2010,Kazakhstan,2010,0.45655,63.54,9.5
Kazakhstan_2011,Kazakhstan,2011,0.44194,65.64,9.5
Kazakhstan_2012,Kazakhstan,2012,0.41001,65.06,9.4
Kazakhstan_2013,Kazakhstan,2013,0.57407,62.73,9.8
Kazakhstan_2014,Kazakhstan,2014,0.62048,61.8,9.9
Kazakhstan_2015,Kazakhstan,2015,0.65538,62.07,10
Kyrgyzstan_2000,Kyrgyzstan,2000,0.13719,58.328,8.6
Kyrgyzstan_2001,Kyrgyzstan,2001,0.21538,58.828,8.8
Kyrgyzstan_2002,Kyrgyzstan,2002,0.13612,58.79,8.6
Kyrgyzstan_2003,Kyrgyzstan,2003,0.39989,60.87,9.3
Kyrgyzstan_2004,Kyrgyzstan,2004,0.01505,66.43,7.7
Kyrgyzstan_2005,Kyrgyzstan,2005,0.05536,60.23,8.4
Kyrgyzstan_2006,Kyrgyzstan,2006,0.0154,64.92,7.3
