dmu,country,year,efficiencies,foreign_investment,life_expectancy
Colombia_1992,Colombia,1992,0.01674,59.75,71.1
Colombia_1993,Colombia,1993,0.01668,59.94,71.7
Colombia_1994,Colombia,1994,0.01659,60.27,72.1
Costa Rica_1990,Costa Rica,1990,0.0163,61.35,76.9
Costa Rica_1991,Costa Rica,1991,0.0164,60.98,76.9
Costa Rica_1992,Costa Rica,1992,0.01636,61.14,76.9
Costa Rica_1993,Costa Rica,1993,0.01637,61.07,77.1
Costa Rica_1994,Costa Rica,1994,0.0163,61.34,76.8
Costa Rica_1995,Costa Rica,1995,0.01628,61.41,76.5
Croatia_2009,Croatia,2009,0.01578,63.37,76.5
Croatia_2010,Croatia,2010,0.01638,61.06,76.8
Croatia_2011,Croatia,2011,0.01653,60.48,77.1
Croatia_2012,Croatia,2012,0.01638,61.06,77.4
Croatia_2013,Croatia,2013,0.01662,60.16,77.8
Croatia_2014,Croatia,2014,0.01563,63.96,77.9
Croatia_2015,Croatia,2015,0.01707,58.589,77.7
Croatia_2016,Croatia,2016,0.01686,59.322,78.4
Cyprus_2004,Cyprus,2004,0.01539,64.96000000000001,77.9
Cyprus_2005,Cyprus,2005,0.01543,64.8,77.9
Cyprus_2006,Cyprus,2006,0.01474,67.83,78.2
Cyprus_2007,Cyprus,2007,0.01469,68.07,78.3
Cyprus_2008,Cyprus,2008,0.00974,102.7,78.8
Cyprus_2009,Cyprus,2009,0.00325,307.5,79.1
Cyprus_2010,Cyprus,2010,0.00557,179.5,79.5
Cyprus_2011,Cyprus,2011,0.00487,205.5,79.8
Cyprus_2012,Cyprus,2012,0.00295,338.5,80.1
Cyprus_2013,Cyprus,2013,0.01466,167.5,80.3
Cyprus_2014,Cyprus,2014,0.01389,281.5,80.4
Cyprus_2015,Cyprus,2015,0.02623,204.5,80.5
Cyprus_2016,Cyprus,2016,0.08349,99.1,80.7
Czechia_1993,Czechia,1993,0.01664,60.1,73
Czechia_1994,Czechia,1994,0.01657,60.34,73.2
Czechia_1995,Czechia,1995,0.01593,62.77,73.4
Czechia_1996,Czechia,1996,0.01649,60.63,74
Czechia_1997,Czechia,1997,0.01651,60.57,74.1
Czechia_1998,Czechia,1998,0.01562,64.03999999999999,74.7
Czechia_1999,Czechia,1999,0.01466,68.19,75
Czechia_2000,Czechia,2000,0.01502,66.57,75.2
Czechia_2001,Czechia,2001,0.01497,66.82,75.5
Czechia_2002,Czechia,2002,0.01453,68.8,75.7
Czechia_2003,Czechia,2003,0.01652,60.52,75.6
Czechia_2004,Czechia,2004,0.01566,63.86,76.1
Czechia_2005,Czechia,2005,0.0146,68.5,76.4
Czechia_2006,Czechia,2006,0.01586,63.06,77
Czechia_2007,Czechia,2007,0.01521,65.76,77.2
Czechia_2008,Czechia,2008,0.01607,62.22,77.3
Czechia_2009,Czechia,2009,0.01638,61.04,77.6
Czechia_2010,Czechia,2010,0.01578,63.36,77.8
Czechia_2011,Czechia,2011,0.01658,60.32,78
Czechia_2012,Czechia,2012,0.01587,63.02,78.3
Czechia_2013,Czechia,2013,0.01613,61.98,78.5
Czechia_2014,Czechia,2014,0.01604,62.36,79
Czechia_2015,Czechia,2015,0.01683,59.404,79
Czechia_2016,Czechia,2016,0.01562,64.03,79.2
Denmark_1990,Denmark,1990,0.01686,59.319,75.2
Denmark_1991,Denmark,1991,0.01677,59.62,75.4
Denmark_1992,Denmark,1992,0.0169,59.165,75.5
Denmark_1993,Denmark,1993,0.01675,59.7,75.5
Denmark_1994,Denmark,1994,0.0162,61.71,75.5
Denmark_1995,Denmark,1995,0.01646,60.74,75.6
Denmark_1996,Denmark,1996,0.01697,58.912,75.9
Denmark_1997,Denmark,1997,0.01664,60.11,76.3
Denmark_1998,Denmark,1998,0.01606,62.27,76.7
Denmark_1999,Denmark,1999,0.01471,67.97,76.7
Denmark_2000,Denmark,2000,0.01244,80.4,77.2
Denmark_2001,Denmark,2001,0.01559,64.14,77.3
Denmark_2002,Denmark,2002,0.0164,60.98,77.4
Denmark_2003,Denmark,2003,0.01694,59.043,77.7
Denmark_2004,Denmark,2004,0.01818,55,78
Denmark_2005,Denmark,2005,0.01578,63.36,78.3
Denmark_2006,Denmark,2006,0.01685,59.343,78.5
Denmark_2007,Denmark,2007,0.01608,62.2,78.7
Denmark_2008,Denmark,2008,0.01691,59.12,79
Denmark_2009,Denmark,2009,0.01676,59.67,79.2
Denmark_2010,Denmark,2010,0.01823,54.85,79.5
Denmark_2011,Denmark,2011,0.01602,62.44,79.9
Denmark_2012,Denmark,2012,0.04588,53.5,80.3
Denmark_2013,Denmark,2013,0.09139,58.698,80.5
Denmark_2014,Denmark,2014,0.16117,60.36,80.8
Denmark_2015,Denmark,2015,0.2138,59.111,81
El Salvador_1991,El Salvador,1991,0.01696,58.979,70.1
El Salvador_1992,El Salvador,1992,0.01702,58.763,70.8
El Salvador_1993,El Salvador,1993,0.01702,58.746,70.9
Estonia_2003,Estonia,2003,0.01449,69,72.1
Estonia_2004,Estonia,2004,0.01483,67.45,72.5
Estonia_2005,Estonia,2005,0.01247,80.2,73
Estonia_2006,Estonia,2006,0.01453,68.8,73.3
Estonia_2007,Estonia,2007,0.01389,72,73.3
Estonia_2008,Estonia,2008,0.01501,66.62,74.4
Estonia_2009,Estonia,2009,0.0147,68.01,75.2
Estonia_2010,Estonia,2010,0.01393,71.8,76.3
Estonia_2011,Estonia,2011,0.01579,63.32,76.3
Estonia_2012,Estonia,2012,0.01509,66.26,76.5
Estonia_2013,Estonia,2013,0.01591,62.87,77.2
Estonia_2014,Estonia,2014,0.01534,65.19,77.3
Estonia_2015,Estonia,2015,0.01806,55.37,77.8
Finland_1990,Finland,1990,0.01693,59.074,75.4
Finland_1991,Finland,1991,0.01715,58.318,75.7
Finland_1992,Finland,1992,0.01699,58.852,76
Finland_1993,Finland,1993,0.01682,59.468,76.3
Finland_1994,Finland,1994,0.01702,58.769,76.8
Finland_1995,Finland,1995,0.01678,59.58,76.9
Finland_1996,Finland,1996,0.01693,59.07,77.2
Finland_1997,Finland,1997,0.01655,60.43,77.3
Finland_1998,Finland,1998,0.01474,67.84,77.6
Finland_1999,Finland,1999,0.01556,64.25999999999999,77.8
Finland_2000,Finland,2000,0.01445,69.2,78
Finland_2001,Finland,2001,0.0164,60.99,78.4
Finland_2002,Finland,2002,0.01556,64.27,78.6
Finland_2003,Finland,2003,0.01613,61.98,78.8
Finland_2004,Finland,2004,0.01615,61.93,79
Finland_2005,Finland,2005,0.01567,63.8,79.3
Finland_2006,Finland,2006,0.01649,60.64,79.6
Finland_2007,Finland,2007,0.01491,67.07,79.7
Finland_2008,Finland,2008,0.01532,65.29,80
Finland_2009,Finland,2009,0.01818,55.02,80.2
Finland_2010,Finland,2010,0.06166,63.4,80.4
Finland_2011,Finland,2011,0.1469,56.32,80.7
Finland_2012,Finland,2012,0.18512,60.41,80.9
Finland_2013,Finland,2013,0.27425,56.69,81.2
Finland_2014,Finland,2014,0.28447,64.88,81.4
France_1990,France,1990,0.0168,59.54,77.2
France_1991,France,1991,0.01675,59.69,77.4
France_1992,France,1992,0.01665,60.06,77.6
France_1993,France,1993,0.01665,60.07,77.8
France_1994,France,1994,0.01677,59.63,78
France_1995,France,1995,0.01667,59.98,78.2
France_1996,France,1996,0.0167,59.87,78.4
France_1997,France,1997,0.01664,60.09,78.7
France_1998,France,1998,0.01654,60.46,78.8
France_1999,France,1999,0.01624,61.58,78.9
France_2000,France,2000,0.01625,61.53,79.2
France_2001,France,2001,0.01609,62.14,79.3
France_2002,France,2002,0.01615,61.93,79.5
France_2003,France,2003,0.01645,60.8,79.7
France_2004,France,2004,0.04079,60.18,80.3
France_2005,France,2005,0.10931,62.38,80.6
France_2006,France,2006,0.15716,61.9,80.8
France_2007,France,2007,0.22859,61.65,81.1
France_2008,France,2008,0.25563,60.82,81.2
France_2009,France,2009,0.31186,59.182,81.4
France_2010,France,2010,0.35628,59.97,81.6
France_2011,France,2011,0.40432,60.04,81.8
France_2012,France,2012,0.45513,59.73,82
France_2013,France,2013,0.52917,59.62,82.3
France_2014,France,2014,0.61178,58.703,82.6
Germany_1991,Germany,1991,0.01702,58.754,75.8
Germany_1992,Germany,1992,0.01712,58.4,76.2
Germany_1993,Germany,1993,0.01709,58.5232,76.3
Germany_1994,Germany,1994,0.01699,58.841,76.6
Germany_1995,Germany,1995,0.01696,58.966,76.9
Germany_1996,Germany,1996,0.01691,59.124,77.1
Germany_1997,Germany,1997,0.01685,59.343,77.5
Germany_1998,Germany,1998,0.01672,59.82,77.8
Germany_1999,Germany,1999,0.01602,62.42,78.1
Germany_2000,Germany,2000,0.01404,71.2,78.4
Germany_2001,Germany,2001,0.01628,61.43,78.7
Germany_2002,Germany,2002,0.0164,60.97,78.8
Germany_2003,Germany,2003,0.01636,61.11,78.9
Germany_2004,Germany,2004,0.01731,57.775,79.3
Germany_2005,Germany,2005,0.0165,60.6,79.6
Germany_2006,Germany,2006,0.01628,61.42,79.9
Germany_2007,Germany,2007,0.01667,59.98,80
Germany_2008,Germany,2008,0.01686,59.327,80.2
Germany_2009,Germany,2009,0.0408,60.16,80.3
Germany_2010,Germany,2010,0.08789,61.03,80.5
Germany_2011,Germany,2011,0.13541,61.1,80.7
Germany_2012,Germany,2012,0.16117,60.36,80.8
Germany_2013,Germany,2013,0.16133,60.3,80.8
Germany_2014,Germany,2014,0.2142,59.001,81
Germany_2015,Germany,2015,0.18527,60.36,80.9
Greece_1995,Greece,1995,0.01687,59.269,77.8
Greece_1996,Greece,1996,0.01688,59.225,77.9
Greece_1997,Greece,1997,0.0169,59.187,78.1
Greece_1998,Greece,1998,0.01708,58.5493,78.2
Greece_1999,Greece,1999,0.01708,58.558,78.2
Greece_2000,Greece,2000,0.0171,58.49372,78.4
Greece_2001,Greece,2001,0.01709,58.50147,78.7
Greece_2002,Greece,2002,0.01709,58.5221,78.9
Greece_2003,Greece,2003,0.01689,59.196,79.1
Greece_2004,Greece,2004,0.01684,59.391,79.2
Greece_2005,Greece,2005,0.01701,58.778,79.4
Greece_2006,Greece,2006,0.01653,60.48,79.7
Greece_2007,Greece,2007,0.01692,59.114,79.6
Greece_2008,Greece,2008,0.01664,60.11,80
Greece_2009,Greece,2009,0.01685,59.335,80.2
Greece_2010,Greece,2010,0.06662,58.679,80.4
Greece_2011,Greece,2011,0.09109,58.886,80.5
Greece_2012,Greece,2012,0.11521,59.187,80.6
Greece_2013,Greece,2013,0.18723,59.73,80.9
Greece_2014,Greece,2014,0.21187,59.65,81
Greece_2015,Greece,2015,0.18907,59.148,80.9
Hungary_2004,Hungary,2004,0.01591,62.86,73.1
Hungary_2005,Hungary,2005,0.01208,82.8,73.1
Hungary_2006,Hungary,2006,0.0134,74.6,73.5
Hungary_2007,Hungary,2007,0.00918,108.9,73.6
Hungary_2008,Hungary,2008,0.00944,105.9,74.2
Hungary_2009,Hungary,2009,0.01774,56.37,74.4
Hungary_2010,Hungary,2010,0.02336,42.8,74.8
Hungary_2011,Hungary,2011,0.01514,66.06,75.1
Hungary_2012,Hungary,2012,0.01495,66.89,75.4
Hungary_2013,Hungary,2013,0.0179,55.86,75.9
Hungary_2014,Hungary,2014,0.01476,67.76,76
Hungary_2015,Hungary,2015,0.01842,54.29,75.9
Hungary_2016,Hungary,2016,0.00887,112.7,76.3
Iceland_2003,Iceland,2003,0.25309,61.43,81.2
Iceland_2004,Iceland,2004,0.28857,63.96,81.4
Iceland_2005,Iceland,2005,0.27784,76.9,81.6
Iceland_2006,Iceland,2006,0.28279,80.7,81.7
Iceland_2007,Iceland,2007,0.28526,90.2,81.9
Iceland_2008,Iceland,2008,0.46185,65.16,82.2
Iceland_2009,Iceland,2009,0.55955,58.983,82.4
Iceland_2010,Iceland,2010,0.59489,60.37,82.6
Iceland_2011,Iceland,2011,0.59028,65.77,82.8
Iceland_2012,Iceland,2012,0.61549,65.44,82.9
Iceland_2013,Iceland,2013,0.72671,61.43,83.2
Iceland_2014,Iceland,2014,0.82681,62.79,83.7
Iceland_2015,Iceland,2015,0.79821,65.04,83.7
Iceland_2016,Iceland,2016,1,53.37,83.8
Ireland_1990,Ireland,1990,0.01673,59.76,75
Ireland_1991,Ireland,1991,0.01633,61.23,75.2
Ireland_1992,Ireland,1992,0.01636,61.11,75.4
Ireland_1993,Ireland,1993,0.01651,60.56,75.5
Ireland_1994,Ireland,1994,0.01667,60,75.8
Ireland_1995,Ireland,1995,0.0165,60.59,75.7
Ireland_1996,Ireland,1996,0.01614,61.95,76
Ireland_1997,Ireland,1997,0.01641,60.95,76.1
Ireland_1998,Ireland,1998,0.01463,68.33,76.3
Ireland_1999,Ireland,1999,0.013,76.9,76.4
Ireland_2000,Ireland,2000,0.01188,84.2,76.8
Ireland_2001,Ireland,2001,0.01485,67.33,77.3
Ireland_2002,Ireland,2002,0.0123,81.3,77.8
Ireland_2003,Ireland,2003,0.01383,72.3,78.3
Ireland_2004,Ireland,2004,0.01885,53.04,78.7
Ireland_2005,Ireland,2005,0.01239,80.7,79.1
Ireland_2006,Ireland,2006,0.0147,68.01,79.4
Ireland_2007,Ireland,2007,0.01239,80.7,79.7
Ireland_2008,Ireland,2008,0.01494,66.95,80
Ireland_2009,Ireland,2009,0.0123,81.3,80.2
Ireland_2010,Ireland,2010,0.12885,75.5,80.8
Ireland_2011,Ireland,2011,0.14219,68.42,80.8
Ireland_2012,Ireland,2012,0.14991,84.3,81
Ireland_2013,Ireland,2013,0.17627,88.2,81.2
Israel_1995,Israel,1995,0.01671,59.84,77.8
Israel_1996,Israel,1996,0.01673,59.77,78
Israel_1997,Israel,1997,0.01669,59.92,78.2
Israel_1998,Israel,1998,0.01667,60,78.4
Israel_1999,Israel,1999,0.01612,62.04,78.7
Israel_2000,Israel,2000,0.01548,64.58,78.9
Israel_2001,Israel,2001,0.01671,59.85,79
Israel_2002,Israel,2002,0.01672,59.81,78.9
Israel_2003,Israel,2003,0.01636,61.11,79.5
Israel_2004,Israel,2004,0.01648,60.67,79.9
Israel_2005,Israel,2005,0.03967,61.88,80.3
Israel_2006,Israel,2006,0.05763,67.84,80.4
Israel_2007,Israel,2007,0.15342,63.41,80.8
Israel_2008,Israel,2008,0.19984,63.24,81
Israel_2009,Israel,2009,0.30396,60.72,81.4
Israel_2010,Israel,2010,0.41851,61.48,81.9
Israel_2011,Israel,2011,0.43989,61.8,82
Israel_2012,Israel,2012,0.50894,61.99,82.3
Israel_2013,Israel,2013,0.55107,62.53,82.5
Israel_2014,Israel,2014,0.44971,60.45,82
Israel_2015,Israel,2015,0.6,62.28,82.7
Italy_1990,Italy,1990,0.01694,59.045,77.2
Italy_1991,Italy,1991,0.01704,58.693,77.3
Italy_1992,Italy,1992,0.01703,58.736,77.5
Italy_1993,Italy,1993,0.01699,58.851,77.8
Italy_1994,Italy,1994,0.01704,58.701,78
Italy_1995,Italy,1995,0.01697,58.912,78.2
Italy_1996,Italy,1996,0.01702,58.77,78.5
Italy_1997,Italy,1997,0.01701,58.797,78.8
Italy_1998,Italy,1998,0.01703,58.708,79
Italy_1999,Italy,1999,0.01693,59.054,79.3
Italy_2000,Italy,2000,0.01676,59.65,79.6
Italy_2001,Italy,2001,0.01673,59.77,79.9
Italy_2002,Italy,2002,0.01671,59.85,80.2
Italy_2003,Italy,2003,0.04109,59.74,80.3
Italy_2004,Italy,2004,0.1632,59.61,80.8
Italy_2005,Italy,2005,0.20896,60.48,81
Italy_2006,Italy,2006,0.27681,61.42,81.3
Italy_2007,Italy,2007,0.32387,61.48,81.5
Italy_2008,Italy,2008,0.36771,58.106,81.6
Italy_2009,Italy,2009,0.40968,59.255,81.8
Italy_2010,Italy,2010,0.48571,58.965,82.1
Italy_2011,Italy,2011,0.50157,60,82.2
Italy_2012,Italy,2012,0.56415,58.50167,82.4
Italy_2013,Italy,2013,0.60448,59.412,82.6
Italy_2014,Italy,2014,0.65482,59.288,82.8
Italy_2015,Italy,2015,0.63096,59.224,82.7
Japan_2008,Japan,2008,0.73221,58.982,83.1
Japan_2009,Japan,2009,0.78487,58.731,83.3
Japan_2010,Japan,2010,0.78624,58.629,83.3
Japan_2011,Japan,2011,0.76328,58.4863,83.2
Japan_2012,Japan,2012,0.86245,58.50872,83.6
Japan_2013,Japan,2013,1,58.704,83.9
Jordan_2008,Jordan,2008,0.01408,71,76.2
Jordan_2009,Jordan,2009,0.01463,68.33,76.7
Jordan_2010,Jordan,2010,0.01545,64.72,76.9
Kazakhstan_2000,Kazakhstan,2000,0.01515,65.99,64.7
Kazakhstan_2001,Kazakhstan,2001,0.01404,71.2,64.7
Kazakhstan_2002,Kazakhstan,2002,0.01449,69,64.7
Kazakhstan_2003,Kazakhstan,2003,0.01503,66.55,64.6
Kazakhstan_2004,Kazakhstan,2004,0.01399,71.5,64.6
Kazakhstan_2005,Kazakhstan,2005,0.01588,62.96,64.6
Kazakhstan_2006,Kazakhstan,2006,0.01473,67.9,64.8
Kazakhstan_2007,Kazakhstan,2007,0.01431,69.9,65.3
Kazakhstan_2008,Kazakhstan,2008,0.01406,71.1,66.3
Kazakhstan_2009,Kazakhstan,2009,0.0141,70.9,67.3
Kazakhstan_2010,Kazakhstan,2010,0.01574,63.54,67.6
Kazakhstan_2011,Kazakhstan,2011,0.01523,65.64,68.1
Kazakhstan_2012,Kazakhstan,2012,0.01537,65.06,68.6
Kazakhstan_2013,Kazakhstan,2013,0.01594,62.73,69.4
Kazakhstan_2014,Kazakhstan,2014,0.01618,61.8,70.1
Kazakhstan_2015,Kazakhstan,2015,0.01611,62.07,70.6
Kyrgyzstan_2000,Kyrgyzstan,2000,0.01714,58.328,67.2
Kyrgyzstan_2001,Kyrgyzstan,2001,0.017,58.828,67.3
Kyrgyzstan_2002,Kyrgyzstan,2002,0.01701,58.79,67.2
Kyrgyzstan_2003,Kyrgyzstan,2003,0.01643,60.87,67.1
Kyrgyzstan_2004,Kyrgyzstan,2004,0.01505,66.43,67.4
Kyrgyzstan_2005,Kyrgyzstan,2005,0.0166,60.23,67.4
Kyrgyzstan_2006,Kyrgyzstan,2006,0.0154,64.92,67.2
Kyrgyzstan_2007,Kyrgyzstan,2007,0.01563,63.97,67.6
Kyrgyzstan_2008,Kyrgyzstan,2008,0.01519,65.83,68.3
Kyrgyzstan_2009,Kyrgyzstan,2009,0.01599,62.54,69.3
Kyrgyzstan_2010,Kyrgyzstan,2010,0.01463,68.36,69.6
Kyrgyzstan_2011,Kyrgyzstan,2011,0.01437,69.6,70.3
