dmu,country,year,efficiencies,foreign_investment,income
Belgium_2013,Belgium,2013,0.01893,52.82,48.2
Belgium_2014,Belgium,2014,0.01797,55.66,48.7
Belgium_2015,Belgium,2015,0.01842,54.28,49.5
Bulgaria_2006,Bulgaria,2006,0.01229,81.4,15.9
Bulgaria_2007,Bulgaria,2007,0.01115,89.7,17.1
Bulgaria_2008,Bulgaria,2008,0.01292,77.4,18.3
Bulgaria_2009,Bulgaria,2009,0.01515,65.99,17.8
Bulgaria_2010,Bulgaria,2010,0.01609,62.14,18.2
Bulgaria_2011,Bulgaria,2011,0.01609,62.15,18.7
Bulgaria_2012,Bulgaria,2012,0.01618,61.79,18.9
Bulgaria_2013,Bulgaria,2013,0.01611,62.06,18.9
Bulgaria_2014,Bulgaria,2014,0.01655,60.42,19.2
Canada_1990,Canada,1990,0.01669,59.91,34.6
Canada_1991,Canada,1991,0.01693,59.076,33.5
Canada_1992,Canada,1992,0.01676,59.68,33.4
Canada_1993,Canada,1993,0.01689,59.224,33.9
Canada_1994,Canada,1994,0.01663,60.15,35.1
Canada_1995,Canada,1995,0.01646,60.76,35.6
Canada_1996,Canada,1996,0.01669,59.9,35.8
Canada_1997,Canada,1997,0.01644,60.82,34
Canada_1998,Canada,1998,0.01602,62.44,34.7
Canada_1999,Canada,1999,0.01599,62.55,35.8
Canada_2000,Canada,2000,0.01478,67.67,37.2
Canada_2001,Canada,2001,0.01604,62.34,37.3
Canada_2002,Canada,2002,0.0162,61.72,38.2
Canada_2003,Canada,2003,0.01687,59.283,39.3
Canada_2004,Canada,2004,0.01705,58.641,40.4
Canada_2005,Canada,2005,0.01648,60.68,42
Chile_1990,Chile,1990,0.01653,60.5,9.85
Chile_1991,Chile,1991,0.01648,60.67,10.4
Chile_1992,Chile,1992,0.01652,60.54,11.4
Chile_1993,Chile,1993,0.0165,60.6,12
Chile_1994,Chile,1994,0.01587,63.03,12.4
Colombia_1992,Colombia,1992,0.01674,59.75,8.48
Colombia_1993,Colombia,1993,0.01668,59.94,8.77
Colombia_1994,Colombia,1994,0.01659,60.27,9.1
Costa Rica_1990,Costa Rica,1990,0.0163,61.35,9.93
Costa Rica_1991,Costa Rica,1991,0.0164,60.98,9.9
Costa Rica_1992,Costa Rica,1992,0.01636,61.14,10.5
Costa Rica_1993,Costa Rica,1993,0.01637,61.07,11
Costa Rica_1994,Costa Rica,1994,0.0163,61.34,11.2
Costa Rica_1995,Costa Rica,1995,0.01628,61.41,11.4
Croatia_2009,Croatia,2009,0.01578,63.37,24.8
Croatia_2010,Croatia,2010,0.01638,61.06,24.5
Croatia_2011,Croatia,2011,0.01653,60.48,24.6
Croatia_2012,Croatia,2012,0.01638,61.06,24.1
Croatia_2013,Croatia,2013,0.01662,60.16,24.1
Croatia_2014,Croatia,2014,0.01563,63.96,24.1
Croatia_2015,Croatia,2015,0.01707,58.589,24.9
Croatia_2016,Croatia,2016,0.01686,59.322,25.9
Cyprus_2004,Cyprus,2004,0.01539,64.96000000000001,36.5
Cyprus_2005,Cyprus,2005,0.01543,64.8,37.7
Cyprus_2006,Cyprus,2006,0.01474,67.83,38.8
Cyprus_2007,Cyprus,2007,0.01469,68.07,40
Cyprus_2008,Cyprus,2008,0.00974,102.7,40.4
Cyprus_2009,Cyprus,2009,0.00325,307.5,38.5
Cyprus_2010,Cyprus,2010,0.00557,179.5,38.3
Cyprus_2011,Cyprus,2011,0.00487,205.5,37.5
Cyprus_2012,Cyprus,2012,0.00295,338.5,35.6
Cyprus_2013,Cyprus,2013,0.00597,167.5,33.4
Cyprus_2014,Cyprus,2014,0.00355,281.5,33.1
Cyprus_2015,Cyprus,2015,0.00489,204.5,34.5
Cyprus_2016,Cyprus,2016,0.01009,99.1,36.5
Czechia_1993,Czechia,1993,0.01664,60.1,20.8
Czechia_1994,Czechia,1994,0.01657,60.34,21.4
Czechia_1995,Czechia,1995,0.01593,62.77,22.8
Czechia_1996,Czechia,1996,0.01649,60.63,23.8
Czechia_1997,Czechia,1997,0.01651,60.57,23.7
Czechia_1998,Czechia,1998,0.01562,64.03999999999999,23.6
Czechia_1999,Czechia,1999,0.01466,68.19,23.9
Czechia_2000,Czechia,2000,0.01502,66.57,25
Czechia_2001,Czechia,2001,0.01497,66.82,25.8
Czechia_2002,Czechia,2002,0.01453,68.8,26.3
Czechia_2003,Czechia,2003,0.01652,60.52,27.2
Czechia_2004,Czechia,2004,0.01566,63.86,28.5
Czechia_2005,Czechia,2005,0.0146,68.5,30.4
Czechia_2006,Czechia,2006,0.01586,63.06,32.4
Czechia_2007,Czechia,2007,0.01521,65.76,34
Czechia_2008,Czechia,2008,0.01607,62.22,34.6
Czechia_2009,Czechia,2009,0.01638,61.04,32.8
Czechia_2010,Czechia,2010,0.01578,63.36,33.5
Czechia_2011,Czechia,2011,0.01658,60.32,34
Czechia_2012,Czechia,2012,0.01587,63.02,33.7
Czechia_2013,Czechia,2013,0.01613,61.98,33.7
Czechia_2014,Czechia,2014,0.01604,62.36,34.4
Czechia_2015,Czechia,2015,0.01683,59.404,36.2
Czechia_2016,Czechia,2016,0.01562,64.03,37
Denmark_1990,Denmark,1990,0.01686,59.319,39
Denmark_1991,Denmark,1991,0.01677,59.62,39.5
Denmark_1992,Denmark,1992,0.0169,59.165,40.1
Denmark_1993,Denmark,1993,0.01675,59.7,40
Denmark_1994,Denmark,1994,0.0162,61.71,42
Denmark_1995,Denmark,1995,0.01646,60.74,43
Denmark_1996,Denmark,1996,0.01697,58.912,44
Denmark_1997,Denmark,1997,0.01664,60.11,45.3
Denmark_1998,Denmark,1998,0.01606,62.27,46.1
Denmark_1999,Denmark,1999,0.01471,67.97,47.3
Denmark_2000,Denmark,2000,0.01244,80.4,48.9
Denmark_2001,Denmark,2001,0.01559,64.14,49.1
Denmark_2002,Denmark,2002,0.0164,60.98,49.2
Denmark_2003,Denmark,2003,0.01694,59.043,49.3
Denmark_2004,Denmark,2004,0.01818,55,50.4
Denmark_2005,Denmark,2005,0.01578,63.36,51.5
Denmark_2006,Denmark,2006,0.01685,59.343,53.3
Denmark_2007,Denmark,2007,0.01608,62.2,53.6
Denmark_2008,Denmark,2008,0.01691,59.12,53
Denmark_2009,Denmark,2009,0.01676,59.67,50.1
Denmark_2010,Denmark,2010,0.01823,54.85,50.8
Denmark_2011,Denmark,2011,0.01602,62.44,51.3
Denmark_2012,Denmark,2012,0.01869,53.5,51.2
Denmark_2013,Denmark,2013,0.01704,58.698,51.5
Denmark_2014,Denmark,2014,0.01657,60.36,52
Denmark_2015,Denmark,2015,0.01692,59.111,52.9
El Salvador_1991,El Salvador,1991,0.01696,58.979,5.29
El Salvador_1992,El Salvador,1992,0.01702,58.763,5.59
El Salvador_1993,El Salvador,1993,0.01702,58.746,5.83
Estonia_2003,Estonia,2003,0.01449,69,22.1
Estonia_2004,Estonia,2004,0.01483,67.45,23.7
Estonia_2005,Estonia,2005,0.01247,80.2,26.1
Estonia_2006,Estonia,2006,0.01453,68.8,28.8
Estonia_2007,Estonia,2007,0.01389,72,31.1
Estonia_2008,Estonia,2008,0.01501,66.62,29.6
Estonia_2009,Estonia,2009,0.0147,68.01,25.3
Estonia_2010,Estonia,2010,0.01393,71.8,26
Estonia_2011,Estonia,2011,0.01579,63.32,28
Estonia_2012,Estonia,2012,0.01509,66.26,29
Estonia_2013,Estonia,2013,0.01591,62.87,29.5
Estonia_2014,Estonia,2014,0.01534,65.19,30.5
Estonia_2015,Estonia,2015,0.01806,55.37,31
Finland_1990,Finland,1990,0.01693,59.074,32.9
Finland_1991,Finland,1991,0.01715,58.318,30.8
Finland_1992,Finland,1992,0.01699,58.852,29.6
Finland_1993,Finland,1993,0.01682,59.468,29.3
Finland_1994,Finland,1994,0.01702,58.769,30.3
Finland_1995,Finland,1995,0.01678,59.58,31.5
Finland_1996,Finland,1996,0.01693,59.07,32.5
Finland_1997,Finland,1997,0.01655,60.43,34.5
Finland_1998,Finland,1998,0.01474,67.84,36.3
Finland_1999,Finland,1999,0.01556,64.25999999999999,37.8
Finland_2000,Finland,2000,0.01445,69.2,39.9
Finland_2001,Finland,2001,0.0164,60.99,40.8
Finland_2002,Finland,2002,0.01556,64.27,41.4
Finland_2003,Finland,2003,0.01613,61.98,42.2
Finland_2004,Finland,2004,0.01615,61.93,43.7
Finland_2005,Finland,2005,0.01567,63.8,44.8
Finland_2006,Finland,2006,0.01649,60.64,46.4
Finland_2007,Finland,2007,0.01491,67.07,48.7
Finland_2008,Finland,2008,0.01532,65.29,48.8
Finland_2009,Finland,2009,0.01818,55.02,44.7
Finland_2010,Finland,2010,0.01577,63.4,45.9
Finland_2011,Finland,2011,0.01776,56.32,46.8
Finland_2012,Finland,2012,0.01655,60.41,46
Finland_2013,Finland,2013,0.01764,56.69,45.3
Finland_2014,Finland,2014,0.01541,64.88,45
France_1990,France,1990,0.0168,59.54,33.7
France_1991,France,1991,0.01675,59.69,33.9
France_1992,France,1992,0.01665,60.06,34.3
France_1993,France,1993,0.01665,60.07,33.9
France_1994,France,1994,0.01677,59.63,34.6
France_1995,France,1995,0.01667,59.98,35.2
France_1996,France,1996,0.0167,59.87,35.5
France_1997,France,1997,0.01664,60.09,36.3
France_1998,France,1998,0.01654,60.46,37.4
France_1999,France,1999,0.01624,61.58,38.5
France_2000,France,2000,0.01625,61.53,39.7
France_2001,France,2001,0.01609,62.14,40.2
France_2002,France,2002,0.01615,61.93,40.4
France_2003,France,2003,0.01645,60.8,40.4
France_2004,France,2004,0.01662,60.18,41.3
France_2005,France,2005,0.01603,62.38,41.6
France_2006,France,2006,0.01616,61.9,42.4
France_2007,France,2007,0.01622,61.65,43.1
France_2008,France,2008,0.01644,60.82,43
France_2009,France,2009,0.0169,59.182,41.5
France_2010,France,2010,0.01668,59.97,42.1
France_2011,France,2011,0.01666,60.04,42.9
France_2012,France,2012,0.01674,59.73,42.8
France_2013,France,2013,0.01677,59.62,42.8
France_2014,France,2014,0.01703,58.703,43
Germany_1991,Germany,1991,0.01702,58.754,38.3
Germany_1992,Germany,1992,0.01712,58.4,38.7
Germany_1993,Germany,1993,0.01709,58.5232,38.1
Germany_1994,Germany,1994,0.01699,58.841,38.9
Germany_1995,Germany,1995,0.01696,58.966,39.4
Germany_1996,Germany,1996,0.01691,59.124,39.6
Germany_1997,Germany,1997,0.01685,59.343,40.2
Germany_1998,Germany,1998,0.01672,59.82,41
Germany_1999,Germany,1999,0.01602,62.42,41.8
Germany_2000,Germany,2000,0.01404,71.2,42.9
Germany_2001,Germany,2001,0.01628,61.43,43.6
Germany_2002,Germany,2002,0.0164,60.97,43.4
Germany_2003,Germany,2003,0.01636,61.11,43.1
Germany_2004,Germany,2004,0.01731,57.775,43.6
Germany_2005,Germany,2005,0.0165,60.6,43.9
Germany_2006,Germany,2006,0.01628,61.42,45.7
Germany_2007,Germany,2007,0.01667,59.98,47.1
Germany_2008,Germany,2008,0.01686,59.327,47.6
Germany_2009,Germany,2009,0.01662,60.16,45
Germany_2010,Germany,2010,0.01639,61.03,47
Germany_2011,Germany,2011,0.01637,61.1,49.8
Germany_2012,Germany,2012,0.01657,60.36,49.9
Germany_2013,Germany,2013,0.01658,60.3,50
Germany_2014,Germany,2014,0.01695,59.001,50.8
Germany_2015,Germany,2015,0.01657,60.36,51.2
Greece_1995,Greece,1995,0.01687,59.269,24.9
Greece_1996,Greece,1996,0.01688,59.225,25.5
Greece_1997,Greece,1997,0.0169,59.187,26.5
Greece_1998,Greece,1998,0.01708,58.5493,27.4
Greece_1999,Greece,1999,0.01708,58.558,28.1
Greece_2000,Greece,2000,0.0171,58.49372,29.1
Greece_2001,Greece,2001,0.01709,58.50147,30.2
Greece_2002,Greece,2002,0.01709,58.5221,31.3
Greece_2003,Greece,2003,0.01689,59.196,33
Greece_2004,Greece,2004,0.01684,59.391,34.6
Greece_2005,Greece,2005,0.01701,58.778,34.7
Greece_2006,Greece,2006,0.01653,60.48,36.5
Greece_2007,Greece,2007,0.01692,59.114,37.6
Greece_2008,Greece,2008,0.01664,60.11,37.4
Greece_2009,Greece,2009,0.01685,59.335,35.7
Greece_2010,Greece,2010,0.01704,58.679,33.7
Greece_2011,Greece,2011,0.01698,58.886,30.3
Greece_2012,Greece,2012,0.0169,59.187,28.3
Greece_2013,Greece,2013,0.01674,59.73,27.8
Greece_2014,Greece,2014,0.01676,59.65,28.1
Greece_2015,Greece,2015,0.01691,59.148,28.3
Hungary_2004,Hungary,2004,0.01591,62.86,23.4
Hungary_2005,Hungary,2005,0.01208,82.8,24.4
Hungary_2006,Hungary,2006,0.0134,74.6,25.4
Hungary_2007,Hungary,2007,0.00918,108.9,25.5
Hungary_2008,Hungary,2008,0.00944,105.9,25.8
Hungary_2009,Hungary,2009,0.01774,56.37,24.2
Hungary_2010,Hungary,2010,0.02336,42.8,24.5
Hungary_2011,Hungary,2011,0.01514,66.06,25
Hungary_2012,Hungary,2012,0.01495,66.89,24.8
Hungary_2013,Hungary,2013,0.0179,55.86,25.3
Hungary_2014,Hungary,2014,0.01476,67.76,26.5
Hungary_2015,Hungary,2015,0.01842,54.29,27.5
Hungary_2016,Hungary,2016,0.00887,112.7,28.2
Iceland_2003,Iceland,2003,0.01628,61.43,43.1
Iceland_2004,Iceland,2004,0.01563,63.96,46.1
Iceland_2005,Iceland,2005,0.013,76.9,48.1
Iceland_2006,Iceland,2006,0.01239,80.7,50
Iceland_2007,Iceland,2007,0.01109,90.2,52.8
Iceland_2008,Iceland,2008,0.01535,65.16,53
Iceland_2009,Iceland,2009,0.01695,58.983,48.8
Iceland_2010,Iceland,2010,0.01656,60.37,47.5
Iceland_2011,Iceland,2011,0.0152,65.77,48.2
Iceland_2012,Iceland,2012,0.01528,65.44,48.4
Iceland_2013,Iceland,2013,0.01628,61.43,50.2
Iceland_2014,Iceland,2014,0.01593,62.79,50.5
Iceland_2015,Iceland,2015,0.01538,65.04,52.1
Iceland_2016,Iceland,2016,0.01874,53.37,54.7
Ireland_1990,Ireland,1990,0.01673,59.76,26.4
Ireland_1991,Ireland,1991,0.01633,61.23,26.8
Ireland_1992,Ireland,1992,0.01636,61.11,27.5
Ireland_1993,Ireland,1993,0.01651,60.56,28.1
Ireland_1994,Ireland,1994,0.01667,60,29.6
Ireland_1995,Ireland,1995,0.0165,60.59,32.3
Ireland_1996,Ireland,1996,0.01614,61.95,34.4
Ireland_1997,Ireland,1997,0.01641,60.95,37.8
Ireland_1998,Ireland,1998,0.01463,68.33,40.7
Ireland_1999,Ireland,1999,0.013,76.9,44.5
Ireland_2000,Ireland,2000,0.01188,84.2,48
Ireland_2001,Ireland,2001,0.01485,67.33,49.7
Ireland_2002,Ireland,2002,0.0123,81.3,51.8
Ireland_2003,Ireland,2003,0.01383,72.3,52.5
Ireland_2004,Ireland,2004,0.01885,53.04,55
Ireland_2005,Ireland,2005,0.01239,80.7,56.9
Ireland_2006,Ireland,2006,0.0147,68.01,58.2
Ireland_2007,Ireland,2007,0.01239,80.7,59.5
Ireland_2008,Ireland,2008,0.01494,66.95,55.7
Ireland_2009,Ireland,2009,0.0123,81.3,52.3
Ireland_2010,Ireland,2010,0.01325,75.5,53
Ireland_2011,Ireland,2011,0.01462,68.42,53.3
Ireland_2012,Ireland,2012,0.01186,84.3,53
Ireland_2013,Ireland,2013,0.01134,88.2,53.4
Israel_1995,Israel,1995,0.01671,59.84,26.2
Israel_1996,Israel,1996,0.01673,59.77,27.1
Israel_1997,Israel,1997,0.01669,59.92,27.5
Israel_1998,Israel,1998,0.01667,60,28
Israel_1999,Israel,1999,0.01612,62.04,28.2
Israel_2000,Israel,2000,0.01548,64.58,29.9
Israel_2001,Israel,2001,0.01671,59.85,29.3
Israel_2002,Israel,2002,0.01672,59.81,28.6
Israel_2003,Israel,2003,0.01636,61.11,28.5
Israel_2004,Israel,2004,0.01648,60.67,29.3
Israel_2005,Israel,2005,0.01616,61.88,30
Israel_2006,Israel,2006,0.01474,67.84,31.2
Israel_2007,Israel,2007,0.01577,63.41,32.5
Israel_2008,Israel,2008,0.01581,63.24,33
Israel_2009,Israel,2009,0.01647,60.72,32.6
Israel_2010,Israel,2010,0.01627,61.48,33.9
Israel_2011,Israel,2011,0.01618,61.8,35.1
Israel_2012,Israel,2012,0.01613,61.99,35.4
Israel_2013,Israel,2013,0.01599,62.53,36.4
Israel_2014,Israel,2014,0.01654,60.45,37.2
Israel_2015,Israel,2015,0.01606,62.28,37.3
Italy_1990,Italy,1990,0.01694,59.045,36.6
Italy_1991,Italy,1991,0.01704,58.693,37.1
Italy_1992,Italy,1992,0.01703,58.736,37.4
Italy_1993,Italy,1993,0.01699,58.851,37.1
Italy_1994,Italy,1994,0.01704,58.701,37.9
Italy_1995,Italy,1995,0.01697,58.912,38.9
Italy_1996,Italy,1996,0.01702,58.77,39.4
Italy_1997,Italy,1997,0.01701,58.797,40.1
Italy_1998,Italy,1998,0.01703,58.708,40.8
Italy_1999,Italy,1999,0.01693,59.054,41.5
Italy_2000,Italy,2000,0.01676,59.65,43.1
Italy_2001,Italy,2001,0.01673,59.77,43.9
Italy_2002,Italy,2002,0.01671,59.85,43.9
Italy_2003,Italy,2003,0.01674,59.74,43.8
Italy_2004,Italy,2004,0.01678,59.61,44.1
Italy_2005,Italy,2005,0.01653,60.48,44.3
Italy_2006,Italy,2006,0.01628,61.42,44.9
Italy_2007,Italy,2007,0.01627,61.48,45.4
Italy_2008,Italy,2008,0.01721,58.106,44.6
Italy_2009,Italy,2009,0.01688,59.255,42.1
Italy_2010,Italy,2010,0.01696,58.965,42.7
Italy_2011,Italy,2011,0.01667,60,42.9
Italy_2012,Italy,2012,0.01709,58.50167,41.5
Italy_2013,Italy,2013,0.01683,59.412,40.3
Italy_2014,Italy,2014,0.01687,59.288,39.9
Italy_2015,Italy,2015,0.01689,59.224,40.2
Japan_2008,Japan,2008,0.01695,58.982,38.8
Japan_2009,Japan,2009,0.01703,58.731,36.6
Japan_2010,Japan,2010,0.01706,58.629,38.1
Japan_2011,Japan,2011,0.0171,58.4863,38.1
Japan_2012,Japan,2012,0.01709,58.50872,38.7
Japan_2013,Japan,2013,0.01703,58.704,39.6
Jordan_2008,Jordan,2008,0.01408,71,11.7
Jordan_2009,Jordan,2009,0.01463,68.33,11.7
Jordan_2010,Jordan,2010,0.01545,64.72,11.3
Kazakhstan_2000,Kazakhstan,2000,0.01515,65.99,10.3
Kazakhstan_2001,Kazakhstan,2001,0.01404,71.2,11.7
Kazakhstan_2002,Kazakhstan,2002,0.01449,69,12.8
Kazakhstan_2003,Kazakhstan,2003,0.01503,66.55,14
Kazakhstan_2004,Kazakhstan,2004,0.01399,71.5,15.2
Kazakhstan_2005,Kazakhstan,2005,0.01588,62.96,16.5
Kazakhstan_2006,Kazakhstan,2006,0.01473,67.9,18.1
Kazakhstan_2007,Kazakhstan,2007,0.01431,69.9,19.5
Kazakhstan_2008,Kazakhstan,2008,0.01406,71.1,19.8
Kazakhstan_2009,Kazakhstan,2009,0.0141,70.9,19.6
Kazakhstan_2010,Kazakhstan,2010,0.01574,63.54,20.8
Kazakhstan_2011,Kazakhstan,2011,0.01523,65.64,22
Kazakhstan_2012,Kazakhstan,2012,0.01537,65.06,22.7
Kazakhstan_2013,Kazakhstan,2013,0.01594,62.73,23.7
Kazakhstan_2014,Kazakhstan,2014,0.01618,61.8,24.4
Kazakhstan_2015,Kazakhstan,2015,0.01611,62.07,24.3
Kyrgyzstan_2000,Kyrgyzstan,2000,0.01714,58.328,3.08
Kyrgyzstan_2001,Kyrgyzstan,2001,0.017,58.828,3.21
Kyrgyzstan_2002,Kyrgyzstan,2002,0.01701,58.79,3.18
Kyrgyzstan_2003,Kyrgyzstan,2003,0.01643,60.87,3.37
Kyrgyzstan_2004,Kyrgyzstan,2004,0.01505,66.43,3.56
Kyrgyzstan_2005,Kyrgyzstan,2005,0.0166,60.23,3.52
Kyrgyzstan_2006,Kyrgyzstan,2006,0.0154,64.92,3.59
Kyrgyzstan_2007,Kyrgyzstan,2007,0.01563,63.97,3.86
Kyrgyzstan_2008,Kyrgyzstan,2008,0.01519,65.83,4.14
Kyrgyzstan_2009,Kyrgyzstan,2009,0.01599,62.54,4.21
Kyrgyzstan_2010,Kyrgyzstan,2010,0.01463,68.36,4.14
Kyrgyzstan_2011,Kyrgyzstan,2011,0.01437,69.6,4.34
