dmu,value
Georgia_1953,NA
Guadeloupe_1953,NA
Greece_1953,NA
Grenada_1953,NA
Guatemala_1953,NA
French Guiana_1953,NA
Guyana_1953,NA
Hong Kong_1953,NA
Croatia_1953,NA
Hungary_1953,NA
Ireland_1953,0.418
Iceland_1953,2.85
Israel_1953,NA
Italy_1953,1.36
Jamaica_1953,NA
Jordan_1953,NA
Japan_1953,1.97
Kazakhstan_1953,NA
Kyrgyzstan_1953,NA
Saint Kitts and Nevis_1953,NA
South Korea_1953,NA
Kuwait_1953,NA
Saint Lucia_1953,NA
Sri Lanka_1953,4.71
Lithuania_1953,NA
Luxembourg_1953,NA
Latvia_1953,NA
Moldova_1953,NA
Mexico_1953,NA
North Macedonia_1953,NA
Malta_1953,NA
Montenegro_1953,NA
Mongolia_1953,NA
Martinique_1953,NA
Mauritius_1953,NA
Malaysia_1953,NA
Nicaragua_1953,NA
Netherlands_1953,0.291
Norway_1953,0.337
New Zealand_1953,0.824
Oman_1953,NA
Panama_1953,NA
Peru_1953,NA
Philippines_1953,NA
Poland_1953,NA
Puerto Rico_1953,NA
Portugal_1953,NA
Qatar_1953,NA
Reunion_1953,NA
Romania_1953,NA
Russia_1953,NA
Serbia and Montenegro_1953,NA
Singapore_1953,NA
El Salvador_1953,NA
Serbia_1953,NA
Sao Tome and Principe_1953,NA
Suriname_1953,NA
Slovakia_1953,NA
Slovenia_1953,NA
Sweden_1953,0.64
Seychelles_1953,NA
Thailand_1953,NA
Tajikistan_1953,NA
Turkmenistan_1953,NA
Trinidad and Tobago_1953,8.22
Tunisia_1953,NA
Turkey_1953,NA
Ukraine_1953,NA
Uruguay_1953,NA
United States_1953,4.97
USSR_1953,NA
Uzbekistan_1953,NA
Saint Vincent and the Grenadines_1953,NA
Venezuela_1953,NA
United States Virgin Islands_1953,NA
Yugoslavia_1953,NA
South Africa_1953,NA
Albania_1954,NA
Argentina_1954,NA
Armenia_1954,NA
Antigua and Barbuda_1954,NA
Australia_1954,1.3
Austria_1954,NA
Azerbaijan_1954,NA
Belgium_1954,0.625
Bulgaria_1954,NA
Bahrain_1954,NA
Bahamas_1954,NA
Bosnia and Herzegovina_1954,NA
Belarus_1954,NA
Belize_1954,NA
Bermuda_1954,NA
Brazil_1954,NA
Barbados_1954,NA
Brunei_1954,NA
Canada_1954,1.13
Switzerland_1954,1.06
Czechoslovakia_1954,1.27
Chile_1954,NA
Colombia_1954,NA
Costa Rica_1954,NA
Cuba_1954,NA
Cayman Islands_1954,NA
Cyprus_1954,NA
Czechia_1954,NA
Germany_1954,NA
East Germany_1954,NA
West Germany_1954,1.01
Dominica_1954,NA
Denmark_1954,0.744
Dominican Republic_1954,NA
Ecuador_1954,NA
Egypt_1954,NA
Spain_1954,0.307
Estonia_1954,NA
Finland_1954,3.17
France_1954,0.567
United Kingdom_1954,0.479
Georgia_1954,NA
Guadeloupe_1954,NA
Greece_1954,NA
Grenada_1954,NA
Guatemala_1954,NA
French Guiana_1954,NA
Guyana_1954,NA
Hong Kong_1954,NA
Croatia_1954,NA
Hungary_1954,NA
Ireland_1954,0.309
Iceland_1954,1.791
Israel_1954,NA
Italy_1954,1.37
Jamaica_1954,NA
Jordan_1954,NA
Japan_1954,2.19
Kazakhstan_1954,NA
Kyrgyzstan_1954,NA
Saint Kitts and Nevis_1954,NA
South Korea_1954,NA
Kuwait_1954,NA
Saint Lucia_1954,NA
Sri Lanka_1954,6.38
Lithuania_1954,NA
Luxembourg_1954,NA
Latvia_1954,NA
Moldova_1954,NA
Mexico_1954,NA
North Macedonia_1954,NA
Malta_1954,NA
Montenegro_1954,NA
Mongolia_1954,NA
Martinique_1954,NA
Mauritius_1954,NA
Malaysia_1954,NA
Nicaragua_1954,NA
Netherlands_1954,0.271
Norway_1954,0.358
New Zealand_1954,0.917
Oman_1954,NA
Panama_1954,NA
Peru_1954,NA
Philippines_1954,NA
Poland_1954,NA
Puerto Rico_1954,NA
Portugal_1954,NA
Qatar_1954,NA
Reunion_1954,NA
Romania_1954,NA
Russia_1954,NA
Serbia and Montenegro_1954,NA
Singapore_1954,NA
El Salvador_1954,NA
Serbia_1954,NA
Sao Tome and Principe_1954,NA
Suriname_1954,NA
Slovakia_1954,NA
Slovenia_1954,NA
Sweden_1954,0.759
Seychelles_1954,NA
Thailand_1954,NA
Tajikistan_1954,NA
Turkmenistan_1954,NA
Trinidad and Tobago_1954,7.27
Tunisia_1954,NA
Turkey_1954,NA
Ukraine_1954,NA
Uruguay_1954,NA
United States_1954,4.99
USSR_1954,NA
Uzbekistan_1954,NA
Saint Vincent and the Grenadines_1954,NA
Venezuela_1954,NA
United States Virgin Islands_1954,NA
Yugoslavia_1954,NA
South Africa_1954,NA
Albania_1955,NA
Argentina_1955,NA
Armenia_1955,NA
Antigua and Barbuda_1955,NA
Australia_1955,1.39
Austria_1955,0.976
Azerbaijan_1955,NA
Belgium_1955,0.671
Bulgaria_1955,NA
Bahrain_1955,NA
Bahamas_1955,NA
Bosnia and Herzegovina_1955,NA
Belarus_1955,NA
Belize_1955,NA
Bermuda_1955,NA
Brazil_1955,NA
Barbados_1955,NA
Brunei_1955,NA
Canada_1955,1.08
Switzerland_1955,1.16
Czechoslovakia_1955,1.43
Chile_1955,4.12
Colombia_1955,39.2
Costa Rica_1955,NA
Cuba_1955,NA
Cayman Islands_1955,NA
Cyprus_1955,NA
Czechia_1955,NA
Germany_1955,NA
East Germany_1955,NA
West Germany_1955,1.06
Dominica_1955,NA
Denmark_1955,0.546
Dominican Republic_1955,NA
Ecuador_1955,NA
Egypt_1955,3.26
Spain_1955,0.309
Estonia_1955,NA
Finland_1955,2.68
France_1955,0.681
United Kingdom_1955,0.439
Georgia_1955,NA
Guadeloupe_1955,NA
Greece_1955,NA
Grenada_1955,NA
Guatemala_1955,NA
French Guiana_1955,NA
Guyana_1955,NA
Hong Kong_1955,NA
Croatia_1955,NA
Hungary_1955,1.94
Ireland_1955,0.21
Iceland_1955,0.732
Israel_1955,NA
Italy_1955,1.45
Jamaica_1955,NA
Jordan_1955,NA
Japan_1955,2.36
Kazakhstan_1955,NA
Kyrgyzstan_1955,NA
Saint Kitts and Nevis_1955,NA
South Korea_1955,NA
Kuwait_1955,NA
Saint Lucia_1955,NA
Sri Lanka_1955,5.12
Lithuania_1955,NA
Luxembourg_1955,NA
Latvia_1955,NA
Moldova_1955,NA
Mexico_1955,NA
North Macedonia_1955,NA
Malta_1955,NA
Montenegro_1955,NA
Mongolia_1955,NA
Martinique_1955,NA
Mauritius_1955,NA
Malaysia_1955,NA
Nicaragua_1955,NA
Netherlands_1955,0.28
Norway_1955,0.253
New Zealand_1955,1.11
Oman_1955,NA
Panama_1955,5.81
Peru_1955,NA
Philippines_1955,NA
Poland_1955,NA
Puerto Rico_1955,NA
Portugal_1955,1.37
Qatar_1955,NA
Reunion_1955,NA
Romania_1955,NA
Russia_1955,NA
Serbia and Montenegro_1955,NA
Singapore_1955,NA
El Salvador_1955,NA
Serbia_1955,NA
Sao Tome and Principe_1955,NA
Suriname_1955,NA
Slovakia_1955,NA
Slovenia_1955,NA
Sweden_1955,0.661
Seychelles_1955,NA
Thailand_1955,NA
Tajikistan_1955,NA
Turkmenistan_1955,NA
Trinidad and Tobago_1955,7.33
Tunisia_1955,NA
Turkey_1955,NA
Ukraine_1955,NA
Uruguay_1955,4.82
United States_1955,4.73
USSR_1955,NA
Uzbekistan_1955,NA
Saint Vincent and the Grenadines_1955,NA
Venezuela_1955,6.27
United States Virgin Islands_1955,NA
Yugoslavia_1955,NA
South Africa_1955,NA
Albania_1956,NA
Argentina_1956,NA
Armenia_1956,NA
Antigua and Barbuda_1956,NA
Australia_1956,1.3
Austria_1956,1.58
Azerbaijan_1956,NA
Belgium_1956,0.668
Bulgaria_1956,NA
Bahrain_1956,NA
Bahamas_1956,NA
Bosnia and Herzegovina_1956,NA
Belarus_1956,NA
Belize_1956,NA
Bermuda_1956,NA
Brazil_1956,NA
Barbados_1956,NA
Brunei_1956,NA
Canada_1956,1.15
Switzerland_1956,0.65
Czechoslovakia_1956,1.33
Chile_1956,5.02
Colombia_1956,50.4
Costa Rica_1956,NA
Cuba_1956,NA
Cayman Islands_1956,NA
Cyprus_1956,NA
Czechia_1956,NA
Germany_1956,NA
East Germany_1956,NA
West Germany_1956,0.965
Dominica_1956,NA
Denmark_1956,0.991
Dominican Republic_1956,NA
Ecuador_1956,NA
Egypt_1956,3.37
Spain_1956,0.445
Estonia_1956,NA
Finland_1956,2.7
France_1956,0.802
United Kingdom_1956,0.418
Georgia_1956,NA
Guadeloupe_1956,NA
Greece_1956,NA
Grenada_1956,NA
Guatemala_1956,NA
French Guiana_1956,NA
Guyana_1956,NA
Hong Kong_1956,NA
Croatia_1956,NA
Hungary_1956,2.29
Ireland_1956,0.0852
Iceland_1956,1.0659999999999998
Israel_1956,NA
Italy_1956,1.52
Jamaica_1956,NA
Jordan_1956,NA
Japan_1956,2.05
Kazakhstan_1956,NA
Kyrgyzstan_1956,NA
Saint Kitts and Nevis_1956,NA
South Korea_1956,NA
Kuwait_1956,NA
Saint Lucia_1956,NA
Sri Lanka_1956,4.85
Lithuania_1956,NA
Luxembourg_1956,NA
Latvia_1956,NA
Moldova_1956,NA
Mexico_1956,NA
North Macedonia_1956,NA
Malta_1956,NA
Montenegro_1956,NA
Mongolia_1956,NA
Martinique_1956,NA
Mauritius_1956,NA
Malaysia_1956,NA
Nicaragua_1956,NA
Netherlands_1956,0.167
Norway_1956,0.388
New Zealand_1956,0.465
Oman_1956,NA
Panama_1956,6.97
Peru_1956,NA
Philippines_1956,NA
Poland_1956,NA
Puerto Rico_1956,NA
Portugal_1956,1.56
Qatar_1956,NA
Reunion_1956,NA
Romania_1956,NA
Russia_1956,NA
Serbia and Montenegro_1956,NA
Singapore_1956,NA
El Salvador_1956,NA
Serbia_1956,NA
Sao Tome and Principe_1956,NA
Suriname_1956,NA
Slovakia_1956,NA
Slovenia_1956,NA
Sweden_1956,0.906
Seychelles_1956,NA
Thailand_1956,NA
Tajikistan_1956,NA
Turkmenistan_1956,NA
Trinidad and Tobago_1956,8.86
Tunisia_1956,NA
Turkey_1956,NA
Ukraine_1956,NA
Uruguay_1956,5.15
United States_1956,4.84
USSR_1956,NA
Uzbekistan_1956,NA
Saint Vincent and the Grenadines_1956,NA
Venezuela_1956,5.91
United States Virgin Islands_1956,NA
Yugoslavia_1956,NA
South Africa_1956,NA
Albania_1957,NA
Argentina_1957,NA
Armenia_1957,NA
Antigua and Barbuda_1957,NA
Australia_1957,1.34
Austria_1957,1.2
Azerbaijan_1957,NA
Belgium_1957,0.614
Bulgaria_1957,NA
Bahrain_1957,NA
Bahamas_1957,NA
Bosnia and Herzegovina_1957,NA
Belarus_1957,NA
Belize_1957,NA
Bermuda_1957,NA
Brazil_1957,NA
Barbados_1957,NA
Brunei_1957,NA
Canada_1957,1.08
Switzerland_1957,0.775
Czechoslovakia_1957,1.3
Chile_1957,5.69
Colombia_1957,50
Costa Rica_1957,NA
Cuba_1957,NA
Cayman Islands_1957,NA
Cyprus_1957,NA
Czechia_1957,NA
Germany_1957,NA
East Germany_1957,NA
West Germany_1957,0.945
Dominica_1957,NA
Denmark_1957,0.552
Dominican Republic_1957,NA
Ecuador_1957,NA
Egypt_1957,3.23
Spain_1957,0.496
Estonia_1957,NA
Finland_1957,2.72
France_1957,2.02
United Kingdom_1957,0.567
Georgia_1957,NA
Guadeloupe_1957,NA
Greece_1957,NA
Grenada_1957,NA
Guatemala_1957,NA
French Guiana_1957,NA
Guyana_1957,NA
Hong Kong_1957,NA
Croatia_1957,NA
Hungary_1957,4
Ireland_1957,0.206
Iceland_1957,1.4
Israel_1957,NA
Italy_1957,1.36
Jamaica_1957,NA
Jordan_1957,NA
Japan_1957,2.02
Kazakhstan_1957,NA
Kyrgyzstan_1957,NA
Saint Kitts and Nevis_1957,NA
South Korea_1957,NA
Kuwait_1957,NA
Saint Lucia_1957,NA
Sri Lanka_1957,4.67
Lithuania_1957,NA
Luxembourg_1957,NA
Latvia_1957,NA
Moldova_1957,NA
Mexico_1957,NA
North Macedonia_1957,NA
Malta_1957,NA
Montenegro_1957,NA
Mongolia_1957,NA
Martinique_1957,NA
Mauritius_1957,NA
Malaysia_1957,NA
Nicaragua_1957,NA
Netherlands_1957,0.327
Norway_1957,0.584
New Zealand_1957,0.623
Oman_1957,NA
Panama_1957,5.14
Peru_1957,NA
Philippines_1957,NA
Poland_1957,NA
Puerto Rico_1957,NA
Portugal_1957,1.35
Qatar_1957,NA
Reunion_1957,NA
Romania_1957,NA
Russia_1957,NA
Serbia and Montenegro_1957,NA
Singapore_1957,NA
El Salvador_1957,NA
Serbia_1957,NA
Sao Tome and Principe_1957,NA
Suriname_1957,NA
Slovakia_1957,NA
Slovenia_1957,NA
Sweden_1957,0.748
Seychelles_1957,NA
Thailand_1957,11.9
Tajikistan_1957,NA
Turkmenistan_1957,NA
Trinidad and Tobago_1957,7.81
Tunisia_1957,NA
Turkey_1957,NA
Ukraine_1957,NA
Uruguay_1957,4.95
United States_1957,4.8
USSR_1957,NA
Uzbekistan_1957,NA
Saint Vincent and the Grenadines_1957,NA
Venezuela_1957,4.84
United States Virgin Islands_1957,NA
Yugoslavia_1957,NA
South Africa_1957,NA
Albania_1958,NA
Argentina_1958,NA
Armenia_1958,NA
Antigua and Barbuda_1958,NA
Australia_1958,1.54
Austria_1958,0.965
Azerbaijan_1958,NA
Belgium_1958,0.575
Bulgaria_1958,NA
Bahrain_1958,NA
Bahamas_1958,NA
Bosnia and Herzegovina_1958,NA
Belarus_1958,NA
Belize_1958,NA
Bermuda_1958,NA
Brazil_1958,NA
Barbados_1958,NA
Brunei_1958,NA
Canada_1958,1.2
Switzerland_1958,0.645
Czechoslovakia_1958,1.07
Chile_1958,5.67
Colombia_1958,63.3
Costa Rica_1958,NA
Cuba_1958,NA
Cayman Islands_1958,NA
Cyprus_1958,NA
Czechia_1958,NA
Germany_1958,NA
East Germany_1958,NA
West Germany_1958,0.923
Dominica_1958,NA
Denmark_1958,0.553
Dominican Republic_1958,NA
Ecuador_1958,NA
Egypt_1958,2.53
Spain_1958,0.511
Estonia_1958,NA
Finland_1958,2.31
France_1958,2.28
United Kingdom_1958,0.526
Georgia_1958,NA
Guadeloupe_1958,NA
Greece_1958,NA
Grenada_1958,NA
Guatemala_1958,NA
French Guiana_1958,NA
Guyana_1958,NA
Hong Kong_1958,NA
Croatia_1958,NA
Hungary_1958,2.66
Ireland_1958,0.273
Iceland_1958,0.674
Israel_1958,NA
Italy_1958,1.34
Jamaica_1958,NA
Jordan_1958,NA
Japan_1958,2.15
Kazakhstan_1958,NA
Kyrgyzstan_1958,NA
Saint Kitts and Nevis_1958,NA
South Korea_1958,NA
Kuwait_1958,NA
Saint Lucia_1958,NA
Sri Lanka_1958,6.02
Lithuania_1958,NA
Luxembourg_1958,NA
Latvia_1958,NA
Moldova_1958,NA
Mexico_1958,39.4
North Macedonia_1958,NA
Malta_1958,NA
Montenegro_1958,NA
Mongolia_1958,NA
Martinique_1958,NA
Mauritius_1958,NA
Malaysia_1958,NA
Nicaragua_1958,NA
Netherlands_1958,0.326
Norway_1958,0.49
New Zealand_1958,1.06
Oman_1958,NA
Panama_1958,5.99
Peru_1958,NA
Philippines_1958,NA
Poland_1958,NA
Puerto Rico_1958,NA
Portugal_1958,1.06
Qatar_1958,NA
Reunion_1958,NA
Romania_1958,NA
Russia_1958,NA
Serbia and Montenegro_1958,NA
Singapore_1958,NA
El Salvador_1958,37.6
Serbia_1958,NA
Sao Tome and Principe_1958,NA
Suriname_1958,NA
Slovakia_1958,NA
Slovenia_1958,NA
Sweden_1958,0.711
Seychelles_1958,NA
Thailand_1958,14.6
Tajikistan_1958,NA
Turkmenistan_1958,NA
Trinidad and Tobago_1958,4.46
Tunisia_1958,NA
Turkey_1958,NA
Ukraine_1958,NA
Uruguay_1958,5.13
United States_1958,4.85
USSR_1958,NA
Uzbekistan_1958,NA
Saint Vincent and the Grenadines_1958,NA
Venezuela_1958,9.19
United States Virgin Islands_1958,NA
Yugoslavia_1958,NA
South Africa_1958,NA
Albania_1959,NA
Argentina_1959,NA
Armenia_1959,NA
Antigua and Barbuda_1959,NA
Australia_1959,1.52
Austria_1959,1.16
Azerbaijan_1959,NA
Belgium_1959,0.627
Bulgaria_1959,NA
Bahrain_1959,NA
Bahamas_1959,NA
Bosnia and Herzegovina_1959,NA
Belarus_1959,NA
Belize_1959,NA
Bermuda_1959,NA
Brazil_1959,NA
Barbados_1959,NA
Brunei_1959,NA
Canada_1959,1.05
Switzerland_1959,0.939
Czechoslovakia_1959,1.08
Chile_1959,4.67
Colombia_1959,49
Costa Rica_1959,NA
Cuba_1959,NA
Cayman Islands_1959,NA
Cyprus_1959,NA
Czechia_1959,NA
Germany_1959,NA
East Germany_1959,NA
West Germany_1959,0.988
Dominica_1959,NA
Denmark_1959,0.503
Dominican Republic_1959,NA
Ecuador_1959,NA
Egypt_1959,3.55
Spain_1959,0.447
Estonia_1959,NA
Finland_1959,1.87
France_1959,1.94
United Kingdom_1959,0.542
Georgia_1959,NA
Guadeloupe_1959,NA
Greece_1959,NA
Grenada_1959,NA
Guatemala_1959,NA
French Guiana_1959,NA
Guyana_1959,NA
Hong Kong_1959,NA
Croatia_1959,NA
Hungary_1959,2.83
Ireland_1959,0.319
Iceland_1959,0.701
Israel_1959,NA
Italy_1959,1.22
Jamaica_1959,NA
Jordan_1959,NA
Japan_1959,2.02
Kazakhstan_1959,NA
Kyrgyzstan_1959,NA
Saint Kitts and Nevis_1959,NA
South Korea_1959,NA
Kuwait_1959,NA
Saint Lucia_1959,NA
Sri Lanka_1959,5.46
Lithuania_1959,NA
Luxembourg_1959,NA
Latvia_1959,NA
Moldova_1959,NA
Mexico_1959,42.1
North Macedonia_1959,NA
Malta_1959,NA
Montenegro_1959,NA
Mongolia_1959,NA
Martinique_1959,NA
Mauritius_1959,NA
Malaysia_1959,NA
Nicaragua_1959,NA
Netherlands_1959,0.34
Norway_1959,0.422
New Zealand_1959,1.08
Oman_1959,NA
Panama_1959,6
Peru_1959,NA
Philippines_1959,NA
Poland_1959,1.15
Puerto Rico_1959,NA
Portugal_1959,0.853
Qatar_1959,NA
Reunion_1959,NA
Romania_1959,NA
