country,continent,EU,OECD,selection_01
Lesotho,Africa,FALSE,FALSE,FALSE
Liberia,Africa,FALSE,FALSE,FALSE
Libya,Africa,FALSE,FALSE,FALSE
Liechtenstein,Europe,FALSE,FALSE,FALSE
Lithuania,Europe,TRUE,TRUE,TRUE
Luxembourg,Europe,TRUE,TRUE,TRUE
Macao,Asia,FALSE,FALSE,FALSE
Madagascar,Africa,FALSE,FALSE,FALSE
Malawi,Africa,FALSE,FALSE,TRUE
Malaysia,Asia,FALSE,FALSE,FALSE
Maldives,Asia,FALSE,FALSE,FALSE
Mali,Africa,FALSE,FALSE,TRUE
Malta,Europe,TRUE,FALSE,TRUE
Marshall Islands,Oceania,FALSE,FALSE,FALSE
Martinique,Americas,FALSE,FALSE,FALSE
Mauritania,Africa,FALSE,FALSE,FALSE
Mauritius,Africa,FALSE,FALSE,FALSE
Mayotte,Africa,FALSE,FALSE,FALSE
Mexico,Americas,FALSE,TRUE,TRUE
Moldova,Europe,FALSE,FALSE,TRUE
Monaco,Europe,FALSE,FALSE,FALSE
Mongolia,Asia,FALSE,FALSE,FALSE
Montenegro,Europe,FALSE,FALSE,TRUE
Montserrat,Americas,FALSE,FALSE,FALSE
Morocco,Africa,FALSE,FALSE,TRUE
Mozambique,Africa,FALSE,FALSE,TRUE
Myanmar,Asia,FALSE,FALSE,FALSE
Namibia,Africa,FALSE,FALSE,TRUE
Nauru,Oceania,FALSE,FALSE,FALSE
Nepal,Asia,FALSE,FALSE,FALSE
Netherlands,Europe,TRUE,TRUE,FALSE
New Caledonia,Oceania,FALSE,FALSE,FALSE
New Zealand,Oceania,FALSE,TRUE,FALSE
Nicaragua,Americas,FALSE,FALSE,TRUE
Niger,Africa,FALSE,FALSE,TRUE
Nigeria,Africa,FALSE,FALSE,FALSE
Niue,Oceania,FALSE,FALSE,FALSE
Norfolk Island,Oceania,FALSE,FALSE,FALSE
North Korea,Asia,FALSE,FALSE,FALSE
North Macedonia,Europe,FALSE,FALSE,FALSE
Northern Mariana Islands,Oceania,FALSE,FALSE,FALSE
Norway,Europe,FALSE,TRUE,FALSE
Oman,Asia,FALSE,FALSE,TRUE
Pakistan,Asia,FALSE,FALSE,TRUE
Palau,Oceania,FALSE,FALSE,FALSE
Palestine,Asia,FALSE,FALSE,TRUE
Panama,Americas,FALSE,FALSE,FALSE
Papua New Guinea,Oceania,FALSE,FALSE,FALSE
Paraguay,Americas,FALSE,FALSE,TRUE
Peru,Americas,FALSE,FALSE,TRUE
Philippines,Asia,FALSE,FALSE,TRUE
Pitcairn,Oceania,FALSE,FALSE,FALSE
Poland,Europe,TRUE,TRUE,TRUE
Portugal,Europe,TRUE,TRUE,TRUE
Puerto Rico,Americas,FALSE,FALSE,FALSE
Qatar,Asia,FALSE,FALSE,TRUE
Reunion,Africa,FALSE,FALSE,FALSE
Romania,Europe,TRUE,FALSE,TRUE
Russia,Europe,FALSE,FALSE,TRUE
Rwanda,Africa,FALSE,FALSE,TRUE
Saint Helena,Africa,FALSE,FALSE,FALSE
Saint Kitts and Nevis,Americas,FALSE,FALSE,FALSE
Saint Lucia,Americas,FALSE,FALSE,FALSE
Saint Martin (French part),Americas,FALSE,FALSE,FALSE
Saint Pierre and Miquelon,Americas,FALSE,FALSE,FALSE
Saint Vincent and the Grenadines,Americas,FALSE,FALSE,FALSE
Samoa,Oceania,FALSE,FALSE,FALSE
San Marino,Europe,FALSE,FALSE,FALSE
Sao Tome and Principe,Africa,FALSE,FALSE,FALSE
Saudi Arabia,Asia,FALSE,FALSE,TRUE
Senegal,Africa,FALSE,FALSE,TRUE
Serbia,Europe,FALSE,FALSE,TRUE
Seychelles,Africa,FALSE,FALSE,FALSE
Sierra Leone,Africa,FALSE,FALSE,FALSE
Singapore,Asia,FALSE,FALSE,TRUE
Sint Maarten (Dutch part),Americas,FALSE,FALSE,FALSE
Slovakia,Europe,TRUE,TRUE,TRUE
Slovenia,Europe,TRUE,TRUE,TRUE
Solomon Islands,Oceania,FALSE,FALSE,FALSE
Somalia,Africa,FALSE,FALSE,TRUE
South Africa,Africa,FALSE,FALSE,FALSE
South Korea,Asia,FALSE,TRUE,FALSE
South Sudan,Africa,FALSE,FALSE,FALSE
Spain,Europe,TRUE,TRUE,TRUE
Sri Lanka,Asia,FALSE,FALSE,FALSE
Sudan,Africa,FALSE,FALSE,FALSE
Suriname,Americas,FALSE,FALSE,FALSE
Svalbard and Jan Mayen,Europe,FALSE,FALSE,FALSE
Sweden,Europe,TRUE,TRUE,TRUE
Switzerland,Europe,FALSE,TRUE,TRUE
Syria,Asia,FALSE,FALSE,TRUE
Taiwan,Asia,FALSE,FALSE,TRUE
Tajikistan,Asia,FALSE,FALSE,TRUE
Tanzania,Africa,FALSE,FALSE,TRUE
Thailand,Asia,FALSE,FALSE,TRUE
Timor-Leste,Asia,FALSE,FALSE,FALSE
Togo,Africa,FALSE,FALSE,FALSE
Tokelau,Oceania,FALSE,FALSE,FALSE
Tonga,Oceania,FALSE,FALSE,FALSE
Trinidad and Tobago,Americas,FALSE,FALSE,FALSE
Tunisia,Africa,FALSE,FALSE,TRUE
Turkey,Asia,FALSE,TRUE,TRUE
Turkmenistan,Asia,FALSE,FALSE,TRUE
Turks and Caicos Islands,Americas,FALSE,FALSE,FALSE
Tuvalu,Oceania,FALSE,FALSE,FALSE
Uganda,Africa,FALSE,FALSE,TRUE
Ukraine,Europe,FALSE,FALSE,TRUE
United Arab Emirates,Asia,FALSE,FALSE,TRUE
United Kingdom,Europe,FALSE,TRUE,TRUE
United States,Americas,FALSE,TRUE,TRUE
United States Virgin Islands,Americas,FALSE,FALSE,FALSE
Uruguay,Americas,FALSE,FALSE,TRUE
USSR,Europe,FALSE,FALSE,FALSE
Uzbekistan,Asia,FALSE,FALSE,FALSE
Vanuatu,Oceania,FALSE,FALSE,FALSE
Vatican,Europe,FALSE,FALSE,FALSE
Venezuela,Americas,FALSE,FALSE,FALSE
Vietnam,Asia,FALSE,FALSE,TRUE
Wallis and Futuna,Oceania,FALSE,FALSE,FALSE
West Germany,Europe,FALSE,FALSE,FALSE
Western Sahara,Africa,FALSE,FALSE,FALSE
Yemen,Asia,FALSE,FALSE,FALSE
Zambia,Africa,FALSE,FALSE,TRUE
Zimbabwe,Africa,FALSE,FALSE,FALSE
